Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Rhodes J.R., Guerrero A.M., Bodin Ö., Chadès I.","57211633993;38662397700;13103663000;6507138908;","Fundamental insights on when social network data are most critical for conservation planning",2020,"Conservation Biology","34","6",,"1463","1472",,,"10.1111/cobi.13500","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090165334&doi=10.1111%2fcobi.13500&partnerID=40&md5=cf671ea31f25a71564c3b7ed4b6a5c23","School of Earth and Environmental Sciences, The University of Queensland, Brisbane, QLD  4072, Australia; ARC Centre of Excellence for Environmental Decisions, The University of Queensland, Brisbane, QLD  4072, Australia; Centre for Biodiversity and Conservation Science, The University of Queensland, Brisbane, QLD  4072, Australia; School of Biological Sciences, The University of Queensland, Brisbane, QLD  4072, Australia; Stockholm Resilience Centre, Stockholm University, Stockholm, SE-106 91, Sweden; CSIRO, Ecosciences Precinct, Dutton Park, QLD  4102, Australia","Rhodes, J.R., School of Earth and Environmental Sciences, The University of Queensland, Brisbane, QLD  4072, Australia, ARC Centre of Excellence for Environmental Decisions, The University of Queensland, Brisbane, QLD  4072, Australia, Centre for Biodiversity and Conservation Science, The University of Queensland, Brisbane, QLD  4072, Australia; Guerrero, A.M., ARC Centre of Excellence for Environmental Decisions, The University of Queensland, Brisbane, QLD  4072, Australia, Centre for Biodiversity and Conservation Science, The University of Queensland, Brisbane, QLD  4072, Australia, School of Biological Sciences, The University of Queensland, Brisbane, QLD  4072, Australia, Stockholm Resilience Centre, Stockholm University, Stockholm, SE-106 91, Sweden; Bodin, Ö., Stockholm Resilience Centre, Stockholm University, Stockholm, SE-106 91, Sweden; Chadès, I., ARC Centre of Excellence for Environmental Decisions, The University of Queensland, Brisbane, QLD  4072, Australia, CSIRO, Ecosciences Precinct, Dutton Park, QLD  4102, Australia","As declines in biodiversity accelerate, there is an urgent imperative to ensure that every dollar spent on conservation counts toward species protection. Systematic conservation planning is a widely used approach to achieve this, but there is growing concern that it must better integrate the human social dimensions of conservation to be effective. Yet, fundamental insights about when social data are most critical to inform conservation planning decisions are lacking. To address this problem, we derived novel principles to guide strategic investment in social network information for systematic conservation planning. We considered the common conservation problem of identifying which social actors, in a social network, to engage with to incentivize conservation behavior that maximizes the number of species protected. We used simulations of social networks and species distributed across network nodes to identify the optimal state-dependent strategies and the value of social network information. We did this for a range of motif network structures and species distributions and applied the approach to a small-scale fishery in Kenya. The value of social network information depended strongly on both the distribution of species and social network structure. When species distributions were highly nested (i.e., when species-poor sites are subsets of species-rich sites), the value of social network information was almost always low. This suggests that information on how species are distributed across a network is critical for determining whether to invest in collecting social network data. In contrast, the value of social network information was greatest when social networks were highly centralized. Results for the small-scale fishery were consistent with the simulations. Our results suggest that strategic collection of social network data should be prioritized when species distributions are un-nested and when social networks are likely to be centralized. © 2020 The Authors. Conservation Biology published by Wiley Periodicals LLC on behalf of Society for Conservation Biology","análisis de redes sociales; artificial intelligence; distribución de las especies; inteligencia artificial; programación estocástica dinámica; social network analysis; species distributions; stochastic dynamic programing; valor de la información; value of information","biodiversity; centralization; conservation planning; incentive; investment; network analysis; social network; strategic approach; Kenya; biodiversity; environmental protection; human; investment; Kenya; social network; Biodiversity; Conservation of Natural Resources; Humans; Investments; Kenya; Social Networking",Article,"Final","",Scopus,2-s2.0-85090165334
"Shizuka D., Johnson A.E.","8384621100;55915055300;","How demographic processes shape animal social networks",2020,"Behavioral Ecology","31","1",,"1","11",,31,"10.1093/beheco/arz083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073527367&doi=10.1093%2fbeheco%2farz083&partnerID=40&md5=66bdcfea2059747141378773ddb6f537","School of Biological Sciences, University of Nebraska-Lincoln, Lincoln, NE, United States","Shizuka, D., School of Biological Sciences, University of Nebraska-Lincoln, Lincoln, NE, United States; Johnson, A.E., School of Biological Sciences, University of Nebraska-Lincoln, Lincoln, NE, United States","Demographic processes play a key role in shaping the patterns of social relations among individuals in a population. Social network analysis is a powerful quantitative tool for assessing the social structure formed by associations between individuals. However, demographic processes are rarely accounted for in such analyses. Here, we summarize how the structure of animal social networks is shaped by the joint effects of social behavior and turnover of individuals and suggest how a deeper understanding of these processes can open new, exciting avenues for research. Death or dispersal can have the direct effect of removing an individual and all its social connections, and can also have indirect effects, spurring changes in the distribution of social connections between remaining individuals. Recruitment and integration of juveniles and immigrant into existing social networks are critical to the emergence and persistence of social network structure. Together, these behavioral responses to loss and gain of social partners may impact how societies respond to seasonal or catastrophic turnover events. The fitness consequences of social position (e.g., survival and reproductive rates) may also create feedback between the social network structure and demography. Understanding how social structure changes in response to turnover of individuals requires further integration between long-term field studies and network modeling methods. These efforts will likely yield new insights into the connections between social networks and life history, ecological change, and evolutionary dynamics. © 2019 The Author(s) 2019. Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved.","demography; network dynamics; resilience; social evolution; social structure; temporal networks; turnover","demographic trend; dispersal; fitness; immigrant; life history trait; network analysis; social behavior; social network; social structure; survival; Animalia",Review,"Final","",Scopus,2-s2.0-85073527367
"Kurvers R.H.J.M., Krause J., Croft D.P., Wilson A.D.M., Wolf M.","24171332900;7202955124;7101684581;55316263300;36802674500;","The evolutionary and ecological consequences of animal social networks: Emerging issues",2014,"Trends in Ecology and Evolution","29","6",,"326","335",,115,"10.1016/j.tree.2014.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901011330&doi=10.1016%2fj.tree.2014.04.002&partnerID=40&md5=40889ad777ce5b33bec677ff83507482","Department of Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Mueggelseedamm 310, 12587 Berlin, Germany; Humboldt University of Berlin, Faculty of Life Sciences, Invalidenstraße 42, 10115 Berlin, Germany; Centre for Research In Animal Behaviour, College of Life and Environmental Science, University of Exeter, Exeter, EX4 4QG, United Kingdom","Kurvers, R.H.J.M., Department of Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Mueggelseedamm 310, 12587 Berlin, Germany; Krause, J., Department of Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Mueggelseedamm 310, 12587 Berlin, Germany, Centre for Research In Animal Behaviour, College of Life and Environmental Science, University of Exeter, Exeter, EX4 4QG, United Kingdom; Croft, D.P., Humboldt University of Berlin, Faculty of Life Sciences, Invalidenstraße 42, 10115 Berlin, Germany; Wilson, A.D.M., Department of Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Mueggelseedamm 310, 12587 Berlin, Germany; Wolf, M., Department of Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Mueggelseedamm 310, 12587 Berlin, Germany","The first generation of research on animal social networks was primarily aimed at introducing the concept of social networks to the fields of animal behaviour and behavioural ecology. More recently, a diverse body of evidence has shown that social fine structure matters on a broader scale than initially expected, affecting many key ecological and evolutionary processes. Here, we review this development. We discuss the effects of social network structure on evolutionary dynamics (genetic drift, fixation probabilities, and frequency-dependent selection) and social evolution (cooperation and between-individual behavioural differences). We discuss how social network structure can affect important coevolutionary processes (host-pathogen interactions and mutualisms) and population stability. We also discuss the potentially important, but poorly studied, role of social network structure on dispersal and invasion. Throughout, we highlight important areas for future research. © 2014 Elsevier Ltd.","Coevolution; Dispersal; Evolutionary dynamics; Invasion; Population stability; Social evolution; Social networks; Social structure","animal; behavioral ecology; coevolution; dispersal; genetic drift; research; social network; Animalia; animal; animal behavior; evolution; host pathogen interaction; population dynamics; social behavior; symbiosis; Animals; Behavior, Animal; Biological Evolution; Host-Pathogen Interactions; Population Dynamics; Social Behavior; Symbiosis",Review,"Final","",Scopus,2-s2.0-84901011330
"Sabol A.C., Solomon N.G., Dantzer B.","57203951722;7103386366;15921979300;","How to study socially monogamous behavior in secretive animals? Using social network analyses and automated tracking systems to study the social behavior of prairie voles",2018,"Frontiers in Ecology and Evolution","6","NOV", 178,"","",,9,"10.3389/fevo.2018.00178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057245026&doi=10.3389%2ffevo.2018.00178&partnerID=40&md5=9d5e8895cee1e11b6a36476e991d40eb","Department of Psychology, University of Michigan, Ann Arbor, MI, United States; Department of Biology, Miami University, Oxford, OH, United States; Department of Ecology and Evolutionary Biology, University of Michigan, Ann Arbor, MI, United States","Sabol, A.C., Department of Psychology, University of Michigan, Ann Arbor, MI, United States; Solomon, N.G., Department of Biology, Miami University, Oxford, OH, United States; Dantzer, B., Department of Psychology, University of Michigan, Ann Arbor, MI, United States, Department of Ecology and Evolutionary Biology, University of Michigan, Ann Arbor, MI, United States","Accurately recording the social and mating behavior of wild animals is necessary to test hypotheses regarding the evolution of monogamous behavior but documenting the behavior of most wild animals is challenging. Social network analyses can use patterns of spatial and temporal co-occurrence to describe the social associations of individuals within a population, such as which opposite-sex individuals are found together more frequently than others as an indicator of their degree of social monogamy. Social networks generated using automated radio frequency identification (RFID) tracking systems may provide insights into the social behavior of secretive animals because they enable the automated and continuous tracking of the social associations among individuals, which can address many of the limitations with studying these kinds of species. We assessed the potential for social networks generated using an automated RFID tracking system to describe the social behavior of prairie voles (Microtus ochrogaster) in semi-natural enclosures. Our aim was to assess whether social networks generated using the RFID system provided meaningful insights into the social behavior of voles by comparing this method to other methods that have been traditionally used in laboratory (partner preference tests) or field (degree of home range overlap) studies to study social monogamy in prairie voles. In partner preference tests conducted in the field, females spent more time with males with which they had stronger social network associations. Voles that had stronger social network associations also had home ranges that overlapped considerably more than dyads with lower social network associations. In addition, social networks generated from live-trapping and RFID data were comparable but social networks generated using data from our RFID system recorded almost twice as many social associations overall. Our results show that social association metrics derived from social networks generated using the RFID tracking system reflect other commonly used measures of social monogamy in prairie voles. Overall, this suggests that patterns of spatial and temporal co-occurrence are meaningful measures of social monogamy in wild animals. © 2018 Sabol, Solomon and Dantzer.","Association index; RFID system; Social behavior; Social monogamy; Social network analyses; Vole",,Article,"Final","",Scopus,2-s2.0-85057245026
"Brent L.J.N.","36954046600;","Friends of friends: Are indirect connections in social networks important to animal behaviour?",2015,"Animal Behaviour","103",,,"211","222",,74,"10.1016/j.anbehav.2015.01.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939417628&doi=10.1016%2fj.anbehav.2015.01.020&partnerID=40&md5=0ff6596992bc056067b6e3547f36e546","Centre for Research in Animal Behaviour, University of Exeter, Exeter, United Kingdom; Center for Cognitive Neuroscience, Duke University, Durham, NC, United States","Brent, L.J.N., Centre for Research in Animal Behaviour, University of Exeter, Exeter, United Kingdom, Center for Cognitive Neuroscience, Duke University, Durham, NC, United States","Friend of a friend relationships, or the indirect connections between people, influence our health, well-being, financial success and reproductive output. As with humans, social behaviours in other animals often occur within a broad interconnected network of social ties. Yet studies of animal social behaviour tend to focus on associations between pairs of individuals. With the increase in popularity of social network analysis, researchers have started to look beyond the dyad to examine the role of indirect connections in animal societies. Here, I provide an overview of the new knowledge that has been uncovered by these studies. I focus on research that has addressed both the causes of social behaviours, i.e. the cognitive and genetic basis of indirect connections, as well as their consequences, i.e. the impact of indirect connections on social cohesion, information transfer, cultural practices and fitness. From these studies, it is apparent that indirect connections play an important role in animal behaviour, although future research is needed to clarify their contribution. © 2015 The Association for the Study of Animal Behaviour.","Cooperation; Culture; Fitness; Heritability; Indirect exchange; Social brokers; Social learning; Social network analysis","animal; behavioral ecology; cognition; cooperative behavior; fitness; heritability; knowledge; learning; social network; Animalia",Article,"Final","",Scopus,2-s2.0-84939417628
"Firth J.A., Voelkl B., Crates R.A., Aplin L.M., Biro D., Croft D.P., Sheldon B.C.","56506646300;56006674300;56578713300;42961055800;7003606673;7101684581;35481336500;","Wild birds respond to flockmate loss by increasing their social network associations to others",2017,"Proceedings of the Royal Society B: Biological Sciences","284","1854", 20170299,"","",,26,"10.1098/rspb.2017.0299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019648122&doi=10.1098%2frspb.2017.0299&partnerID=40&md5=75f145e4b6a6e380fc7107e9c0ae7a08","Edward Grey Institute, Department of Zoology, Oxford, OX1 3PS, United Kingdom; Department of Zoology, University of Oxford, Oxford, OX1 3PS, United Kingdom; Animal Welfare Division, Vetsuisse Faculty, University Bern, Laenggassstrasse 120, Bern, CH 3012, Switzerland; Fenner School, Australian National UniversityACT  2601, Australia; Centre for Research in Animal Behaviour, College of Life and Environmental Sciences, University of Exeter, Exeter, EX4 4QG, United Kingdom","Firth, J.A., Edward Grey Institute, Department of Zoology, Oxford, OX1 3PS, United Kingdom; Voelkl, B., Edward Grey Institute, Department of Zoology, Oxford, OX1 3PS, United Kingdom, Animal Welfare Division, Vetsuisse Faculty, University Bern, Laenggassstrasse 120, Bern, CH 3012, Switzerland; Crates, R.A., Edward Grey Institute, Department of Zoology, Oxford, OX1 3PS, United Kingdom, Fenner School, Australian National UniversityACT  2601, Australia; Aplin, L.M., Edward Grey Institute, Department of Zoology, Oxford, OX1 3PS, United Kingdom; Biro, D., Department of Zoology, University of Oxford, Oxford, OX1 3PS, United Kingdom; Croft, D.P., Centre for Research in Animal Behaviour, College of Life and Environmental Sciences, University of Exeter, Exeter, EX4 4QG, United Kingdom; Sheldon, B.C., Edward Grey Institute, Department of Zoology, Oxford, OX1 3PS, United Kingdom","Understanding the consequences of losing individuals from wild populations is a current and pressing issue, yet how such loss influences the social behaviour of the remaining animals is largely unexplored. Through combining the automated tracking of winter flocks of over 500 wild great tits (Parus major) with removal experiments, we assessed how individuals’ social network positions responded to the loss of their social associates. We found that the extent of flockmate loss that individuals experienced correlated positively with subsequent increases in the number of their social associations, the average strength of their bonds and their overall connectedness within the social network (defined as summed edge weights). Increased social connectivity was not driven by general disturbance or changes in foraging behaviour, but by modifications to fine-scale social network connections in response to losing their associates. Therefore, the reduction in social connectedness expected by individual loss may be mitigated by increases in social associations between remaining individuals. Given that these findings demonstrate rapid adjustment of social network associations in response to the loss of previous social ties, future research should examine the generality of the compensatory adjustment of social relations in ways that maintain the structure of social organization. © 2017 The Authors.","Population declines; Social bonds; Social foraging; Social networks; Social perturbation; Social structure","bird; environmental disturbance; foraging behavior; population decline; social behavior; social network; social structure; species flock; tracking; wild population; Animalia; Aves; Parus major; animal; animal behavior; Passeriformes; physiology; population density; season; social behavior; wild animal; Animals; Animals, Wild; Behavior, Animal; Passeriformes; Population Density; Seasons; Social Behavior",Article,"Final","",Scopus,2-s2.0-85019648122
"Hawkins C.E., Ritrovato I.T., Swaddle J.P.","57215202198;57219601514;7004209946;","Traffic noise alters individual social connectivity, but not space-use, of Red-backed Fairywrens",2020,"Emu","120","4",,"313","321",,,"10.1080/01584197.2020.1830706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094168501&doi=10.1080%2f01584197.2020.1830706&partnerID=40&md5=1bb151960160365b34353f389ec15170","Department of Ecology Evolutionary Biology, UC Davis, Davis, CA, United States; Department of Biology, William Mary, Williamsburg, VA, United States; Institute for Integrative Conservation, William Mary, Williamsburg, VA, United States","Hawkins, C.E., Department of Ecology Evolutionary Biology, UC Davis, Davis, CA, United States, Department of Biology, William Mary, Williamsburg, VA, United States; Ritrovato, I.T., Department of Biology, William Mary, Williamsburg, VA, United States; Swaddle, J.P., Department of Biology, William Mary, Williamsburg, VA, United States, Institute for Integrative Conservation, William Mary, Williamsburg, VA, United States","The prevalence of human-generated noise is posing novel challenges to birds, by changing how they communicate or causing them to disperse away from the source of noise. We sought to understand how noise affected space-use and social connectivity in a small passerine bird, the Red-backed Fairywren (Malurus melanocephalus). As the displaced birds would likely be forced to occupy a smaller area that may already have resident individuals, we predicted that noise-affected birds would show increased social connectivity that may include new individuals. To test this, we introduced an experimental point-source of traffic noise to groups of fairywrens in an otherwise quiet habitat and compared the change in social connectivity of birds in groups exposed to noise to the changes in social connectivity in neighbouring groups unaffected by noise. Contrary to our prediction, noise-affected birds had reduced social connectivity during experimental noise treatments, as measured by weighted-degree, which was driven by a reduction of interactions with birds of neighbouring groups outside the noise zone. Additionally, we did not discern a change in space-use in response to our noise treatment. Therefore, we suggest that noise reduces the efficacy of signal transmission and detection in this species, resulting in the reduction of social connectivity between groups of this otherwise highly social songbird. © 2020 BirdLife Australia.","Fairywrens; social connectivity; social networks; traffic noise","anthropogenic effect; calling behavior; connectivity; conservation management; human activity; noise pollution; passerine; signal; social behavior; space use; traffic emission; Malurus melanocephalus; Passeri; Passeriformes",Article,"Final","",Scopus,2-s2.0-85094168501
"James R., Croft D.P., Krause J.","22234359600;7101684581;7202955124;","Potential banana skins in animal social network analysis",2009,"Behavioral Ecology and Sociobiology","63","7",,"989","997",,118,"10.1007/s00265-009-0742-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65049088043&doi=10.1007%2fs00265-009-0742-5&partnerID=40&md5=729a188d0704bac77651039a8e2e56cb","Department of Physics, Centre for Mathematical Biology, University of Bath, Bath BA2 7AY, United Kingdom; School of Biological Sciences, College of Natural Sciences, Bangor University, Bangor, Gwynedd LL57 2UW, United Kingdom; Institute of Integrative and Comparative Biology, University of Leeds, Leeds LS2 9JT, United Kingdom","James, R., Department of Physics, Centre for Mathematical Biology, University of Bath, Bath BA2 7AY, United Kingdom; Croft, D.P., School of Biological Sciences, College of Natural Sciences, Bangor University, Bangor, Gwynedd LL57 2UW, United Kingdom; Krause, J., Institute of Integrative and Comparative Biology, University of Leeds, Leeds LS2 9JT, United Kingdom","Social network analysis is an increasingly popular tool for the study of the fine-scale and global social structure of animals. It has attracted particular attention by those attempting to unravel social structure in fission-fusion populations. It is clear that the social network approach offers some exciting opportunities for gaining new insights into social systems. However, some of the practices which are currently being used in the animal social networks literature are at worst questionable and at best over-enthusiastic. We highlight some of the areas of method, analysis and interpretation in which greater care may be needed in order to ensure that the biology we extract from our networks is robust. In particular, we suggest that more attention should be given to whether relational data are representative, the potential effect of observational errors and the choice and use of statistical tests. The importance of replication and manipulation must not be forgotten, and the interpretation of results requires care. © 2009 Springer-Verlag.","Animal social networks; Methods; Social structure","animal; network analysis; social network; social structure; Animalia",Review,"Final","",Scopus,2-s2.0-65049088043
"Williams E., Bremner‐harrison S., Hall C., Carter A.","56729702400;24480448600;14060258900;57213801958;","Understanding temporal social dynamics in zoo animal management: An elephant case study",2020,"Animals","10","5", 882,"","",,1,"10.3390/ani10050882","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085244565&doi=10.3390%2fani10050882&partnerID=40&md5=3e15d146e09086c4c1418a518e396464","School of Animal, Rural and Environmental Sciences, Nottingham Trent University, Brackenhurst Campus, Southwell, Nottinghamshire, NG25 0QF, United Kingdom","Williams, E., School of Animal, Rural and Environmental Sciences, Nottingham Trent University, Brackenhurst Campus, Southwell, Nottinghamshire, NG25 0QF, United Kingdom; Bremner‐harrison, S., School of Animal, Rural and Environmental Sciences, Nottingham Trent University, Brackenhurst Campus, Southwell, Nottinghamshire, NG25 0QF, United Kingdom; Hall, C., School of Animal, Rural and Environmental Sciences, Nottingham Trent University, Brackenhurst Campus, Southwell, Nottinghamshire, NG25 0QF, United Kingdom; Carter, A., School of Animal, Rural and Environmental Sciences, Nottingham Trent University, Brackenhurst Campus, Southwell, Nottinghamshire, NG25 0QF, United Kingdom","Zoo animal management procedures which lead to changes to social groups can cause disruption in social hierarchies and the temporary breakdown of social relationships. Animals have different roles in social networks. Understanding individual positions in social networks is important for effective management and ensuring positive welfare for all animals. Using elephants as a case study, the aim of this research was to investigate temporal social dynamics in zoo animals. Behavioural data were collected between January 2016 and February 2017 from 10 African and 22 Asian elephants housed at seven zoos and safari parks in the UK and Ireland. Social interactions were defined as positive physical, positive non‐physical, negative physical or negative non-physical. Social network analysis explored social relationships including the fluidity of networks over time and dyadic reciprocity. Social interaction networks were found to be fluid but did not follow a seasonal pattern. Positive interaction networks tended to include the entire social group whereas negative interactions were restricted to specific individuals. Unbalanced ties were observed within dyads, suggesting potential inequalities in relationships. This could impact on individual experiences and welfare. This research highlights subtle temporal dynamics in zoo elephants with the potential for species‐level differences. Similar temporal dynamics may also be present in other socially housed zoo species. This research thus provides evidence for the importance of understanding the social networks of zoo animals over longer periods of time. Understanding social networks enables pro‐active and evidence‐based management approaches. Further research should seek to identify the minimum sampling efforts for social networks in a range of species, to enable the implementation of regular monitoring of social networks and thus improve the welfare of social species under human care. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Evidence‐based management; Social behaviour; Social groups; Social networks; Temporal dynamics; Welfare; Zoo elephant","adult; article; controlled study; elephant; female; human experiment; Ireland; male; nonhuman; social interaction; social network; welfare; zoo animal",Article,"Final","",Scopus,2-s2.0-85085244565
"Wilson A.D.M., Krause S., Ramnarine I.W., Borner K.K., Clément R.J.G., Kurvers R.H.J.M., Krause J.","55316263300;35771048400;6603763150;56062336200;55887405000;24171332900;7202955124;","Social networks in changing environments",2015,"Behavioral Ecology and Sociobiology","69","10",,"1617","1629",,17,"10.1007/s00265-015-1973-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941318179&doi=10.1007%2fs00265-015-1973-2&partnerID=40&md5=d765c74d3fd1afe69b34426a65bb57e2","Department of the Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Berlin, 12587, Germany; Department of Electrical Engineering and Computer Science, Lübeck University of Applied Sciences, Lübeck, 23562, Germany; Department of Life Sciences, University of the West Indies, St Augustine, Trinidad and Tobago; Humboldt-Universität zu Berlin, Invalidenstrasse 42, Berlin, 10115, Germany; Centre for Integrative Ecology, Deakin University, 75 Pigdons Road, Waurn Ponds, VIC  3216, Australia","Wilson, A.D.M., Department of the Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Berlin, 12587, Germany, Centre for Integrative Ecology, Deakin University, 75 Pigdons Road, Waurn Ponds, VIC  3216, Australia; Krause, S., Department of Electrical Engineering and Computer Science, Lübeck University of Applied Sciences, Lübeck, 23562, Germany; Ramnarine, I.W., Department of Life Sciences, University of the West Indies, St Augustine, Trinidad and Tobago; Borner, K.K., Department of the Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Berlin, 12587, Germany, Humboldt-Universität zu Berlin, Invalidenstrasse 42, Berlin, 10115, Germany; Clément, R.J.G., Department of the Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Berlin, 12587, Germany, Humboldt-Universität zu Berlin, Invalidenstrasse 42, Berlin, 10115, Germany; Kurvers, R.H.J.M., Department of the Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Berlin, 12587, Germany; Krause, J., Department of the Biology and Ecology of Fishes, Leibniz Institute of Freshwater Ecology and Inland Fisheries, Berlin, 12587, Germany, Humboldt-Universität zu Berlin, Invalidenstrasse 42, Berlin, 10115, Germany","Social network analysis (SNA) has become a widespread tool for the study of animal social organisation. However despite this broad applicability, SNA is currently limited by both an overly strong focus on pattern analysis as well as a lack of dynamic interaction models. Here, we use a dynamic modelling approach that can capture the responses of social networks to changing environments. Using the guppy, Poecilia reticulata, we identified the general properties of the social dynamics underlying fish social networks and found that they are highly robust to differences in population density and habitat changes. Movement simulations showed that this robustness could buffer changes in transmission processes over a surprisingly large density range. These simulation results suggest that the ability of social systems to self-stabilise could have important implications for the spread of infectious diseases and information. In contrast to habitat manipulations, social manipulations (e.g. change of sex ratios) produced strong, but short-lived, changes in network dynamics. Lastly, we discuss how the evolution of the observed social dynamics might be linked to predator attack strategies. We argue that guppy social networks are an emergent property of social dynamics resulting from predator–prey co-evolution. Our study highlights the need to develop dynamic models of social networks in connection with an evolutionary framework. © 2015, Springer-Verlag Berlin Heidelberg.","Environmental change; Habitat manipulation; Network analysis; Population translocation; Social dynamics","coevolution; cyprinid; disease spread; environmental change; evolutionary biology; infectious disease; movement; population distribution; predator-prey interaction; sex ratio; social behavior; social network; Animalia; Poecilia reticulata",Article,"Final","",Scopus,2-s2.0-84941318179
