PT	UT	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	AB	C1	EM	RI	OI	U1	U2	CR	NR	TC	Z9	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	
J	BCI:BCI201000276248		Article		Effects of forest landscape change and management on the range expansion of forest bird species in the Mediterranean region		Gil-Tena, Assu; Brotons, Lluis (lluis.brotons@ctfc.cat) ; Saura, Santiago									Forest Ecology and Management		2010	MAR 20 2010	259	7, Sp. Iss. SI	1338-1346	1338	1346	English						In the western Mediterranean region of Catalonia (NE Spain), during the last 20 years of the 20th century, the range of many forest bird species has expanded. Our objective was to characterize the roles of (a) spatial population processes (related to dispersal), (b) changes in forest structure (due to forest maturation and management), and (c) landscape composition (resulting from afforestation and fires) in the range expansion of these bird species at the landscape scale (10 x 10 km). After correcting for the differences in sampling effort, colonizations appeared to be more likely near areas in which the species had been present in the 1980s. Patterns of the range expansion were also strongly associated with forest maturation, which seems to affect the spatial arrangement of birds at multiple scales. Changes in forest landscape composition due to afforestation and fires were minor determinants of range changes, and forest management did not seem to prevent range expansion at the spatial scale studied. Colonization events appeared to be driven primarily by landscape changes occurring in nearby localities rather than within the colonized locations themselves, presumably because of source-sink dynamics and connectivity patterns. Our results showed that in Catalonia, at a landscape scale, the impact of forest management on forest bird communities is much smaller than the impact of the widespread maturation of forests following a large-scale decline in traditional uses. (C) 2009 Elsevier B.V. All rights reserved.	Brotons, Lluis; Ctr Tecnol Forestal Catalunya, Area Biodiversitat, Crta St Llorenc de Morunys Km 2, Solsona 25280, Lleida, Spain		Saura, Santiago/A-9994-2008; Brotons, Lluis/D-1570-2009	Saura, Santiago/0000-0002-5239-0763; Brotons, Lluis/0000-0002-4826-4457	0	20		62	13	14			Life Sciences & Biomedicine - Other Topics; Science & Technology - Other Topics; Forestry; Biodiversity & Conservation	0378-1127	1872-7042	10.1016/j.foreco.2009.10.026		Biogeography (Population Studies); Methods and Techniques; Forestry; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 53500, Forestry and forest products; 62800, Animal distribution	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Erithacus rubecula] [Parus ater] [Phylloscopus collybita] [Turdus philomelos] [Parus cristatus] [Sitta europaea] [Regulus ignicapilla]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Piciformes [85552]; [Dendrocopos major] [Dendrocopos minor] [Dryocopus martius]					Catalonia; Spain, Europe; Palearctic region		forest landscape management; applied and field techniques		geographic distribution, range expansion, source-sink dynamic, forest landscape change				2021-06-29	
J	BCI:BCI201000137443	19889700	Article		Local extinction synchronizes population dynamics in spatial networks		Matter, Stephen F. (mattersf@uc.edu) ; Roland, Jens									Proceedings of the Royal Society Biological Sciences Series B		2010	MAR 7 2010	277	1682	729-737	729	737	English						Spatial population theory predicts that synchrony in the dynamics of local populations should decrease as dispersal among populations decreases. Thus, it would be expected that the extinction of local populations and the attendant loss of immigrants to surrounding populations would reduce synchrony. We tested this hypothesis through a large-scale experiment, simulation of the experimental system and general models. Experimental removal of two adjacent subpopulations of the Rocky Mountain Apollo butterfly, Parnassius smintheus within a network consisting of 15 other local populations resulted in a decrease in immigration to surrounding populations that was proportional to their connectivity to the removal populations. These populations also showed a significant increase in synchrony during population removal. The spatial extent of the synchrony showed good agreement with the predicted loss of immigrants owing to the removals. Simulation of the Parnassius system showed a similar short-term result and also indicated that permanent loss of populations produces structural changes increasing synchrony. General models indicate that an increase in synchrony following extinction occurs when populations undergoing extinction have different carrying capacities than surrounding populations. The result is not owing to biased migration per se, but rather is because of the number of immigrants relative to the carrying capacity. Synchrony following extinction should be most common for patchy populations, but can occur in any situation where carrying capacities differ. Overall, our results indicate that local extinction can create a positive feedback for extinction risk, increasing the probability of extinction for population networks by synchronizing their dynamics.	Matter, Stephen F.; Univ Cincinnati, Dept Biol Sci, Cincinnati, OH 45230 USA		Roland, Jens/A-3749-2014	Roland, Jens/0000-0001-8452-6648	2	29		32	16	16			Life Sciences & Biomedicine - Other Topics; Biodiversity & Conservation; Mathematical & Computational Biology	0962-8452	1471-2954	10.1098/rspb.2009.1520		Biogeography (Population Studies); Conservation; Models and Simulations (Computational Biology)	00512, General biology - Conservation and resource management; 04500, Mathematical biology and statistical methods; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 10515, Biophysics - Biocybernetics; 50528, Botany: general and systematic - Floristics and distribution; 62800, Animal distribution; 64076, Invertebrata: comparative, experimental morphology, physiology and pathology - Insecta: physiology	Gymnospermae, Spermatophyta, Plantae; Gymnosperms, Plants, Spermatophytes, Vascular Plants; Coniferopsida [25102]; [Pinus contorta; lodgepole pine] [Abies lasiocarpa; subalpine fir] [Picea engelmannii; Engelmann spruce]/Dicotyledones, Angiospermae, Spermatophyta, Plantae; Angiosperms, Dicots, Plants, Spermatophytes, Vascular Plants; Crassulaceae [25870]; [Sedum lanceolatum; stonecrop]/Insecta, Arthropoda, Invertebrata, Animalia; Animals, Arthropods, Insects, Invertebrates; Lepidoptera [75330]; [Parnassius smintheus; rocky mountain apollo butterfly; (protected species)]					Alberta; Canada, North America; Nearctic region		extinction model; mathematical and computer techniques		population extinction synchronizes, spatial population theory, immigrant loss	Green Published			2021-06-29	
J	BCI:BCI201000097492	19864291	Article		Are fast explorers slow reactors? Linking personality type and anti-predator behaviour		Jones, Katherine A. (kaj@cantab.net) ; Godin, Jean-Guy J.									Proceedings of the Royal Society Biological Sciences Series B		2010	FEB 22 2010	277	1681	625-632	625	632	English						Response delays to predator attack may be adaptive, suggesting that latency to respond does not always reflect predator detection time, but can be a decision based on starvation-predation risk trade-offs. In birds, some anti-predator behaviours have been shown to be correlated with personality traits such as activity level and exploration. Here, we tested for a correlation between exploration behaviour and response latency time to a simulated fish predator attack in a fish species, juvenile convict cichlids (Amatitlania nigrofasciata). Individual focal fish were subjected to a standardized attack by a robotic fish predator while foraging, and separately given two repeated trials of exploration of a novel environment. We found a strong positive correlation between exploration and time taken to respond to the predator model. Fish that were fast to explore the novel environment were slower to respond to the predator. Our study therefore provides some of the first experimental evidence for a link between exploration behaviour and predator-escape behaviour. We suggest that different behavioural types may differ in how they partition their attention between foraging and anti-predator vigilance.	Jones, Katherine A.; Univ Glasgow, Fac Biomed and Life Sci, Graham Kerr Bldg, Glasgow G12 8QQ, Lanark, UK			Jones, Katherine/0000-0001-7547-6781	2	155		52	116	126			Behavioral Sciences; Infectious Diseases; Environmental Sciences & Ecology	0962-8452	1471-2954	10.1098/rspb.2009.1607		Behavior; Infection; Terrestrial Ecology (Ecology, Environmental Sciences)	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 31000, Physiology and biochemistry of bacteria; 36002, Medical and clinical microbiology - Bacteriology	Mycobacteria, Actinomycetes and Related Organisms, Eubacteria, Bacteria, Microorganisms; Bacteria, Eubacteria, Microorganisms; Mycobacteriaceae [08881]; [Mycobacterium bovis; (pathogen)]/Carnivora, Mammalia, Vertebrata, Chordata, Animalia; Animals, Carnivores, Chordates, Mammals, Nonhuman Vertebrates, Nonhuman Mammals, Vertebrates; Viverridae [85795]; [Suricata suricatta; meerkat; (host)]	aggression; Aggression (MeSH); behavioral and mental disorders/tuberculosis; Tuberculosis (MeSH); bacterial disease; transmission/Mycobacterium bovis infection; bacterial disease								social group, social network, grooming, social transmission, intergroup social interaction	Green Published			2021-06-29	
J	BCI:BCI201000125707		Article		The ontogeny of social skills: experimental increases in social complexity enhance reproductive success in adult cowbirds		White, David J. (whitedj@psych.upenn.edu) ; Gersick, Andrew S.; Freed-Brown, Grace; Snyder-Mackler, Noah									Animal Behaviour		2010	FEB 2010	79	2	385-390	385	390	English						The social environment can act as an important selective force on both morphological and behavioural traits by conferring a reproductive advantage on individuals that successfully navigate social interactions. The ontogeny of these social traits is poorly understood. We examined whether increasing exposure to more complex social environments could hone competitive skills and ultimately increase reproductive success in adult brown-headed cowbirds, Molothrus ater. We created two types of flocks ('Dynamic' and 'Stable') that differed in social complexity. In Dynamic flocks, birds were regularly exchanged across groups, whereas in 'Stable' flocks, the composition of birds remained static throughout a year. Social networking analyses revealed that males in the Dynamic flocks had larger and more variable singing networks during the manipulations than did the males in the Stable flocks. When we put males from the two conditions together into new environments with unfamiliar females, the Dynamic-condition males had greater mating success. Our results establish a link between social competence and reproductive success and suggest that social skills are extremely flexible characteristics, even in adulthood. (C) 2009 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.	White, David J.; Univ Penn, Dept Psychol, 3720 Walnut St, Philadelphia, PA 19104 USA		Snyder-Mackler, Noah/N-7395-2013	Snyder-Mackler, Noah/0000-0003-3026-6160	0	34		34	30	34			Behavioral Sciences; Reproductive Biology	0003-3472	1095-8282	10.1016/j.anbehav.2009.11.014		Behavior; Reproduction	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 16504, Reproductive system - Physiology and biochemistry	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Molothrus ater; brown-headed cowbird; (mature; female, male)]									reproductive success, social complexity, social competence, social skill ontogeny				2021-06-29	
J	BCI:BCI201000101440	19558522	Article		Potential Effects of the United States-Mexico Border Fence on Wildlife		Flesch, Aaron D. (aaron.flesch@umontana.edu) ; Epps, Clinton W.; Cain, James W., III; Clark, Matt; Krausman, Paul R.; Morgart, John R.									Conservation Biology		2010	FEB 2010	24	1	171-181	171	181	English						Security infrastructure along international boundaries threatens to degrade connectivity for wildlife. To explore potential effects of a fence under construction along the U.S.-Mexico border on wildlife, we assessed movement behavior of two species with different life histories whose regional persistence may depend on transboundary movements. We used radiotelemetry to assess how vegetation and landscape structure affect flight and natal dispersal behaviors of Ferruginous Pygmy-Owls (Glaucidium brasilianum), and satellite telemetry, gene-flow estimates, and least-cost path models to assess movement behavior and interpopulation connectivity of desert bighorn sheep (Ovis canadensis mexicana). Flight height of Pygmy-Owls averaged only 1.4 m (SE 0.1) above ground, and only 23% of flights exceeded 4 m. Juvenile Pygmy-Owls dispersed at slower speeds, changed direction more, and had lower colonization success in landscapes with larger vegetation openings or higher levels of disturbance (p <= 0.047), which suggests large vegetation gaps coupled with tall fences may limit transboundary movements. Female bighorn sheep crossed valleys up to 4.9 km wide, and microsatellite analyses indicated relatively high levels of gene flow and migration (95% CI for F-ST = 0.010-0.115, Nm = 1.9-24.8, M = 10.4-15.4) between populations divided by an 11-km valley. Models of gene flow based on regional topography and movement barriers suggested that nine populations of bighorn sheep in northwestern Sonora are linked by dispersal with those in neighboring Arizona. Disruption of transboundary movement corridors by impermeable fencing would isolate some populations on the Arizona side. Connectivity for other species with similar movement abilities and spatial distributions may be affected by border development, yet mitigation strategies could address needs of wildlife and humans.	Flesch, Aaron D.; Univ Montana, Div Biol Sci, Avian Sci Ctr, Missoula, MT 59812 USA			Flesch, Aaron/0000-0003-3434-0778	3	136		46	34	42			Behavioral Sciences; Environmental Sciences & Ecology; Genetics & Heredity	0888-8892	1523-1739	10.1111/j.1523-1739.2009.01277.x		Behavior; Terrestrial Ecology (Ecology, Environmental Sciences); Population Genetics (Population Studies)	03506, Genetics - Animal; 03508, Genetics - Human; 03509, Genetics - Population genetics; 07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 07004, Behavioral biology - Human behavior; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 25000, Pediatrics	Artiodactyla, Mammalia, Vertebrata, Chordata, Animalia; Animals, Artiodactyls, Chordates, Mammals, Nonhuman Vertebrates, Nonhuman Mammals, Vertebrates; Bovidae [85715]; [Ovis canadensis mexicana; bighorn sheep; (female)]/Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Strigiformes [85564]; [Glaucidium brasilianum; pygmy-owl; (immature)]					Mexico; North America; Nearctic region/Sonoran Desert; North America; Nearctic region		satellite telemetry; applied and field techniques/radiotelemetry; applied and field techniques/least-cost path model; mathematical and computer techniques		landscape structure, gene-flow, colonization success, species movement behavior, border fence effect, interpopulation connectivity, species natal dispersal behavior				2021-06-29	
J	BCI:BCI201000411392		Article		Phylogeography of the Clicking Stream Frog Strongylopus grayii (Anura, Pyxicephalidae) reveals cryptic divergence across climatic zones in an abundant and widespread taxon		Tolley, Krystal A. (k.tolley@sanbi.org.za) ; Braae, Anne; Cunningham, Michael									AFRICAN JOURNAL OF HERPETOLOGY		2010		59	1	17-32	17	32	English						The Clicking Stream Frog (Strongylopus grayii) occurs throughout southern and eastern South Africa across summer, aseasonal and winter rainfall areas. Because of its contiguous distribution and extended breeding season this species might be expected to show a phylogeographic pattern of isolation by distance rather than divergent geographical lineages. To investigate population structure and make inferences about physical processes that have influenced gene flow in this species, two mitochondrial genes (ND2 and 16S) were sequenced for 64 frogs from across the distribution of the species. Phylogenetic analyses (parsimony and Bayesian) revealed two well-supported clades partitioning the range of this taxon, with one clade restricted to the northeast (summer rainfall) and the other restricted to the south (winter and aseasonal rainfall). The magnitude of sequence divergence between these clades is higher than expected, and is typical of levels of sequence divergence found among closely related species of pyxicephalid frogs. Phylogeographic analyses of sequence networks and spatial analysis of molecular variance (SAMOVA) revealed additional geographical structure within each of these lineages. This study demonstrates the effectiveness of climatic transitions as barriers to gene flow and as potential agents for vicariant speciation.	Tolley, Krystal A.; S African Natl Biodivers Inst, Appl Biodivers Res Div, Cape Town, South Africa		Tolley, Krystal A/D-9738-2011	Tolley, Krystal/0000-0002-7778-1963	0	7		73	22	22			Genetics & Heredity; Meteorology & Atmospheric Sciences; Life Sciences & Biomedicine - Other Topics	2156-4574	2153-3660	10.1080/04416651003744943		Molecular Genetics (Biochemistry and Molecular Biophysics); Population Genetics (Population Studies); Climatology (Environmental Sciences); Biogeography (Population Studies)	03502, Genetics - General; 03506, Genetics - Animal; 03509, Genetics - Population genetics; 07502, Ecology: environmental biology - General and methods; 07504, Ecology: environmental biology - Bioclimatology and biometeorology; 07508, Ecology: environmental biology - Animal; 62800, Animal distribution	Amphibia, Vertebrata, Chordata, Animalia; Amphibians, Animals, Chordates, Nonhuman Vertebrates, Vertebrates; Salientia [85306]; [Anura] [Pyxicephalidae] [Strongylopus grayii; clicking stream frog]			Strongylopus grayii ND2 gene [Salientia]/Strongylopus grayii 16S rRNA gene [Salientia]		South Africa; Africa; Ethiopian region		phylogenetic analysis; mathematical and computer techniques		gene flow, breeding season, GenBank sequence data, species distribution, population structure, phylogeography, climatic zone, climatic transition, geographical structure, cryptic divergence				2021-06-29	
J	BCI:BCI201100002237		Article		Adaptive Co-management Networks: a Comparative Analysis of Two Fishery Conservation Areas in Sweden		Sandstrom, Annica; Rova, Carl									Ecology and Society		2010		15	3	Article No.: ZZ	ZZ		English						Co-management constitutes a certain type of institutional arrangement that has gained increased attention among both policy makers and researchers involved in the field of natural resource management. Yet the concept of co-management is broad, and our knowledge about how different kinds of management structures affect the ability to deal with challenges pertinent to the commons is limited. One of these challenges is to foster an adaptive management process, i.e., a process in which rules are continuously revised and changed according to what is known about the ecological system. We aim to address the relationship between different kinds of co-management structures and adaptive management. To this end, we conducted a comparative case study of two Fishery Conservation Areas in Sweden. The concept of networks and the formal method of social network analysis are applied as theoretical and methodological devices. Building on previous research, we propose that adaptive management processes occur in co-management networks consisting of a heterogeneous set of actors that are centrally and densely integrated. Networks of this kind are believed to promote a management process in which actors with disparate perspectives and resources formulate a common view regarding the condition of the ecosystem, the basic problem to be solved, and what measures to adopt. The empirical findings support the existence of such a relationship. Nonetheless, the restricted empirical material, an inability to control for hidden variables, and a lack of success in determining causality among variables are all factors that call for more research.	Sandstrom, Annica; Div Social Sci, Polit Sci Unit, Lule, Sweden				0	34		67	28	66			Government & Law; Biodiversity & Conservation; Fisheries	1708-3087				Government and Law; Wildlife Management (Conservation); Aquaculture	00508, General biology - Institutions, administration and legislation; 00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07516, Ecology: environmental biology - Wildlife management: aquatic	Vertebrata, Chordata, Animalia; Animals, Chordates, Fish, Nonhuman Vertebrates, Vertebrates; Pisces [85200]; [fish]					Sweden; Europe; Palearctic region		comparative analysis; laboratory techniques/social network analysis; laboratory techniques		natural resource management, social network, adaptive management, fishery conservation area	DOAJ Gold			2021-06-29	
J	BCI:BCI201000103164	20014006	Article	Literature Review	Functional Organization of Mammalian Mitochondrial DNA in Nucleoids: History, Recent Developments, and Future Challenges		Spelbrink, Johannes N. (hans.spelbrink@uta.fi)									IUBMB Life		2010	JAN 2010	62	1	19-32	19	32	English						Various proteins involved in replication, repair, and the structural organization of mitochondrial DNA (mtDNA) have been characterized in detail over the past 25 or so years. In addition, in recent years, many proteins were identified with a role in the dynamics of the mitochondrial network. Using advanced imaging and an increasing number of cytological techniques, we have begun to realize that an important aspect to mtDNA maintenance., in both health and disease, is its organization within the dynamic mitochondrial network in discrete protein-DNA complexes usually termed nucleoids. Here, I review recent developments in the study of nucleoid dynamics and proteins. I will discuss the implications of the organization of mtDNA in nucleoids in light of DNA replication, repair, gene expression, segregation, and inheritance. (C) 2009 IUBMB IUBMB Life, 62(1): 19-32, 2010	Spelbrink, Johannes N.; Univ Tampere, Inst Med Technol, FinMIT Ctr Excellence, Biokatu 6, Tampere 33014, TAY, Finland		Spelbrink, Johannes N/L-4661-2015	Spelbrink, Johannes N/0000-0002-9756-2602	0	6		117	103	115			Genetics & Heredity	1521-6543	1521-6551	10.1002/iub.282		Molecular Genetics (Biochemistry and Molecular Biophysics)	03502, Genetics - General; 03508, Genetics - Human; 10064, Biochemistry studies - Proteins, peptides and amino acids	Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Humans, Mammals, Primates, Vertebrates; Hominidae [86215]; [human]		proteins/protein-DNA complexes/nucleoids	human mtDNA gene [Hominidae]; human mitochondrial DNA gene; expression				cytological technique; laboratory techniques		mitochondrial network	Bronze			2021-06-29	
J	BCI:BCI201000282098		Article		Spatial and temporal use of spawning aggregation sites by the tropical sciaenid Protonibea diacanthus		Semmens, Jayson M. (jayson.semmens@utas.edu.au) ; Buxton, C. D.; Forbes, E.; Phelan, M. J.									Marine Ecology Progress Series		2010		403		193-203	193	203	English						Fish spawning aggregations (FSA) are generally spatially and temporally predictable, making them particularly vulnerable to fishing, which is capable of rapidly removing a significant proportion of the aggregated adults and reducing egg production. These effects may cause the loss of the aggregation altogether. In the Northern Territory (NT), Australia, repeated fishing of known aggregations of the tropical sciaenid species, the blackspotted croaker Protonibea diacanthus, is probably unsustainable, particularly given this species decline elsewhere. Acoustic monitoring was used to examine the temporal and spatial movement patterns and site fidelity of P. diacanthus in the NT. Fish were only detected at their respective aggregations, providing no evidence of large-scale movements between FSA. There was evidence for behavioural polymorphism in the aggregations, and fish monitored for >= 1 yr showed decreased presence during cooler months and increased presence during warmer months when peak spawning occurs. The tidal cycle significantly influenced the detection of tagged fish, with detections peaking on running tides, the peak period for catching P. diacanthus, suggesting that this is when they feed. This study has provided important information on the connectivity and dynamics of P. diacanthus aggregations in the NT, including crucial information for implementing appropriate management strategies for this vulnerable species. There appears to be little interchange of adult P. diacanthus at the spatial scale examined, which suggests that the separate FSA examined support separate adult populations. The presence of seemingly separate spawning populations of P. diacanthus has significant implications for their management, with the potential for each aggregation to be vulnerable to localised depletion.	Semmens, Jayson M.; Univ Tasmania, Marine Res Lab, Tasmanian Aquaculture and Fisheries Inst, Private Bag 49, Hobart, Tas 7001, Australia			Buxton, Colin/0000-0002-3256-5220; Semmens, Jayson/0000-0003-1742-6692	0	23		54	22	24			Environmental Sciences & Ecology; Marine & Freshwater Biology; Biodiversity & Conservation; Fisheries	0171-8630	1616-1599	10.3354/meps08469		Marine Ecology (Ecology, Environmental Sciences); Wildlife Management (Conservation); Aquaculture	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07512, Ecology: environmental biology - Oceanography; 07516, Ecology: environmental biology - Wildlife management: aquatic	Pisces, Vertebrata, Chordata, Animalia; Animals, Chordates, Fish, Nonhuman Vertebrates, Vertebrates; Osteichthyes [85206]; [Protonibea diacanthus; blackspotted croaker; (egg, mature; protected species)]					Northern Territory; Australia; Australasian region		acoustic monitoring; applied and field techniques		site fidelity, behavioral polymorphism, large-scale movement, temporal movement pattern, spawning aggregation site, fish spawning aggregation, spatial movement pattern	Bronze			2021-06-29	
J	BCI:BCI201000016324	19793756	Article		Network cohesion, group size and neocortex size in female-bonded Old World primates		Lehmann, Julia; Dunbar, R. I. M. (robin.dunbar@anthro.ox.ac.uk)									Proceedings of the Royal Society Biological Sciences Series B		2009	DEC 22 2009	276	1677	4417-4422	4417	4422	English						Most primates are intensely social and spend a large amount of time servicing social relationships. In this study, we use social network analysis to examine the relationship between primate group size, total brain size, neocortex ratio and several social network metrics concerned with network cohesion. Using female grooming networks from a number of Old World monkey species, we found that neocortex size was a better predictor of network characteristics than endocranial volumes. We further found that when we controlled for group size, neocortex ratio was negatively correlated with network density, connectivity, relative clan size and proportional clan membership, while there was no effect of neocortex ratio on change in connectivity following the removal of the most central female in the network. Thus, in species with larger neocortex ratios, females generally live in more fragmented networks, belong to smaller grooming clans and are members of relatively fewer clans despite living in a closely bonded group. However, even though groups are more fragmented to begin with among species with larger neocortices, the removal of the most central individual does cause groups to fall apart, suggesting that social complexity may ultimately involve the management of highly fragmented social groups while at the same time maintaining overall social cohesion. These results emphasize a need for more detailed brain data on a wider sample of primate species.	Dunbar, R. I. M.; Univ Oxford, Inst Cognit and Evolutionary Anthropol, Oxford OX2 6PN, UK			Lehmann, Julia/0000-0001-7278-1705	0	49		32	50	60			Environmental Sciences & Ecology; Neurosciences & Neurology	0962-8452		10.1098/rspb.2009.1409		Terrestrial Ecology (Ecology, Environmental Sciences); Nervous System (Neural Coordination)	07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 20504, Nervous system - Physiology and biochemistry	Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Mammals, Nonhuman Mammals, Nonhuman Vertebrates, Nonhuman Primates, Primates, Vertebrates; Cercopithecidae [86205]; [guenon; Old World monkey; (female)] [macaque; Old World monkey; (female)] [baboon; Old World monkey; (female)] [gelada; Old World monkey; (female)]							social network analysis; applied and field techniques	brain; nervous system/neocortex; nervous system	group size, female grooming network, clan membership, social network cohesion, female-female social relationship	Green Published			2021-06-29	
