TREAMENT,TREATEMENT_PERIOD,NODE,DEGREE,DEGREE_NORMALIZED,EIGENVECTOR,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY
C1,1,AA,16,0.551724138,0.220084399,0.69047619,0.04055989
C1,1,AM,8,0.275862069,0.108729052,0.58,0.006680884
C1,1,AP,15,0.517241379,0.216193147,0.674418605,0.029957938
C1,1,AS,18,0.620689655,0.268325398,0.725,0.029051555
C1,1,AT,19,0.655172414,0.264145913,0.743589744,0.050167604
C1,1,AV,10,0.344827586,0.147022407,0.604166667,0.011972047
C1,1,ZD,11,0.379310345,0.160316439,0.617021277,0.013053022
C1,1,ZE,11,0.379310345,0.157033175,0.617021277,0.012850826
C1,1,ZH,15,0.517241379,0.214385305,0.674418605,0.026835979
C1,1,ZK,11,0.379310345,0.166847837,0.617021277,0.010795604
C1,1,ZL,18,0.620689655,0.260642172,0.725,0.039119502
C1,1,ZO,6,0.206896552,0.088859273,0.547169811,0.00331837
C1,1,ZP,12,0.413793103,0.183738846,0.630434783,0.00916337
C1,1,ZT,17,0.586206897,0.244714662,0.707317073,0.03548461
C1,1,ZU,15,0.517241379,0.219737752,0.674418605,0.023884107
C1,1,ZV,10,0.344827586,0.136340822,0.604166667,0.0130691
C1,1,ZX,9,0.310344828,0.108516458,0.58,0.015368776
C1,1,AC,15,0.517241379,0.228568329,0.674418605,0.020194663
C1,1,AE,14,0.482758621,0.171909111,0.659090909,0.04328947
C1,1,AH,17,0.586206897,0.237043071,0.707317073,0.040863543
C1,1,AK,12,0.413793103,0.156872195,0.617021277,0.022706856
C1,1,AL,12,0.413793103,0.174009974,0.630434783,0.018184781
C1,1,AO,13,0.448275862,0.193644366,0.630434783,0.016748862
C1,1,AU,9,0.310344828,0.133420093,0.58,0.005871824
C1,1,AD,9,0.310344828,0.119208782,0.591836735,0.014500128
C1,1,ZC,6,0.206896552,0.066161191,0.547169811,0.006685546
C1,1,AX,9,0.310344828,0.112777853,0.591836735,0.017799709
C1,1,ZS,11,0.379310345,0.159578799,0.617021277,0.013093772
C1,1,ZM,9,0.310344828,0.139812849,0.591836735,0.006317027
C1,1,ZZ,13,0.448275862,0.181207989,0.644444444,0.025563345
C1,2,AA,15,0.517241379,0.17535064,0.659090909,0.022851954
C1,2,AD,17,0.586206897,0.21091766,0.707317073,0.046906219
C1,2,AL,15,0.517241379,0.185725976,0.674418605,0.017398885
C1,2,AM,14,0.482758621,0.182838416,0.659090909,0.011674118
C1,2,AT,13,0.448275862,0.162656464,0.630434783,0.014230207
C1,2,AU,18,0.620689655,0.216722666,0.725,0.033640278
C1,2,AV,14,0.482758621,0.177456561,0.659090909,0.012184026
C1,2,ZC,15,0.517241379,0.197721762,0.674418605,0.012420824
C1,2,ZD,12,0.413793103,0.147032112,0.630434783,0.024748506
C1,2,ZE,17,0.586206897,0.222241318,0.707317073,0.013985495
C1,2,ZH,14,0.482758621,0.1719761,0.644444444,0.017048975
C1,2,ZO,17,0.586206897,0.217196602,0.707317073,0.019331993
C1,2,ZP,8,0.275862069,0.097182523,0.568627451,0.005025831
C1,2,ZT,12,0.413793103,0.150216352,0.630434783,0.009861068
C1,2,ZV,12,0.413793103,0.121473533,0.591836735,0.009886515
C1,2,ZX,19,0.655172414,0.233883839,0.743589744,0.033958821
C1,2,AC,6,0.206896552,0.078214136,0.547169811,0.001157094
C1,2,AE,20,0.689655172,0.239568292,0.763157895,0.066528215
C1,2,AK,18,0.620689655,0.218571641,0.725,0.030667079
C1,2,ZK,3,0.103448276,0.032232696,0.475409836,0.000615764
C1,2,ZL,23,0.793103448,0.283066714,0.783783784,0.029966865
C1,2,ZS,14,0.482758621,0.184519784,0.659090909,0.009772653
C1,2,ZU,17,0.586206897,0.227437719,0.707317073,0.013115934
C1,2,AH,14,0.482758621,0.186078109,0.659090909,0.009510269
C1,2,AO,18,0.620689655,0.218501746,0.725,0.052783724
C1,2,AS,11,0.379310345,0.140104962,0.604166667,0.007876114
C1,2,AX,15,0.517241379,0.189213289,0.674418605,0.017197419
C1,2,ZM,2,0.068965517,0.029801551,0.483333333,0
C1,2,ZZ,14,0.482758621,0.166705267,0.644444444,0.017746751
C1,2,AP,13,0.448275862,0.13748298,0.617021277,0.021652248
C2,1,CA,5,0.192307692,0.09160701,0.5,0.004717949
