,Focal.Letter,Social.Partner,Treatment.Period,Group.ID.Populations,Treatment,num_interactions,ordered.pair.period,scans.where.at.least.1.seen,SRI
1,AA,AD,2,C1,Control,2,AA_AD_2,47,0.042553191
2,AA,AL,2,C1,Control,2,AA_AL_2,48,0.041666667
3,AA,AM,1,C1,Control,2,AA_AM_1,44,0.045454545
4,AA,AM,2,C1,Control,1,AA_AM_2,48,0.020833333
5,AA,AP,1,C1,Control,1,AA_AP_1,47,0.021276596
6,AA,AS,1,C1,Control,2,AA_AS_1,47,0.042553191
7,AA,AT,1,C1,Control,2,AA_AT_1,47,0.042553191
8,AA,AT,2,C1,Control,1,AA_AT_2,46,0.02173913
9,AA,AU,2,C1,Control,1,AA_AU_2,48,0.020833333
10,AA,AV,1,C1,Control,1,AA_AV_1,46,0.02173913
11,AA,AV,2,C1,Control,3,AA_AV_2,46,0.065217391
12,AA,ZC,2,C1,Control,1,AA_ZC_2,46,0.02173913
13,AA,ZD,1,C1,Control,1,AA_ZD_1,44,0.022727273
14,AA,ZD,2,C1,Control,1,AA_ZD_2,46,0.02173913
15,AA,ZE,1,C1,Control,6,AA_ZE_1,47,0.127659574
16,AA,ZE,2,C1,Control,1,AA_ZE_2,47,0.021276596
17,AA,ZH,1,C1,Control,1,AA_ZH_1,45,0.022222222
18,AA,ZH,2,C1,Control,1,AA_ZH_2,45,0.022222222
19,AA,ZK,1,C1,Control,2,AA_ZK_1,43,0.046511628
20,AA,ZL,1,C1,Control,2,AA_ZL_1,47,0.042553191
21,AA,ZO,1,C1,Control,1,AA_ZO_1,41,0.024390244
22,AA,ZO,2,C1,Control,1,AA_ZO_2,47,0.021276596
23,AA,ZP,1,C1,Control,2,AA_ZP_1,47,0.042553191
24,AA,ZP,2,C1,Control,1,AA_ZP_2,48,0.020833333
25,AA,ZT,1,C1,Control,4,AA_ZT_1,47,0.085106383
26,AA,ZT,2,C1,Control,1,AA_ZT_2,48,0.020833333
27,AA,ZU,1,C1,Control,1,AA_ZU_1,46,0.02173913
28,AA,ZV,1,C1,Control,1,AA_ZV_1,43,0.023255814
29,AA,ZV,2,C1,Control,1,AA_ZV_2,45,0.022222222
30,AA,ZX,1,C1,Control,1,AA_ZX_1,46,0.02173913
31,AA,ZX,2,C1,Control,2,AA_ZX_2,46,0.043478261
32,AC,AE,1,C1,Control,1,AC_AE_1,46,0.02173913
33,AC,AE,2,C1,Control,1,AC_AE_2,47,0.021276596
34,AC,AH,1,C1,Control,1,AC_AH_1,46,0.02173913
35,AC,AK,1,C1,Control,2,AC_AK_1,44,0.045454545
36,AC,AK,2,C1,Control,1,AC_AK_2,46,0.02173913
37,AC,AL,1,C1,Control,1,AC_AL_1,42,0.023809524
38,AC,AO,1,C1,Control,1,AC_AO_1,46,0.02173913
39,AC,AP,1,C1,Control,1,AC_AP_1,47,0.021276596
40,AC,AS,1,C1,Control,1,AC_AS_1,46,0.02173913
41,AC,AT,1,C1,Control,2,AC_AT_1,47,0.042553191
42,AC,AU,1,C1,Control,1,AC_AU_1,42,0.023809524
43,AC,AU,2,C1,Control,1,AC_AU_2,47,0.021276596
44,AC,AV,1,C1,Control,2,AC_AV_1,42,0.047619048
45,AC,ZE,1,C1,Control,1,AC_ZE_1,40,0.025
46,AC,ZH,1,C1,Control,1,AC_ZH_1,43,0.023255814
47,AC,ZH,2,C1,Control,1,AC_ZH_2,43,0.023255814
48,AC,ZL,1,C1,Control,2,AC_ZL_1,45,0.044444444
49,AC,ZT,1,C1,Control,1,AC_ZT_1,46,0.02173913
50,AC,ZU,1,C1,Control,1,AC_ZU_1,42,0.023809524
51,AC,ZV,2,C1,Control,1,AC_ZV_2,34,0.029411765
52,AC,ZX,2,C1,Control,1,AC_ZX_2,37,0.027027027
53,AD,AA,2,C1,Control,2,AA_AD_2,47,0.042553191
54,AD,AE,1,C1,Control,1,AD_AE_1,45,0.022222222
55,AD,AE,2,C1,Control,1,AD_AE_2,47,0.021276596
56,AD,AH,1,C1,Control,1,AD_AH_1,44,0.022727273
57,AD,AL,1,C1,Control,1,AD_AL_1,42,0.023809524
58,AD,AL,2,C1,Control,2,AD_AL_2,47,0.042553191
59,AD,AM,2,C1,Control,1,AD_AM_2,47,0.021276596
60,AD,AT,1,C1,Control,1,AD_AT_1,46,0.02173913
61,AD,AU,1,C1,Control,1,AD_AU_1,43,0.023255814
62,AD,AU,2,C1,Control,2,AD_AU_2,47,0.042553191
63,AD,AV,1,C1,Control,1,AD_AV_1,45,0.022222222
64,AD,AV,2,C1,Control,1,AD_AV_2,47,0.021276596
65,AD,ZC,1,C1,Control,2,AD_ZC_1,40,0.05
66,AD,ZC,2,C1,Control,3,AD_ZC_2,43,0.069767442
67,AD,ZE,1,C1,Control,2,AD_ZE_1,46,0.043478261
68,AD,ZE,2,C1,Control,1,AD_ZE_2,47,0.021276596
69,AD,ZK,2,C1,Control,1,AD_ZK_2,40,0.025
70,AD,ZL,2,C1,Control,5,AD_ZL_2,46,0.108695652
71,AD,ZO,2,C1,Control,1,AD_ZO_2,45,0.022222222
72,AD,ZP,2,C1,Control,1,AD_ZP_2,46,0.02173913
73,AD,ZS,2,C1,Control,2,AD_ZS_2,45,0.044444444
74,AD,ZT,1,C1,Control,5,AD_ZT_1,46,0.108695652
75,AD,ZT,2,C1,Control,3,AD_ZT_2,48,0.0625
76,AD,ZU,2,C1,Control,2,AD_ZU_2,45,0.044444444
77,AD,ZX,2,C1,Control,2,AD_ZX_2,43,0.046511628
78,AE,AC,1,C1,Control,1,AC_AE_1,46,0.02173913
79,AE,AC,2,C1,Control,1,AC_AE_2,47,0.021276596
80,AE,AD,1,C1,Control,1,AD_AE_1,45,0.022222222
81,AE,AD,2,C1,Control,1,AD_AE_2,47,0.021276596
82,AE,AH,2,C1,Control,2,AE_AH_2,47,0.042553191
83,AE,AK,2,C1,Control,1,AE_AK_2,48,0.020833333
84,AE,AL,2,C1,Control,1,AE_AL_2,48,0.020833333
85,AE,AM,1,C1,Control,1,AE_AM_1,47,0.021276596
86,AE,AO,2,C1,Control,2,AE_AO_2,48,0.041666667
87,AE,AS,2,C1,Control,2,AE_AS_2,48,0.041666667
88,AE,AT,2,C1,Control,3,AE_AT_2,48,0.0625
89,AE,AU,1,C1,Control,1,AE_AU_1,45,0.022222222
90,AE,AV,2,C1,Control,2,AE_AV_2,48,0.041666667
91,AE,AX,1,C1,Control,2,AE_AX_1,46,0.043478261
92,AE,AX,2,C1,Control,3,AE_AX_2,48,0.0625
93,AE,ZC,1,C1,Control,1,AE_ZC_1,44,0.022727273
94,AE,ZC,2,C1,Control,2,AE_ZC_2,47,0.042553191
95,AE,ZD,1,C1,Control,3,AE_ZD_1,47,0.063829787
96,AE,ZD,2,C1,Control,3,AE_ZD_2,47,0.063829787
97,AE,ZE,2,C1,Control,3,AE_ZE_2,48,0.0625
98,AE,ZH,2,C1,Control,4,AE_ZH_2,47,0.085106383
99,AE,ZK,1,C1,Control,1,AE_ZK_1,44,0.022727273
100,AE,ZL,1,C1,Control,1,AE_ZL_1,47,0.021276596
101,AE,ZL,2,C1,Control,1,AE_ZL_2,48,0.020833333
102,AE,ZM,2,C1,Control,4,AE_ZM_2,47,0.085106383
103,AE,ZO,2,C1,Control,2,AE_ZO_2,47,0.042553191
104,AE,ZP,1,C1,Control,2,AE_ZP_1,46,0.043478261
105,AE,ZS,1,C1,Control,2,AE_ZS_1,45,0.044444444
106,AE,ZS,2,C1,Control,4,AE_ZS_2,47,0.085106383
107,AE,ZT,1,C1,Control,6,AE_ZT_1,47,0.127659574
108,AE,ZU,1,C1,Control,1,AE_ZU_1,46,0.02173913
109,AE,ZU,2,C1,Control,1,AE_ZU_2,48,0.020833333
110,AE,ZV,1,C1,Control,3,AE_ZV_1,46,0.065217391
111,AE,ZX,2,C1,Control,2,AE_ZX_2,47,0.042553191
112,AH,AC,1,C1,Control,1,AC_AH_1,46,0.02173913
113,AH,AD,1,C1,Control,1,AD_AH_1,44,0.022727273
114,AH,AE,2,C1,Control,2,AE_AH_2,47,0.042553191
115,AH,AM,2,C1,Control,1,AH_AM_2,47,0.021276596
116,AH,AO,2,C1,Control,1,AH_AO_2,48,0.020833333
117,AH,AP,1,C1,Control,1,AH_AP_1,47,0.021276596
118,AH,AS,1,C1,Control,1,AH_AS_1,46,0.02173913
119,AH,AT,1,C1,Control,1,AH_AT_1,46,0.02173913
120,AH,AU,1,C1,Control,3,AH_AU_1,46,0.065217391
121,AH,AV,1,C1,Control,1,AH_AV_1,46,0.02173913
122,AH,AX,2,C1,Control,1,AH_AX_2,48,0.020833333
123,AH,ZC,2,C1,Control,1,AH_ZC_2,46,0.02173913
124,AH,ZD,1,C1,Control,2,AH_ZD_1,45,0.044444444
125,AH,ZD,2,C1,Control,3,AH_ZD_2,47,0.063829787
126,AH,ZE,1,C1,Control,4,AH_ZE_1,46,0.086956522
127,AH,ZE,2,C1,Control,2,AH_ZE_2,47,0.042553191
128,AH,ZL,1,C1,Control,1,AH_ZL_1,46,0.02173913
129,AH,ZL,2,C1,Control,2,AH_ZL_2,47,0.042553191
130,AH,ZM,1,C1,Control,1,AH_ZM_1,45,0.022222222
131,AH,ZO,1,C1,Control,1,AH_ZO_1,43,0.023255814
132,AH,ZO,2,C1,Control,1,AH_ZO_2,47,0.021276596
133,AH,ZP,1,C1,Control,4,AH_ZP_1,46,0.086956522
134,AH,ZS,1,C1,Control,5,AH_ZS_1,45,0.111111111
