"network","animal","condition","replicate_num","density","n_nodes","effective_information"
"guppy","guppy","low_risk","1","1","8","0.0870237134361123"
"guppy","guppy","low_risk","2","0.904761904761905","7","0.242985035646382"
"guppy","guppy","low_risk","3","1","8","0.0742870319376527"
"guppy","guppy","low_risk","4","1","8","0.0989391311414543"
"guppy","guppy","low_risk","5","1","8","0.089825293199414"
"guppy","guppy","low_risk","6","1","8","0.092588471916501"
"guppy","guppy","low_risk","7","1","8","0.0926606302477813"
"guppy","guppy","low_risk","8","0.964285714285714","8","0.117657465195381"
"guppy","guppy","low_risk","9","1","8","0.0855939911159363"
"guppy","guppy","low_risk","10","1","8","0.0958298237054427"
"guppy","guppy","low_risk","11","0.964285714285714","8","0.161338265658266"
"guppy","guppy","low_risk","12","1","8","0.0955385173967397"
"guppy","guppy","low_risk","13","1","8","0.07532537006231"
"guppy","guppy","low_risk","14","1","8","0.084345623716013"
"guppy","guppy","low_risk","15","1","8","0.0882168043218043"
"guppy","guppy","low_risk","16","1","7","0.0847037096360667"
"guppy","guppy","high_risk","1","0.928571428571429","8","0.164338594339217"
"guppy","guppy","high_risk","2","0.875","8","0.092101042998217"
"guppy","guppy","high_risk","3","1","8","0.0952083092080177"
"guppy","guppy","high_risk","4","1","8","0.0871077310130373"
"guppy","guppy","high_risk","5","1","8","0.0904392384666357"
"guppy","guppy","high_risk","6","0.964285714285714","8","0.123280792181663"
"guppy","guppy","high_risk","7","0.964285714285714","8","0.109406623979597"
"guppy","guppy","high_risk","8","1","7","0.0981769970820243"
"guppy","guppy","high_risk","9","1","8","0.0838105708956303"
"guppy","guppy","high_risk","10","1","8","0.0940224214192313"
"guppy","guppy","high_risk","11","1","8","0.095229890613984"
"guppy","guppy","high_risk","12","1","8","0.0754419470906223"
"guppy","guppy","high_risk","13","1","7","0.085523451583547"
"guppy","guppy","high_risk","14","1","8","0.0942855100730473"
"guppy","guppy","high_risk","15","1","8","0.079626107836832"
"guppy","guppy","high_risk","16","0.875","8","0.081118251723434"
"mouse_LPS","mouse","before","1","0.488095238095238","21","0.25795204932015"
"mouse_LPS","mouse","before","2","0.773684210526316","20","0.110111082834729"
"mouse_LPS","mouse","before","3","0.645833333333333","16","0.15033483083429"
"mouse_LPS","mouse","before","4","0.505494505494505","14","0.277375076864222"
"mouse_LPS","mouse","before","5","0.158461538461538","26","0.584021298152461"
"mouse_LPS","mouse","before","6","0.396011396011396","27","0.275988642055798"
"mouse_LPS","mouse","before","7","0.820261437908497","18","0.0886689630628162"
"mouse_LPS","mouse","before","8","0.406666666666667","25","0.311151837445887"
"mouse_LPS","mouse","before","9","0.928571428571429","14","0.0776379351549403"
"mouse_LPS","mouse","before","10","0.545454545454545","11","0.314861217839338"
"mouse_LPS","mouse","before","11","0.836363636363636","11","0.112474147227201"
"mouse_LPS","mouse","before","12","0.858974358974359","13","0.0896606975658487"
"mouse_LPS","mouse","after","1","0.523809523809524","22","0.22807520226289"
"mouse_LPS","mouse","after","2","0.676470588235294","17","0.139877298813354"
"mouse_LPS","mouse","after","3","0.696078431372549","18","0.147529337588746"
"mouse_LPS","mouse","after","4","0.616666666666667","16","0.178647750929389"
"mouse_LPS","mouse","after","5","0.463636363636364","11","0.342872518922815"
"mouse_LPS","mouse","after","6","0.418461538461538","26","0.27986436940764"
"mouse_LPS","mouse","after","7","0.61578947368421","20","0.198519295075464"
"mouse_LPS","mouse","after","8","0.467692307692308","26","0.243127259541046"
"mouse_LPS","mouse","after","9","0.704761904761905","15","0.146448474128021"
