Study,Condition,Animal,Replicate #,Network ID,Betweenness Centrality,Eignvector Centrality,Degree,Node ID,Treatment
Bats,Pre,Bats,1,1,0,0.020573214,5,11,sick
Bats,Pre,Bats,1,1,0,0.24469463,8,12,control
Bats,Pre,Bats,1,1,32.5,0.227935,11,13,sick
Bats,Pre,Bats,1,1,8,0.270107422,8,15,sick
Bats,Pre,Bats,1,1,0,1,18,16,control
Bats,Pre,Bats,1,1,46.5,0.368498638,13,17,sick
Bats,Pre,Bats,1,1,0,0.07614484,7,18,sick
Bats,Pre,Bats,1,1,0,0.750514643,9,19,control
Bats,Pre,Bats,1,1,0,0.241337225,8,20,control
Bats,Pre,Bats,1,1,75,0.144362881,12,21,control
Bats,Pre,Bats,1,1,0,0.00432959,3,22,control
Bats,Pre,Bats,1,1,11,0.857975559,16,23,sick
Bats,Pre,Bats,1,1,56,0.14429138,12,24,control
Bats,Pre,Bats,1,1,23.5,0.764833865,14,25,sick
Bats,Pre,Bats,1,1,36,0.048411305,7,28,sick
Bats,Pre,Bats,1,1,75,0.067613516,9,29,sick
Bats,Pre,Bats,1,1,8,0.575508467,12,30,sick
Bats,Pre,Bats,1,1,0,0.271946649,9,31,control
Bats,Pre,Bats,1,1,0,0.559460603,9,32,control
Bats,Pre,Bats,1,1,58,0.693385624,17,33,sick
Bats,Pre,Bats,1,1,129.5,0.241060031,12,34,control
Bats,Pre,Bats,1,1,179.5,0.03250597,14,35,control
Bats,Pre,Bats,1,1,88,0.112019457,9,36,sick
Bats,Pre,Bats,1,1,29,0.299384792,14,37,control
Bats,Pre,Bats,1,1,0,0.205837158,10,38,control
Bats,Pre,Bats,1,1,0,0.810112934,14,39,control
Bats,Pre,Bats,1,1,0,0.097468759,3,40,sick
Bats,Pre,Bats,1,1,0,0.176135358,17,43,sick
Bats,Pre,Bats,1,1,37,0.690367383,12,44,sick
Bats,Pre,Bats,1,1,3,0.128635369,9,42,control
Bats,Pre,Bats,1,1,70.5,0.698574985,21,45,sick
Bats,Post,Bats,1,49,30,0.73856371,10,11,sick
Bats,Post,Bats,1,49,0,0.43525994,8,12,control
Bats,Post,Bats,1,49,48,0.778653831,17,13,sick
Bats,Post,Bats,1,49,27,0.1385763,11,15,sick
Bats,Post,Bats,1,49,48,0.101705177,7,16,control
Bats,Post,Bats,1,49,32,0.149080836,10,17,sick
Bats,Post,Bats,1,49,0,0.73697445,10,18,sick
Bats,Post,Bats,1,49,0,0.773821552,11,19,control
Bats,Post,Bats,1,49,0,0.655604625,11,20,control
Bats,Post,Bats,1,49,2,0.711159349,10,21,control
Bats,Post,Bats,1,49,108,0.785515891,15,22,control
Bats,Post,Bats,1,49,0,0.003841739,1,23,sick
Bats,Post,Bats,1,49,16,0.173251504,13,24,control
Bats,Post,Bats,1,49,0,0.1164027,7,25,sick
Bats,Post,Bats,1,49,12,0.097761323,10,28,sick
Bats,Post,Bats,1,49,0,0.822674778,12,29,sick
Bats,Post,Bats,1,49,0,0.863601891,12,30,sick
Bats,Post,Bats,1,49,0,0.157354835,9,31,control
Bats,Post,Bats,1,49,0,0.078794717,5,32,control
Bats,Post,Bats,1,49,2,0.148849173,11,33,sick
Bats,Post,Bats,1,49,26,0.483183469,8,34,control
Bats,Post,Bats,1,49,79,0.289270195,18,35,control
Bats,Post,Bats,1,49,245,0.181507298,17,36,sick
Bats,Post,Bats,1,49,27,0.35691801,11,37,control
Bats,Post,Bats,1,49,49,0.826503712,15,38,control
Bats,Post,Bats,1,49,0,0.565503807,15,39,control
Bats,Post,Bats,1,49,24,1,13,42,control
Bats,Post,Bats,1,49,1,0.425915515,8,44,sick
Bats,Post,Bats,1,49,0,0.406648286,9,43,sick
Bats,Post,Bats,1,49,0,0.140110921,9,45,sick
Bats,Post,Bats,1,49,0,0.047583069,3,40,sick
