condition,treatment_bat1,bat1,bat2,weight
pre,sick,11,13,255
pre,sick,11,18,309
pre,sick,11,30,463
pre,sick,11,34,222
pre,sick,11,35,410
pre,control,12,17,1232
pre,control,12,21,945
pre,control,12,25,991
pre,control,12,33,2340
pre,control,12,38,1228
pre,control,12,42,1196
pre,control,12,43,1349
pre,control,12,45,1890
pre,sick,13,16,420
pre,sick,13,17,72
pre,sick,13,20,2506
pre,sick,13,23,2165
pre,sick,13,24,1864
pre,sick,13,29,40
pre,sick,13,37,270
pre,sick,13,38,1274
pre,sick,13,43,1581
pre,sick,13,45,1131
pre,sick,15,21,2700
pre,sick,15,25,63
pre,sick,15,33,2257
pre,sick,15,34,2278
pre,sick,15,37,2701
pre,sick,15,39,2134
pre,sick,15,42,2309
pre,sick,15,45,88
pre,control,16,17,1216
pre,control,16,19,2466
pre,control,16,20,1064
pre,control,16,21,80
pre,control,16,23,3588
pre,control,16,24,403
pre,control,16,25,3598
pre,control,16,30,2111
pre,control,16,31,375
pre,control,16,32,2970
pre,control,16,33,2759
pre,control,16,36,360
pre,control,16,38,1225
pre,control,16,39,3239
pre,control,16,43,169
pre,control,16,44,3075
pre,control,16,45,2373
pre,sick,17,20,3453
pre,sick,17,23,1203
pre,sick,17,25,1214
pre,sick,17,31,1112
pre,sick,17,33,1201
pre,sick,17,38,1591
pre,sick,17,39,1215
pre,sick,17,40,2386
pre,sick,17,43,2382
pre,sick,17,45,8
pre,sick,18,29,40
pre,sick,18,35,265
pre,sick,18,37,270
pre,sick,18,39,1125
pre,sick,18,43,170
pre,sick,18,45,710
pre,control,19,23,2506
pre,control,19,25,2570
pre,control,19,30,2104
pre,control,19,33,876
pre,control,19,37,270
pre,control,19,39,3588
pre,control,19,44,2700
pre,control,19,45,2700
pre,control,20,23,1057
pre,control,20,38,1335
pre,control,20,40,2530
pre,control,20,43,2698
pre,control,20,45,81
pre,control,21,23,152
pre,control,21,29,137
pre,control,21,34,88
pre,control,21,36,783
pre,control,21,37,2866
pre,control,21,38,440
pre,control,21,42,2150
pre,control,21,44,89
pre,control,21,45,481
pre,control,22,24,82
pre,control,22,28,1217
pre,control,22,35,510
pre,sick,23,24,67
pre,sick,23,25,1020
pre,sick,23,28,1050
pre,sick,23,30,2087
pre,sick,23,32,2700
pre,sick,23,33,2779
pre,sick,23,35,104
pre,sick,23,39,2690
pre,sick,23,44,3469
pre,sick,23,45,810
pre,control,24,25,708
pre,control,24,31,148
pre,control,24,32,168
pre,control,24,33,144
pre,control,24,35,119
pre,control,24,37,480
pre,control,24,39,900
pre,control,24,45,533
pre,sick,25,30,2088
pre,sick,25,32,2700
pre,sick,25,33,1934
pre,sick,25,35,106
pre,sick,25,43,163
pre,sick,25,44,3473
pre,sick,25,45,2480
pre,sick,28,32,50
pre,sick,28,34,36
pre,sick,28,35,810
pre,sick,28,36,15
pre,sick,28,43,32
pre,sick,29,33,40
pre,sick,29,34,31
pre,sick,29,36,1809
pre,sick,29,37,2711
pre,sick,29,42,2129
pre,sick,29,43,48
pre,sick,30,33,1562
pre,sick,30,34,41
pre,sick,30,39,2111
pre,sick,30,42,40
pre,sick,30,43,59
pre,sick,30,44,1327
pre,sick,30,45,1125
pre,control,31,33,1514
pre,control,31,34,2736
pre,control,31,37,2166
pre,control,31,38,2220
pre,control,31,44,1653
pre,control,31,45,1035
pre,control,32,35,104
pre,control,32,43,80
pre,control,32,44,2704
pre,control,32,45,2894
pre,sick,33,34,3028
pre,sick,33,35,58
pre,sick,33,37,260
pre,sick,33,39,3589
pre,sick,33,42,24
pre,sick,33,43,149
pre,control,34,35,32
pre,control,34,37,3542
pre,control,34,38,1380
pre,control,34,39,16
pre,control,35,36,13
pre,control,35,39,108
pre,control,35,44,197
pre,control,35,45,96
pre,sick,36,37,2142
pre,sick,36,42,1871
pre,sick,36,44,8
pre,sick,36,45,1110
pre,control,37,39,2250
pre,control,37,42,2319
pre,control,37,45,535
pre,control,38,42,1362
pre,control,38,43,1432
pre,control,39,43,167
pre,control,39,45,3502
pre,sick,40,43,2703
pre,sick,43,44,48
pre,sick,43,45,162
pre,sick,44,45,624
post,sick,11,13,2620
post,sick,11,19,3587
post,sick,11,21,3600
post,sick,11,22,150
post,sick,11,30,3600
post,sick,11,34,3600
post,sick,11,35,315
post,sick,11,38,2750
post,sick,11,42,2606
post,sick,11,44,2365
post,control,12,20,1513
post,control,12,22,3586
post,control,12,29,3590
post,control,12,35,1080
post,control,12,37,2011
post,control,12,39,2045
post,control,12,42,388
post,control,12,43,3589
post,sick,13,15,561
post,sick,13,16,500
post,sick,13,19,3074
post,sick,13,21,3041
post,sick,13,22,2614
post,sick,13,24,577
post,sick,13,25,503
post,sick,13,29,2613
post,sick,13,30,3077
post,sick,13,32,504
post,sick,13,33,502
post,sick,13,34,3094
post,sick,13,35,975
post,sick,13,42,2612
post,sick,13,44,2620
post,sick,13,45,505
post,sick,15,16,2454
post,sick,15,17,224
post,sick,15,24,3587
post,sick,15,25,744
post,sick,15,28,1118
post,sick,15,32,2733
post,sick,15,33,3586
post,sick,15,35,255
post,sick,15,36,3156
post,sick,15,45,3600
post,control,16,24,3599
post,control,16,25,2986
post,control,16,33,2703
post,control,16,36,16
post,control,16,45,2976
post,sick,17,24,609
post,sick,17,28,3558
post,sick,17,31,3586
post,sick,17,33,1667
post,sick,17,35,1947
post,sick,17,37,1312
post,sick,17,38,487
post,sick,17,39,1530
post,sick,17,40,2140
post,sick,18,19,1851
post,sick,18,21,1618
post,sick,18,22,3586
post,sick,18,29,3600
post,sick,18,30,1892
post,sick,18,36,282
post,sick,18,38,3097
post,sick,18,39,2042
post,sick,18,42,3600
post,sick,18,43,2260
post,control,19,20,2074
post,control,19,21,3600
post,control,19,22,423
post,control,19,30,1884
post,control,19,34,3586
post,control,19,39,1005
post,control,19,42,3600
post,control,19,44,2364
post,control,20,22,3084
post,control,20,29,2072
post,control,20,35,1122
post,control,20,36,219
post,control,20,37,2073
post,control,20,38,3098
post,control,20,39,2046
post,control,20,42,3590
post,control,20,43,3589
post,control,21,22,134
post,control,21,30,3596
post,control,21,34,3586
post,control,21,38,2700
post,control,21,39,804
post,control,21,44,2360
post,control,22,29,2906
post,control,22,30,1848
post,control,22,34,209
post,control,22,35,1083
post,control,22,36,322
post,control,22,37,1791
post,control,22,38,3094
post,control,22,42,3034
post,sick,23,36,525
post,control,24,25,3600
post,control,24,28,607
post,control,24,31,3077
post,control,24,32,842
post,control,24,33,3020
post,control,24,35,259
post,control,24,38,492
post,control,24,39,760
post,control,24,45,3600
post,sick,25,33,3600
post,sick,25,36,2350
