"","trt","id1","id2","distance","weight"
"1","NB","CU138","CU159",37.185688937779,2
"2","NB","CU140","CU159",31.6994316174683,2
"3","NB","CU140","CU147",24.9453285992633,3
"4","NB","CU140","CU138",39.8405074436036,2
"5","NB","CU140","CU96",15.2786572152073,4
"6","NB","CU140","CU45",46.1940071483935,1
"7","NB","CU140","CU53",31.6994316174683,2
"8","NB","CU140","CU174",35.6348647602182,2
"9","NB","CU140","CU167",42.38742190523,1
"10","NB","CU140","CU95",30.4221451786845,2
"11","NB","CU141","CU78",8.95593655374622,5
"12","NB","CU145","CU143",20.6205611476235,3
"13","NB","CU147","CU138",42.7973377250864,1
"14","NB","CU147","CU178",40.5905801440892,1
"15","NB","CU147","CU96",26.7965085021558,3
"16","NB","CU150","CU141",43.2668800002406,1
"17","NB","CU150","CU143",44.9673518548562,1
"18","NB","CU150","CU78",49.948580695996,1
"19","NB","CU152","CU184",24.358959586262,3
"20","NB","CU154","CU58",27.8460342147481,3
"21","NB","CU159","CU96",44.4972193137809,1
"22","NB","CU159","CU174",17.9099920872011,4
"23","NB","CU162","CU114",35.770573031953,2
"24","NB","CU162","CU165",32.4078371796466,2
"25","NB","CU162","CU167",45.4423011366895,1
"26","NB","CU162","CU170",39.3801598182481,2
"27","NB","CU162","CU138",42.7007684644015,1
"28","NB","CU162","CU92",26.3256486104801,3
"29","NB","CU165","CU170",16.2788319269178,4
"30","NB","CU165","CU92",23.3828564436401,3
"31","NB","CU165","CU114",35.7869756395731,2
"32","NB","CU165","CU171",30.3398528362008,2
"33","NB","CU167","CU53",28.0485242572943,3
"34","NB","CU167","CU174",45.9468194112844,1
"35","NB","CU167","CU95",35.6724137199301,2
"36","NB","CU167","CU159",28.0485242572943,3
"37","NB","CU167","CU138",14.4715338029887,4
"38","NB","CU170","CU95",42.7762773961376,1
"39","NB","CU170","CU138",42.7939658880702,1
"40","NB","CU170","CU92",38.8425643403954,2
"41","NB","CU170","CU171",43.1980699287467,1
"42","NB","CU171","CU114",33.6474379733779,2
"43","NB","CU171","CU92",31.3995532604797,2
"44","NB","CU174","CU96",43.2762310892649,1
"45","NB","CU175","CU178",11.8260683384555,4
"46","NB","CU175","CU177",10.9981857100503,4
"47","NB","CU175","CU147",39.890834598139,2
"48","NB","CU175","CU180",22.4337618107798,3
"49","NB","CU177","CU147",40.8667379767102,1
"50","NB","CU177","CU178",0.948577714966976,5
"51","NB","CU177","CU180",33.3895574967414,2
"52","NB","CU180","CU178",34.1752955768151,2
"53","NB","CU180","CU147",44.5954843603308,1
"54","NB","CU180","CU96",44.1987536356918,1
"55","NB","CU185","CU187",38.3496039602594,2
"56","NB","CU187","CU143",40.8667650995799,1
"57","NB","CU187","CU145",49.3101426824357,1
"58","NB","CU45","CU78",47.7765118988172,1
"59","NB","CU45","CU141",44.9295660455934,1
"60","NB","CU45","CU96",34.0343834196303,2
"61","NB","CU53","CU96",44.4972193137809,1
"62","NB","CU53","CU138",37.185688937779,2
"63","NB","CU53","CU95",46.6163194013878,1
"64","NB","CU53","CU174",17.9099920872011,4
"65","NB","CU53","CU159",0,5
"66","NB","CU92","CU114",13.3267173747676,4
"67","NB","CU95","CU159",46.6163194013878,1
"68","NB","CU95","CU138",23.4005786538775,3
"69","NB","CU95","CU147",21.0101450857989,3
