"","from","to","colony","date","strength","condition","notes","period","id"
"1","N12","T2","2b","22/08/2016",5,"exclusion",NA,"before","2b-before"
"2","N5","T2","2b","22/08/2016",5,"exclusion",NA,"before","2b-before"
"3","N5","T3","2b","22/08/2016",5,"exclusion",NA,"before","2b-before"
"4","N5","T2","2b","22/08/2017",5,"exclusion",NA,"after","2b-after"
"5","N9","T3","2b","22/08/2016",2,"exclusion",NA,"before","2b-before"
"6","N9","T4","2b","22/08/2017",2,"exclusion",NA,"after","2b-after"
"7","N12","T2","2b","22/08/2017",2,"exclusion",NA,"after","2b-after"
"8","N11","T1","2b","22/08/2017",2,"exclusion",NA,"after","2b-after"
"9","N1","N11","2b","22/08/2016",1,"exclusion",NA,"before","2b-before"
"10","N12","T3","2b","22/08/2016",1,"exclusion",NA,"before","2b-before"
"11","N12","N16","2b","22/08/2016",1,"exclusion",NA,"before","2b-before"
"12","N5","N17","2b","22/08/2016",1,"exclusion",NA,"before","2b-before"
"13","N6","N9","2b","22/08/2016",1,"exclusion",NA,"before","2b-before"
"14","N9","N6","2b","22/08/2017",1,"exclusion",NA,"after","2b-after"
"15","N13","N5","2b","22/08/2017",1,"exclusion",NA,"after","2b-after"
"16","N5","T4","2b","22/08/2017",1,"exclusion",NA,"after","2b-after"
"17","N21","N19","2b","22/08/2017",1,"exclusion",NA,"after","2b-after"
"18","N17","T5","2b","22/08/2017",0.5,"exclusion",NA,"after","2b-after"
"19","N1","N12","2b","22/08/2016",0.33,"exclusion",NA,"before","2b-before"
"20","N13","N6","2b","22/08/2017",0.33,"exclusion",NA,"after","2b-after"
"21","N13","N6","2b","22/08/2016",0.2,"exclusion",NA,"before","2b-before"
"22","N5","N13","2b","22/08/2016",0.2,"exclusion",NA,"before","2b-before"
"23","N1","N12","2b","22/08/2017",0.2,"exclusion",NA,"after","2b-after"
"24","N7","N19","2b","22/08/2017",0.2,"exclusion",NA,"after","2b-after"
"25","N13","T2","2b","22/08/2016",0.17,"exclusion",NA,"before","2b-before"
"26","N18","N7","2b","22/08/2016",0.1,"exclusion",NA,"before","2b-before"
"27","N12","N11","2b","22/08/2017",0.1,"exclusion",NA,"after","2b-after"
"28","N16","N11","2b","22/08/2017",0.1,"exclusion",NA,"after","2b-after"
"29","N11","N12","2b","22/08/2016",0.03,"exclusion",NA,"before","2b-before"
"30","N16","T2","2b","22/08/2016",0.03,"exclusion",NA,"before","2b-before"
"31","N7","N5","2b","22/08/2016",0.03,"exclusion",NA,"before","2b-before"
"32","N17","N20","2b","22/08/2017",0.03,"exclusion",NA,"after","2b-after"
"33","N18","N7","2b","22/08/2017",0.03,"exclusion",NA,"after","2b-after"
"34","N2","T2","2a","22/08/2016",10,"control",NA,"before","2a-before"
"35","N2","N4","2a","22/08/2016",5,"control",NA,"before","2a-before"
"36","N4","T2","2a","22/08/2016",5,"control",NA,"before","2a-before"
"37","N3","T1","2a","22/08/2016",3.33,"control",NA,"before","2a-before"
"38","N4","T2","2a","22/08/2017",2,"control",NA,"after","2a-after"
"39","N3","T1","2a","22/08/2017",2,"control",NA,"after","2a-after"
"40","N2","N4","2a","22/08/2017",2,"control",NA,"after","2a-after"
"41","N2","N3","2a","22/08/2017",2,"control",NA,"after","2a-after"
"42","N2","N5","2a","22/08/2017",1,"control",NA,"after","2a-after"
"43","N2","N3","2a","22/08/2016",0.5,"control",NA,"before","2a-before"
"44","N2","N5","2a","22/08/2016",0.5,"control",NA,"before","2a-before"
"45","N3","N4","2a","22/08/2016",0.5,"control",NA,"before","2a-before"
"46","N3","T2","2a","22/08/2016",0.33,"control",NA,"before","2a-before"
"47","N5","T3","2a","22/08/2016",0.33,"control",NA,"before","2a-before"
"48","N2","N6","2a","22/08/2017",0.03,"control",NA,"after","2a-after"
"49","N3","T2","12","22/08/2016",10,"exclusion",NA,"before","12-before"
"50","N5","T5","12","22/08/2016",10,"exclusion",NA,"before","12-before"
"51","N3","N4","12","22/08/2017",10,"exclusion",NA,"after","12-after"
"52","N5","T5","12","22/08/2017",10,"exclusion",NA,"after","12-after"
"53","N3","N4","12","22/08/2016",5,"exclusion",NA,"before","12-before"
"54","N4","T3","12","22/08/2016",5,"exclusion",NA,"before","12-before"
"55","N4","N15","12","22/08/2017",5,"exclusion",NA,"after","12-after"
"56","N14","N15","12","22/08/2016",3.33,"exclusion",NA,"before","12-before"
"57","N17","T7","12","22/08/2016",3.33,"exclusion",NA,"before","12-before"
"58","N15","T6","12","22/08/2017",3.33,"exclusion",NA,"after","12-after"
"59","N15","N17","12","22/08/2017",3.33,"exclusion",NA,"after","12-after"
"60","N3","T3","12","22/08/2016",2.5,"exclusion",NA,"before","12-before"
"61","N17","N19","12","22/08/2016",2,"exclusion",NA,"before","12-before"
"62","N19","T7","12","22/08/2016",2,"exclusion",NA,"before","12-before"
"63","N4","N15","12","22/08/2016",2,"exclusion",NA,"before","12-before"
"64","N3","T1","12","22/08/2017",2,"exclusion",NA,"after","12-after"
"65","N3","T2","12","22/08/2017",2,"exclusion",NA,"after","12-after"
"66","N5","T4","12","22/08/2017",2,"exclusion",NA,"after","12-after"
"67","N15","T6","12","22/08/2016",1.25,"exclusion",NA,"before","12-before"
"68","N14","T6","12","22/08/2016",1,"exclusion",NA,"before","12-before"
"69","N4","N17","12","22/08/2016",1,"exclusion",NA,"before","12-before"
"70","N3","N24","12","22/08/2017",1,"exclusion",NA,"after","12-after"
"71","N4","T13","12","22/08/2017",1,"exclusion",NA,"after","12-after"
"72","N15","N14","12","22/08/2017",1,"exclusion",NA,"after","12-after"
"73","N17","T7","12","22/08/2017",1,"exclusion",NA,"after","12-after"
"74","N17","N19","12","22/08/2017",1,"exclusion",NA,"after","12-after"
"75","N19","N21","12","22/08/2017",1,"exclusion",NA,"after","12-after"
"76","N5","T4","12","22/08/2016",0.56,"exclusion",NA,"before","12-before"
"77","N21","T11","12","22/08/2017",0.5,"exclusion",NA,"after","12-after"
"78","N24","N25","12","22/08/2017",0.33,"exclusion",NA,"after","12-after"
"79","N25","T1","12","22/08/2017",0.33,"exclusion",NA,"after","12-after"
"80","N4","N5","12","22/08/2016",0.2,"exclusion",NA,"before","12-before"
