Network/Study,Condition,Animal,Year,Betweenness,Eigenvector_Centrality,Degree,Node ID
LantzAndKarubian2017,Post,Fairywrens,2014,22.2969697,0,26,AAA
LantzAndKarubian2017,Pre,Fairywrens,2014,0,1.85E-18,3,AAA
LantzAndKarubian2017,Post,Fairywrens,2014,0,9.25E-17,18,AAY
LantzAndKarubian2017,Pre,Fairywrens,2014,0,0,17,AAY
LantzAndKarubian2017,Post,Fairywrens,2014,0,1.93E-17,3,AEB
LantzAndKarubian2017,Post,Fairywrens,2014,0,0,18,AFF
LantzAndKarubian2017,Post,Fairywrens,2014,0,0.989518098,76,AFY
LantzAndKarubian2017,Post,Fairywrens,2014,0,1.54E-17,6,AGF
LantzAndKarubian2017,Pre,Fairywrens,2014,1,0,14,AGF
LantzAndKarubian2017,Post,Fairywrens,2014,0,3.85E-18,3,AGG
LantzAndKarubian2017,Post,Fairywrens,2014,17.81684982,6.17E-17,20,AWW
LantzAndKarubian2017,Post,Fairywrens,2014,11.2,6.17E-17,20,BAA
LantzAndKarubian2017,Post,Fairywrens,2014,0,3.08E-17,20,BAB
LantzAndKarubian2017,Pre,Fairywrens,2014,0,1.22E-17,11,BAB
LantzAndKarubian2017,Post,Fairywrens,2014,0,1.23E-16,32,BAF
LantzAndKarubian2017,Pre,Fairywrens,2014,0,3.02E-19,1,BAF
LantzAndKarubian2017,Post,Fairywrens,2014,11.2,3.08E-17,20,BBF
LantzAndKarubian2017,Pre,Fairywrens,2014,0,2.95E-18,12,BBF
LantzAndKarubian2017,Post,Fairywrens,2014,0,1.54E-17,4,BGB
LantzAndKarubian2017,Post,Fairywrens,2014,11.2,6.17E-17,21,BWA
LantzAndKarubian2017,Pre,Fairywrens,2014,0,1.37E-17,12,BWA
LantzAndKarubian2017,Post,Fairywrens,2014,0,1.54E-17,4,BWB
LantzAndKarubian2017,Post,Fairywrens,2014,0,3.85E-17,4,BWE
LantzAndKarubian2017,Pre,Fairywrens,2014,0,5.94E-18,2,BWE
LantzAndKarubian2017,Post,Fairywrens,2014,0,7.71E-18,1,BWY
LantzAndKarubian2017,Pre,Fairywrens,2014,1,5.72E-18,2,BWY
LantzAndKarubian2017,Post,Fairywrens,2014,0,5.78E-18,1,EAE
LantzAndKarubian2017,Pre,Fairywrens,2014,0,2.26E-18,1,EAE
LantzAndKarubian2017,Pre,Fairywrens,2014,0,3.04E-18,2,EAW
LantzAndKarubian2017,Post,Fairywrens,2014,0,4.63E-17,6,EEB
LantzAndKarubian2017,Post,Fairywrens,2014,0,6.17E-17,12,EEF
LantzAndKarubian2017,Pre,Fairywrens,2014,0,0.988443486,46,EEF
