Treatment,Treatment_period,TOT_NODES,MEAN_EIGENVECTOR,MEAN_BETWEENNESS
C1,1,30,0.174661589,0.020771757
C1,2,30,0.173403047,0.019458128
C2,1,27,0.181547313,0.028148148
C2,2,30,0.173748197,0.020525452
C3,1,28,0.178138536,0.027879528
C3,2,29,0.173602079,0.023170954
C4,1,30,0.169916518,0.025697865
C4,2,30,0.17120455,0.022577997
T1,1,30,0.173958598,0.023070608
T1,2,30,0.175105531,0.020771757
T2,1,30,0.175174676,0.021674877
T2,2,30,0.178003589,0.01773399
T3,1,29,0.177658097,0.020981573
T3,2,29,0.178950078,0.023262178
T4,1,30,0.170739193,0.024220033
T4,2,30,0.175179448,0.02183908
