"","study","species","treatment","replicate","nodeID","degree","betweenness_centrality","eigenvector_centrality"
"1","LattanzioMiles","tree lizards","high burn","","NU100",6,0,0.978579040066922
"2","LattanzioMiles","tree lizards","high burn","","Nu101",6,0,0.978579040066922
"3","LattanzioMiles","tree lizards","high burn","","NU102",2,0.0317460317460317,0.020001049119346
"4","LattanzioMiles","tree lizards","high burn","","NU112",5,0,1
"5","LattanzioMiles","tree lizards","high burn","","NU113",5,0,1
"6","LattanzioMiles","tree lizards","high burn","","NU115",5,0,1
"7","LattanzioMiles","tree lizards","high burn","","NU116",4,0.158730158730159,0
"8","LattanzioMiles","tree lizards","high burn","","NU117",4,0,0
"9","LattanzioMiles","tree lizards","high burn","","NU118",4,0,0
"10","LattanzioMiles","tree lizards","high burn","","NU76",7,0.857142857142857,0.390902702043066
"11","LattanzioMiles","tree lizards","high burn","","NU77",8,1,0.154554488439754
"12","LattanzioMiles","tree lizards","high burn","","NU78",5,0.0158730158730159,0.0553008380387301
"13","LattanzioMiles","tree lizards","high burn","","NU79",5,0.158730158730159,0.0531948215867518
"14","LattanzioMiles","tree lizards","high burn","","NU82",2,0,1.95182726863834e-19
"15","LattanzioMiles","tree lizards","high burn","","NU84",4,0,0.0521876747265592
"16","LattanzioMiles","tree lizards","high burn","","NU86",2,0,0
"17","LattanzioMiles","tree lizards","high burn","","NU87",2,0,0
"18","LattanzioMiles","tree lizards","high burn","","NU89",2,0,0
"19","LattanzioMiles","tree lizards","high burn","","NU93",1,0,2.02490418388465e-17
"20","LattanzioMiles","tree lizards","high burn","","NU96",4,0,0
"21","LattanzioMiles","tree lizards","high burn","","NU95",4,0,0
"22","LattanzioMiles","tree lizards","high burn","","NU80",4,0,0.0521876747265592
"23","LattanzioMiles","tree lizards","high burn","","NU98",2,0,0
"24","LattanzioMiles","tree lizards","high burn","","NU108",2,0,0
"25","LattanzioMiles","tree lizards","high burn","","NU94",1,0,4.81967984409765e-18
"26","LattanzioMiles","tree lizards","low burn","","SU102",1,0,2.5862323710844e-18
"27","LattanzioMiles","tree lizards","low burn","","SU106",1,0,0.00873307792669876
"28","LattanzioMiles","tree lizards","low burn","","SU110",3,0,0.357824420784906
"29","LattanzioMiles","tree lizards","low burn","","SU111",3,0,0.104582709655578
"30","LattanzioMiles","tree lizards","low burn","","SU112",3,0,0.104582709655578
"31","LattanzioMiles","tree lizards","low burn","","SU114",3,0.0138888888888889,0
"32","LattanzioMiles","tree lizards","low burn","","SU116",5,0.347222222222222,0
"33","LattanzioMiles","tree lizards","low burn","","SU75",4,0.513888888888889,0
"34","LattanzioMiles","tree lizards","low burn","","SU76",3,0.277777777777778,0
"35","LattanzioMiles","tree lizards","low burn","","SU80",2,1,0
"36","LattanzioMiles","tree lizards","low burn","","SU87",3,0.888888888888889,0
"37","LattanzioMiles","tree lizards","low burn","","SU89",4,0.111111111111111,0.210673453499106
"38","LattanzioMiles","tree lizards","low burn","","SU91",1,0,9.92840423798846e-19
"39","LattanzioMiles","tree lizards","low burn","","SU93",12,0.194444444444444,1
"40","LattanzioMiles","tree lizards","low burn","","SU95",5,0.347222222222222,0
"41","LattanzioMiles","tree lizards","low burn","","SU98",3,0,0
"42","LattanzioMiles","tree lizards","low burn","","SU99",3,0.138888888888889,0
"43","LattanzioMiles","tree lizards","low burn","","SU100",1,0,0
"44","LattanzioMiles","tree lizards","low burn","","SU86",2,0,0
"45","LattanzioMiles","tree lizards","low burn","","SU96",4,0,0
"46","LattanzioMiles","tree lizards","low burn","","SU81",3,1,0
"47","LattanzioMiles","tree lizards","low burn","","SU94",2,0.972222222222222,0
"48","LattanzioMiles","tree lizards","low burn","","SU104",1,0,0
"49","LattanzioMiles","tree lizards","no burn","","CU138",8,0.463718467767051,0.793293539752792
"50","LattanzioMiles","tree lizards","no burn","","CU140",9,0.686390532544379,0.889273511971679
"51","LattanzioMiles","tree lizards","no burn","","CU141",3,0.373715353472439,0.0141395932458459
"52","LattanzioMiles","tree lizards","no burn","","CU145",2,0,2.68322304857851e-05
"53","LattanzioMiles","tree lizards","no burn","","CU147",8,0.483961382746808,0.539634940567317
"54","LattanzioMiles","tree lizards","no burn","","CU150",3,0.661476175646216,0.00188561472304255
"55","LattanzioMiles","tree lizards","no burn","","CU152",1,0,0
"56","LattanzioMiles","tree lizards","no burn","","CU154",1,0,0
