"","study","species","treatment","replicate","ID","degree","betweenness_centrality","eigenvector_centrality"
"1","burnsetal2020","wood ants","before","2b","N12",5,0.740540540540541,0.990729765144569
"2","burnsetal2020","wood ants","before","2b","N5",5,1,0.925908135380144
"3","burnsetal2020","wood ants","before","2b","N9",2,0.0810810810810811,0.310246346081041
"4","burnsetal2020","wood ants","before","2b","N1",2,0,0.444912463946209
"5","burnsetal2020","wood ants","before","2b","N6",2,0.0432432432432432,0.310979807818473
"6","burnsetal2020","wood ants","before","2b","N13",3,0.254054054054054,0.693222382438804
"7","burnsetal2020","wood ants","before","2b","N18",1,0,0.0983729884899405
"8","burnsetal2020","wood ants","before","2b","N11",2,0,0.444912463946209
"9","burnsetal2020","wood ants","before","2b","N16",2,0,0.616936773601638
"10","burnsetal2020","wood ants","before","2b","N7",2,0.356756756756757,0.317429669704858
"11","burnsetal2020","wood ants","before","2b","T2",4,0.535135135135135,1
"12","burnsetal2020","wood ants","before","2b","T3",3,0.524324324324324,0.690122188525924
"13","burnsetal2020","wood ants","before","2b","N17",1,0,0.286943405224793
"14","burnsetal2020","wood ants","after","2b","N51",3,0.925925925925926,1
"15","burnsetal2020","wood ants","after","2b","N91",2,0.037037037037037,0.580180442413435
"16","burnsetal2020","wood ants","after","2b","N121",3,1,0.78765425868081
"17","burnsetal2020","wood ants","after","2b","N111",3,0.62962962962963,0.594321478106546
"18","burnsetal2020","wood ants","after","2b","N131",2,0.259259259259259,0.710380730201791
"19","burnsetal2020","wood ants","after","2b","N21",1,0,3.0268193798429e-16
"20","burnsetal2020","wood ants","after","2b","N171",2,0.037037037037037,4.6821293359464e-16
"21","burnsetal2020","wood ants","after","2b","N14",1,0,0.354095261787722
"22","burnsetal2020","wood ants","after","2b","N71",2,0.0740740740740741,4.85794768494253e-16
"23","burnsetal2020","wood ants","after","2b","N161",1,0,0.267181211879266
"24","burnsetal2020","wood ants","after","2b","N181",1,0,3.1440127502654e-16
"25","burnsetal2020","wood ants","after","2b","T21",2,0.925925925925926,0.803651977675698
"26","burnsetal2020","wood ants","after","2b","T4",2,0.259259259259259,0.710380730201791
"27","burnsetal2020","wood ants","after","2b","T1",1,0,0.267181211879266
"28","burnsetal2020","wood ants","after","2b","N61",2,0.037037037037037,0.580180442413435
"29","burnsetal2020","wood ants","after","2b","N19",2,0.0740740740740741,5.51388289047167e-16
"30","burnsetal2020","wood ants","after","2b","T5",1,0,2.14426169797146e-16
"31","burnsetal2020","wood ants","after","2b","N20",1,0,2.28825737057094e-16
"32","burnsetal2020","wood ants","before","2a","N2",4,1,1
"33","burnsetal2020","wood ants","before","2a","N4",3,0,0.916158326716938
"34","burnsetal2020","wood ants","before","2a","N3",4,0.625,0.990993297433125
"35","burnsetal2020","wood ants","before","2a","N52",2,0.625,0.349887889912187
"36","burnsetal2020","wood ants","before","2a","T22",3,0,0.916158326716938
"37","burnsetal2020","wood ants","before","2a","T11",1,0,0.312301138207564
"38","burnsetal2020","wood ants","before","2a","T31",1,0,0.110263496784137
"39","burnsetal2020","wood ants","after","2a","N41",2,0.384615384615385,0.599676410072793
"40","burnsetal2020","wood ants","after","2a","N31",2,0.384615384615385,0.599676410072793
"41","burnsetal2020","wood ants","after","2a","N22",4,1,1
"42","burnsetal2020","wood ants","after","2a","T23",1,0,0.280776406404415
"43","burnsetal2020","wood ants","after","2a","T12",1,0,0.280776406404415
