"","Study","Animal","Treatment","GroupID","NetworkID","NodeID","BetweennessCentrality","EigenvectorCentrality","Degree"
"1","Stickleback","Stickleback","Pre","1","1","1","0.0","0.9193521","7"
"2","Stickleback","Stickleback","Pre","1","1","2","0.0","0.9519159","7"
"3","Stickleback","Stickleback","Pre","1","1","3","1.0","0.6212931","7"
"4","Stickleback","Stickleback","Pre","1","1","4","0.0","0.9071350","7"
"5","Stickleback","Stickleback","Pre","1","1","5","0.0","0.9149391","7"
"6","Stickleback","Stickleback","Pre","1","1","6","0.0","0.9272654","7"
"7","Stickleback","Stickleback","Pre","1","1","7","0.0","1.0000000","7"
"8","Stickleback","Stickleback","Pre","1","1","8","0.0","0.9266887","7"
"9","Stickleback","Stickleback","Pre","2","2","1","0.0","0.8931906","7"
"10","Stickleback","Stickleback","Pre","2","2","2","0.0","0.9367534","7"
"11","Stickleback","Stickleback","Pre","2","2","3","0.0","0.8899568","7"
"12","Stickleback","Stickleback","Pre","2","2","4","0.0","0.9560180","7"
"13","Stickleback","Stickleback","Pre","2","2","5","0.0","0.9180608","7"
"14","Stickleback","Stickleback","Pre","2","2","6","0.0","0.9448126","7"
"15","Stickleback","Stickleback","Pre","2","2","7","0.0","1.0000000","7"
"16","Stickleback","Stickleback","Pre","2","2","8","2.5","0.7002136","7"
"17","Stickleback","Stickleback","Pre","3","3","1","1.0","0.5983031","7"
"18","Stickleback","Stickleback","Pre","3","3","2","0.0","0.9313987","7"
"19","Stickleback","Stickleback","Pre","3","3","3","0.0","0.9995586","7"
"20","Stickleback","Stickleback","Pre","3","3","4","0.0","0.9557386","7"
"21","Stickleback","Stickleback","Pre","3","3","5","0.0","0.9616343","7"
"22","Stickleback","Stickleback","Pre","3","3","6","0.0","0.8741231","7"
"23","Stickleback","Stickleback","Pre","3","3","7","0.0","0.9322896","7"
"24","Stickleback","Stickleback","Pre","3","3","8","0.0","1.0000000","7"
"25","Stickleback","Stickleback","Pre","4","4","1","0.0","0.7735401","7"
"26","Stickleback","Stickleback","Pre","4","4","2","0.0","0.8374440","7"
"27","Stickleback","Stickleback","Pre","4","4","3","0.0","0.8475433","7"
"28","Stickleback","Stickleback","Pre","4","4","4","0.0","0.8587836","7"
"29","Stickleback","Stickleback","Pre","4","4","5","0.0","0.8475547","7"
"30","Stickleback","Stickleback","Pre","4","4","6","0.0","0.9006986","7"
"31","Stickleback","Stickleback","Pre","4","4","7","0.0","1.0000000","7"
"32","Stickleback","Stickleback","Pre","4","4","8","0.0","0.9667976","7"
"33","Stickleback","Stickleback","Pre","5","5","1","0.0","0.9174172","7"
"34","Stickleback","Stickleback","Pre","5","5","2","0.0","0.9904137","7"
"35","Stickleback","Stickleback","Pre","5","5","3","0.0","1.0000000","7"
"36","Stickleback","Stickleback","Pre","5","5","4","0.0","0.9798541","7"
"37","Stickleback","Stickleback","Pre","5","5","5","0.0","0.9803009","7"
"38","Stickleback","Stickleback","Pre","5","5","6","0.0","0.8888098","7"
"39","Stickleback","Stickleback","Pre","5","5","7","0.0","0.8116549","7"
"40","Stickleback","Stickleback","Pre","5","5","8","0.0","0.7693426","7"
"41","Stickleback","Stickleback","Post","1","1","1","7.5","0.6613892","7"
"42","Stickleback","Stickleback","Post","1","1","2","0.0","0.8964368","7"
"43","Stickleback","Stickleback","Post","1","1","3","0.0","0.9672783","7"
"44","Stickleback","Stickleback","Post","1","1","4","7.0","0.7492157","7"
"45","Stickleback","Stickleback","Post","1","1","5","1.5","0.6997787","7"
"46","Stickleback","Stickleback","Post","1","1","6","0.0","0.9392357","7"
