"","Study","Animal","Treatment","GroupID","N_Nodes","Density","Effective_Information"
"1","Stickleback","Stickleback","Pre","1","8","1","0.0665264261039322"
"2","Stickleback","Stickleback","Pre","2","8","1","0.0695523231498183"
"3","Stickleback","Stickleback","Pre","3","8","1","0.0653134232482366"
"4","Stickleback","Stickleback","Pre","4","8","1","0.0692984307301613"
"5","Stickleback","Stickleback","Pre","5","8","1","0.0648948012551303"
"6","Stickleback","Stickleback","Post","1","8","1","0.0924356095103245"
"7","Stickleback","Stickleback","Post","2","8","1","0.0731803948222969"
"8","Stickleback","Stickleback","Post","3","8","1","0.070700190467667"
"9","Stickleback","Stickleback","Post","4","8","1","0.0742182753770781"
"10","Stickleback","Stickleback","Post","5","8","1","0.0657904850159198"
