"","network","animal","condition","replicate_number","network_id","betweenness_centrality","eigenvector_centrality","degree","node_id"
"1","tits_2015","tits","before",1,1,0.0296537116398207,0.00681668390604356,40,"260"
"2","tits_2015","tits","before",1,1,0.0356632678193192,0.0121473402042374,47,"338"
"3","tits_2015","tits","before",1,1,0.00172405300231516,0.000514072534690986,18,"115"
"4","tits_2015","tits","before",1,1,0.136347963154524,0.00748863530275231,46,"320"
"5","tits_2015","tits","before",1,1,0.000295551943254027,0.00695309997084729,40,"277"
"6","tits_2015","tits","before",1,1,0.010590611299936,0.00631185143817575,41,"289"
"7","tits_2015","tits","before",1,1,0.0258115363775183,0.0109094707396326,45,"268"
"8","tits_2015","tits","before",1,1,0,0.00358922059303325,24,"247"
"9","tits_2015","tits","before",1,1,0.00640362543717058,0.117011762990109,90,"326"
"10","tits_2015","tits","before",1,1,0.00201960494556918,0.00343534762781603,28,"197"
"11","tits_2015","tits","before",1,1,0.00132998374464312,0.00493272049096658,28,"206"
"12","tits_2015","tits","before",1,1,0.00211812225998719,0.00789967360977312,32,"302"
"13","tits_2015","tits","before",1,1,0,0.00544386054243096,27,"306"
"14","tits_2015","tits","before",1,1,0.000246293286045022,0.00348108474201443,29,"201"
"15","tits_2015","tits","before",1,1,0,0.000168275569591904,11,"151"
"16","tits_2015","tits","before",1,1,0.0134968720752672,0.0135508632445526,35,"295"
"17","tits_2015","tits","before",1,1,0,0.00594992490243664,35,"280"
"18","tits_2015","tits","before",1,1,0,0.00503739729203504,27,"221"
"19","tits_2015","tits","before",1,1,0.000788138515344072,0.0131588715204362,35,"279"
"20","tits_2015","tits","before",1,1,0.000197034628836018,0.0136632215668957,32,"305"
"21","tits_2015","tits","before",1,1,0.000591103886508054,0.00107285676818323,20,"189"
"22","tits_2015","tits","before",1,1,0.00704398798088764,0.0135850724592194,32,"262"
"23","tits_2015","tits","before",1,1,0.0033003300330033,0.00527513390488177,34,"213"
"24","tits_2015","tits","before",1,1,0.000640362543717058,0.00254971707211407,30,"265"
"25","tits_2015","tits","before",1,1,0.00802916112506773,0.00903363110362291,42,"271"
