Focal.Letter.ID,TubPeriod,node,strength,betweenness,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
AA,C1_1,1,3.234895823,21,0.432465577,1,C,M,C1,6.578,40
AA,C1_2,1,2.535144584,0,0.495671645,2,C,M,C1,6.578,39
AC,C1_1,2,2.538881237,0,0.533212533,1,C,M,C1,5.912,31
AC,C1_2,2,0.929473811,0,0.729029835,2,C,M,C1,5.912,19
AD,C1_1,3,1.744520245,16,0.500403542,1,C,M,C1,6.26,36
AD,C1_2,3,3.398418424,7.5,0.580693956,2,C,M,C1,6.26,33
AE,C1_1,4,2.810077269,20.5,0.362804129,1,C,M,C1,6.38,40
AE,C1_2,4,4.307547393,59,0.485075565,2,C,M,C1,6.38,43
AH,C1_1,5,3.453578627,11,0.424690218,1,C,M,C1,7.183,38
AH,C1_2,5,3.229285369,31,0.550106816,2,C,M,C1,7.183,38
AK,C1_1,6,2.722837886,32,0.352212062,1,C,M,C1,6.976,38
AK,C1_2,6,3.740065472,14.5,0.507302065,2,C,M,C1,6.976,41
AL,C1_1,7,2.393545435,17,0.507925551,1,C,M,C1,5.743,35
AL,C1_2,7,3.067517248,25.5,0.54658613,2,C,M,C1,5.743,37
AM,C1_1,8,1.81993274,3,0.51851177,1,C,M,C1,7.961,43
AM,C1_2,8,2.913650923,16,0.593511021,2,C,M,C1,7.961,43
AO,C1_1,9,3.156494853,21.5,0.511617381,1,C,M,C1,6.74,46
AO,C1_2,9,3.061862178,1,0.484705882,2,C,M,C1,6.74,44
AP,C1_1,10,3.298305006,44,0.466153426,1,C,M,C1,6.78,46
AP,C1_2,10,2.356795013,6.5,0.498828289,2,C,M,C1,6.78,42
AS,C1_1,11,3.996390601,28,0.571467413,1,C,M,C1,7.152,45
AS,C1_2,11,2.505301963,22,0.512382207,2,C,M,C1,7.152,41
AT,C1_1,12,4.194507664,39,0.466283716,1,C,M,C1,6.735,46
AT,C1_2,12,2.617681935,4,0.60638635,2,C,M,C1,6.735,38
AU,C1_1,13,2.005499598,3,0.554922523,1,C,M,C1,6.752,39
AU,C1_2,13,3.423557314,3,0.494534097,2,C,M,C1,6.752,44
AV,C1_1,14,1.842780569,3,0.530725358,1,C,M,C1,6.942,37
AV,C1_2,14,2.536943741,13,0.590194746,2,C,M,C1,6.942,35
AX,C1_1,15,2.070943423,8,0.41354989,1,C,M,C1,7.151,45
AX,C1_2,15,3.457569556,31,0.533767678,2,C,M,C1,7.151,43
ZC,C1_1,16,1.058883487,0,0.323716283,1,C,F,C1,6.508,26
ZC,C1_2,16,3.366600938,32.5,0.638613273,2,C,F,C1,6.508,31
ZD,C1_1,17,2.007672353,0,0.430064401,1,C,F,C1,6.582,36
ZD,C1_2,17,2.770653905,46,0.467480319,2,C,F,C1,6.582,38
ZE,C1_1,18,2.421388672,20,0.477398187,1,C,F,C1,7.02,35
ZE,C1_2,18,3.516193252,14,0.612545828,2,C,F,C1,7.02,37
ZH,C1_1,19,2.677893157,0,0.44223019,1,C,F,C1,7.44,38
ZH,C1_2,19,2.677600315,12,0.534492886,2,C,F,C1,7.44,36
