,Focal.Letter,Social.Partner,Treatment.Period,Group.ID.Populations,Treatment,num_interactions,ordered.pair.period,scans.where.at.least.1.seen,SRI
1672,KA,KC,1,T1,Treatment,1,KA_KC_1,42,0.023809524
1677,KA,KO,1,T1,Treatment,3,KA_KO_1,44,0.068181818
1679,KA,KS,1,T1,Treatment,1,KA_KS_1,38,0.026315789
1681,KA,UC,1,T1,Treatment,1,KA_UC_1,41,0.024390244
1682,KA,UE,1,T1,Treatment,1,KA_UE_1,33,0.03030303
1684,KA,UH,1,T1,Treatment,2,KA_UH_1,37,0.054054054
1687,KA,UM,1,T1,Treatment,1,KA_UM_1,34,0.029411765
1689,KA,UX,1,T1,Treatment,1,KA_UX_1,31,0.032258065
1691,KA,UZ,1,T1,Treatment,1,KA_UZ_1,36,0.027777778
1692,KC,KA,1,T1,Treatment,1,KA_KC_1,42,0.023809524
1693,KC,KE,1,T1,Treatment,1,KC_KE_1,46,0.02173913
1695,KC,KH,1,T1,Treatment,1,KC_KH_1,43,0.023255814
1698,KC,KO,1,T1,Treatment,2,KC_KO_1,45,0.044444444
1699,KC,KS,1,T1,Treatment,1,KC_KS_1,42,0.023809524
1701,KC,KV,1,T1,Treatment,1,KC_KV_1,41,0.024390244
1702,KC,KZ,1,T1,Treatment,1,KC_KZ_1,45,0.022222222
1704,KC,UA,1,T1,Treatment,2,KC_UA_1,45,0.044444444
1705,KC,UC,1,T1,Treatment,3,KC_UC_1,43,0.069767442
1707,KC,UD,1,T1,Treatment,2,KC_UD_1,46,0.043478261
1709,KC,UE,1,T1,Treatment,1,KC_UE_1,40,0.025
1711,KC,UH,1,T1,Treatment,1,KC_UH_1,44,0.022727273
1712,KC,UL,1,T1,Treatment,1,KC_UL_1,42,0.023809524
1713,KC,UM,1,T1,Treatment,1,KC_UM_1,43,0.023255814
1714,KC,UO,1,T1,Treatment,2,KC_UO_1,43,0.046511628
1717,KC,US,1,T1,Treatment,2,KC_US_1,42,0.047619048
1720,KC,UU,1,T1,Treatment,1,KC_UU_1,46,0.02173913
1723,KC,UX,1,T1,Treatment,3,KC_UX_1,40,0.075
1725,KD,KO,1,T1,Treatment,1,KD_KO_1,47,0.021276596
1727,KD,UA,1,T1,Treatment,3,KD_UA_1,46,0.065217391
1730,KD,UD,1,T1,Treatment,3,KD_UD_1,46,0.065217391
1732,KD,UH,1,T1,Treatment,1,KD_UH_1,47,0.021276596
1734,KD,UL,1,T1,Treatment,3,KD_UL_1,46,0.065217391
1737,KD,UO,1,T1,Treatment,1,KD_UO_1,47,0.021276596
1740,KD,US,1,T1,Treatment,2,KD_US_1,47,0.042553191
1741,KD,UT,1,T1,Treatment,2,KD_UT_1,47,0.042553191
1744,KD,UX,1,T1,Treatment,1,KD_UX_1,47,0.021276596
1746,KD,UZ,1,T1,Treatment,4,KD_UZ_1,47,0.085106383
1749,KE,KC,1,T1,Treatment,1,KC_KE_1,46,0.02173913
1756,KE,UH,1,T1,Treatment,1,KE_UH_1,45,0.022222222
1761,KE,UZ,1,T1,Treatment,1,KE_UZ_1,41,0.024390244
1763,KH,KC,1,T1,Treatment,1,KC_KH_1,43,0.023255814
1766,KH,KK,1,T1,Treatment,1,KH_KK_1,38,0.026315789
1768,KH,KO,1,T1,Treatment,2,KH_KO_1,45,0.044444444
1771,KH,KV,1,T1,Treatment,1,KH_KV_1,39,0.025641026
1773,KH,UL,1,T1,Treatment,2,KH_UL_1,41,0.048780488
1776,KH,UT,1,T1,Treatment,3,KH_UT_1,41,0.073170732
1777,KH,UV,1,T1,Treatment,1,KH_UV_1,33,0.03030303
1778,KH,UZ,1,T1,Treatment,1,KH_UZ_1,37,0.027027027
1780,KK,KH,1,T1,Treatment,1,KH_KK_1,38,0.026315789
1783,KK,KO,1,T1,Treatment,2,KK_KO_1,41,0.048780488
1785,KK,KP,1,T1,Treatment,2,KK_KP_1,41,0.048780488
1789,KK,UC,1,T1,Treatment,2,KK_UC_1,41,0.048780488
1790,KK,UD,1,T1,Treatment,1,KK_UD_1,44,0.022727273
1794,KK,UM,1,T1,Treatment,1,KK_UM_1,38,0.026315789
1800,KK,UX,1,T1,Treatment,1,KK_UX_1,35,0.028571429
1801,KK,UZ,1,T1,Treatment,3,KK_UZ_1,35,0.085714286
1804,KL,KM,1,T1,Treatment,1,KL_KM_1,47,0.021276596
1806,KL,KV,1,T1,Treatment,3,KL_KV_1,46,0.065217391
1808,KL,UA,1,T1,Treatment,1,KL_UA_1,45,0.022222222
1810,KL,UC,1,T1,Treatment,4,KL_UC_1,47,0.085106383
1812,KL,UE,1,T1,Treatment,1,KL_UE_1,46,0.02173913
1814,KL,UH,1,T1,Treatment,2,KL_UH_1,46,0.043478261
1815,KL,UL,1,T1,Treatment,3,KL_UL_1,47,0.063829787
1817,KL,UM,1,T1,Treatment,2,KL_UM_1,44,0.045454545
1818,KL,UO,1,T1,Treatment,6,KL_UO_1,48,0.125
1821,KL,US,1,T1,Treatment,2,KL_US_1,45,0.044444444
