Dtime,logger,temperature,Col,logger.1,d,YMD,Hour,Hour2,Session
2016/01/27 06:44,37_1,22.284,37,1,2016/01/27 06:44,2016/01/27,06:44,6,AM
2016/01/27 06:49,37_1,22.409,37,1,2016/01/27 06:49,2016/01/27,06:49,6,AM
2016/01/27 06:54,37_1,22.534,37,1,2016/01/27 06:54,2016/01/27,06:54,6,AM
2016/01/27 06:59,37_1,22.722,37,1,2016/01/27 06:59,2016/01/27,06:59,6,AM
2016/01/27 07:04,37_1,22.909,37,1,2016/01/27 07:04,2016/01/27,07:04,7,AM
2016/01/27 07:09,37_1,23.034,37,1,2016/01/27 07:09,2016/01/27,07:09,7,AM
2016/01/27 07:14,37_1,23.222,37,1,2016/01/27 07:14,2016/01/27,07:14,7,AM
2016/01/27 07:19,37_1,23.472,37,1,2016/01/27 07:19,2016/01/27,07:19,7,AM
2016/01/27 07:24,37_1,23.535,37,1,2016/01/27 07:24,2016/01/27,07:24,7,AM
2016/01/27 07:29,37_1,23.66,37,1,2016/01/27 07:29,2016/01/27,07:29,7,AM
2016/01/27 07:34,37_1,23.972,37,1,2016/01/27 07:34,2016/01/27,07:34,7,AM
2016/01/27 07:39,37_1,24.222,37,1,2016/01/27 07:39,2016/01/27,07:39,7,AM
2016/01/27 07:44,37_1,24.66,37,1,2016/01/27 07:44,2016/01/27,07:44,7,AM
2016/01/27 07:49,37_1,25.16,37,1,2016/01/27 07:49,2016/01/27,07:49,7,AM
2016/01/27 07:54,37_1,25.16,37,1,2016/01/27 07:54,2016/01/27,07:54,7,AM
2016/01/27 07:59,37_1,25.723,37,1,2016/01/27 07:59,2016/01/27,07:59,7,AM
2016/01/27 08:04,37_1,27.16,37,1,2016/01/27 08:04,2016/01/27,08:04,8,AM
2016/01/27 08:09,37_1,27.722,37,1,2016/01/27 08:09,2016/01/27,08:09,8,AM
2016/01/27 08:14,37_1,27.597,37,1,2016/01/27 08:14,2016/01/27,08:14,8,AM
2016/01/27 08:19,37_1,27.409,37,1,2016/01/27 08:19,2016/01/27,08:19,8,AM
2016/01/27 08:24,37_1,27.784,37,1,2016/01/27 08:24,2016/01/27,08:24,8,AM
2016/01/27 08:29,37_1,27.285,37,1,2016/01/27 08:29,2016/01/27,08:29,8,AM
2016/01/27 08:34,37_1,26.847,37,1,2016/01/27 08:34,2016/01/27,08:34,8,AM
2016/01/27 08:39,37_1,27.097,37,1,2016/01/27 08:39,2016/01/27,08:39,8,AM
2016/01/27 06:44,37_2,21.871,37,2,2016/01/27 06:44,2016/01/27,06:44,6,AM
2016/01/27 06:49,37_2,22.183,37,2,2016/01/27 06:49,2016/01/27,06:49,6,AM
2016/01/27 06:54,37_2,22.683,37,2,2016/01/27 06:54,2016/01/27,06:54,6,AM
2016/01/27 06:59,37_2,23.934,37,2,2016/01/27 06:59,2016/01/27,06:59,6,AM
2016/01/27 07:04,37_2,25.934,37,2,2016/01/27 07:04,2016/01/27,07:04,7,AM
2016/01/27 07:09,37_2,26.809,37,2,2016/01/27 07:09,2016/01/27,07:09,7,AM
2016/01/27 07:14,37_2,27.871,37,2,2016/01/27 07:14,2016/01/27,07:14,7,AM
2016/01/27 07:19,37_2,28.996,37,2,2016/01/27 07:19,2016/01/27,07:19,7,AM
2016/01/27 07:24,37_2,29.246,37,2,2016/01/27 07:24,2016/01/27,07:24,7,AM
