from,to,colony,date,strength
N7,N8,2b,28/08/2013,1.00
N5,T2,2b,01/06/2017,10
N5,T2,2b,26/07/2012,5
N12,T2,2b,22/08/2016,5
N5,T2,2b,22/08/2016,5
N5,T3,2b,22/08/2016,5
N12,T2,2b,01/06/2017,5
N5,T2,2b,22/08/2017,5
N5,T2,2b,12/06/2018,5
N2,T2,2b,26/07/2012,3.33
N5,T2,2b,31/05/2013,3.33
N5,T2,2b,25/08/2014,3.33
N12,T2,2b,25/08/2014,3.33
N12,T3,2b,25/08/2014,3.33
N5,T3,2b,25/08/2015,3.33
N5,T4,2b,01/06/2017,3.33
N5,T4,2b,12/06/2018,3.33
N5,N6,2b,31/05/2013,2.5
N5,T2,2b,25/08/2015,2.5
N3,N4,2b,26/07/2012,2
N5,N6,2b,26/07/2012,2
N1,N11,2b,26/05/2014,2
N5,T2,2b,26/05/2014,2
N6,N9,2b,26/05/2014,2
N1,N14,2b,25/08/2014,2
N14,T1,2b,25/08/2014,2
N9,T3,2b,22/08/2016,2
N9,T4,2b,22/08/2017,2
N12,T2,2b,22/08/2017,2
N11,T1,2b,22/08/2017,2
N9,N6,2b,12/06/2018,2
N5,N13,2b,12/06/2018,2
N5,T3,2b,12/06/2018,2
N1,T1,2b,26/05/2014,1.67
N5,N13,2b,26/05/2014,1.67
N1,N10,2b,26/05/2014,1.43
N1,N11,2b,25/08/2014,1.43
N1,N10,2b,25/08/2014,1.25
N11,N12,2b,25/08/2014,1.25
N12,T3,2b,26/05/2014,1.11
N1,N11,2b,25/08/2015,1.11
N12,T2,2b,25/08/2015,1.11
N4,T2,2b,26/07/2012,1
N6,T3,2b,31/05/2013,1
N5,T2,2b,28/08/2013,1
N6,N13,2b,26/05/2014,1
N9,T4,2b,26/05/2014,1
N5,N6,2b,25/08/2014,1
N5,N7,2b,25/08/2014,1
N6,N9,2b,25/08/2014,1
N13,N6,2b,25/08/2015,1
N1,N11,2b,22/08/2016,1
N12,T3,2b,22/08/2016,1
N12,N16,2b,22/08/2016,1
N5,N17,2b,22/08/2016,1
N6,N9,2b,22/08/2016,1
N6,N9,2b,01/06/2017,1
N11,T1,2b,01/06/2017,1
N1,N5,2b,01/06/2017,1
N5,N17,2b,01/06/2017,1
N9,N6,2b,22/08/2017,1
N13,N5,2b,22/08/2017,1
N5,T4,2b,22/08/2017,1
N21,N19,2b,22/08/2017,1
N9,T4,2b,12/06/2018,1
N6,N13,2b,12/06/2018,1
N12,T2,2b,12/06/2018,1
N11,T1,2b,12/06/2018,1
N19,T6,2b,12/06/2018,1
N21,T6,2b,12/06/2018,1
N1,N4,2b,31/05/2013,0.91
N2,T3,2b,31/05/2013,0.83
N5,T3,2b,31/05/2013,0.83
N1,T2,2b,28/08/2013,0.83
N9,T3,2b,28/08/2013,0.83
N9,T4,2b,25/08/2014,0.83
N11,N12,2b,25/08/2015,0.83
N1,T1,2b,26/07/2012,0.77
N1,N2,2b,31/05/2013,0.77
N1,T1,2b,31/05/2013,0.71
N2,T2,2b,31/05/2013,0.67
N1,T1,2b,28/08/2013,0.67
N5,N6,2b,28/08/2013,0.67
N5,T3,2b,28/08/2013,0.67
N11,N12,2b,26/05/2014,0.67
N5,N12,2b,26/05/2014,0.67
N12,N16,2b,25/08/2015,0.67
N7,N5,2b,25/08/2015,0.67
N5,N13,2b,25/08/2015,0.56
N2,N4,2b,26/07/2012,0.5
N2,N5,2b,26/07/2012,0.5
N6,T3,2b,26/07/2012,0.5
N9,T4,2b,01/06/2017,0.5
N7,N18,2b,01/06/2017,0.5
N17,T5,2b,22/08/2017,0.5
N11,N12,2b,12/06/2018,0.5
N6,N9,2b,28/08/2013,0.4
N1,N12,2b,25/08/2014,0.4
N1,N16,2b,25/08/2015,0.4
N11,T1,2b,25/08/2015,0.4
N6,N9,2b,25/08/2015,0.4
N9,T4,2b,25/08/2015,0.4
N1,N2,2b,26/07/2012,0.33
N1,N3,2b,26/07/2012,0.33
N2,N4,2b,31/05/2013,0.33
N9,T3,2b,26/05/2014,0.33
N9,T3,2b,25/08/2014,0.33
N1,N12,2b,22/08/2016,0.33
N11,N12,2b,01/06/2017,0.33
N13,N6,2b,22/08/2017,0.33
N11,T2,2b,25/08/2015,0.29
N5,N17,2b,25/08/2015,0.29
N4,N5,2b,31/05/2013,0.25
N4,N7,2b,31/05/2013,0.25
N5,N7,2b,28/08/2013,0.25
N5,N7,2b,26/05/2014,0.25
N5,N12,2b,25/08/2014,0.25
N16,N7,2b,25/08/2015,0.25
N13,N6,2b,22/08/2016,0.2
N5,N13,2b,22/08/2016,0.2
N13,N6,2b,01/06/2017,0.2
N7,N19,2b,01/06/2017,0.2
N1,N12,2b,22/08/2017,0.2
N7,N19,2b,22/08/2017,0.2
N13,T2,2b,22/08/2016,0.17
N18,N7,2b,22/08/2016,0.1
N13,N5,2b,01/06/2017,0.1
N12,N11,2b,22/08/2017,0.1
N16,N11,2b,22/08/2017,0.1
N11,N16,2b,12/06/2018,0.1
N11,N1,2b,01/06/2017,0.08
N1,N12,2b,01/06/2017,0.05
