colony,ID,x,y,species
3,T1,-1110.436691,769.4989185,silver birch
3,T10,1232.69239,-3015.068271,lime?
3,T11,874.6749192,-5082.76165,SP
3,T12,1055.028455,-5036.276364,silver birch
3,T13,1052.029549,-5159.604457,silver birch
3,T14,1032.029549,-5259.604457,silver birch
3,T15,1110.465501,-5551.855327,oak
3,T16,1987.542003,-5686.586346,SP
3,T17,1865.151009,-6487.850519,silver birch
3,T18,2351.822627,-3803.877837,SP
3,T19,2500.019466,-4242.756544,silver birch
3,T20,2369.253818,-4003.116773,SP
3,T21,156.0388019,-1483.818646,hawthorn?
3,T22,-500.6220331,-2340.588411,silver birch
3,T23,460.479088,-3858.836762,silver birch
3,T24,-1029.644012,-2469.647892,oak
3,T25,-2191.421855,-1599.437101,oak
3,T26,-1218.006315,-3808.692405,oak
3,T2,-143.6658569,299.260915,SP
3,T3,27.78374019,-157.5692349,SP
3,T4,456.9013422,892.4244229,SP
3,T5,527.298512,1289.506263,SP
3,T6,1164.068643,1455.011893,SP
3,T7,2140.540705,2039.586175,SP
3,T8,2554.832359,1110.587795,SP
3,T9,-2616.085587,-798.5132346,oak
6,T1,1892.792481,749.8985668,silver birch
6,T10,-1244.057167,-431.2712126,silver birch
6,T2,415.9709392,1019.057779,larch
6,T3,-158.8356974,351.7791574,silver birch
6,T4,-5.891916899,388.9190232,silver birch
6,T5,-339.0519701,180.2769024,silver birch
6,T6,-551.0972795,205.2063316,silver birch
6,T7,-816.9003277,211.4922636,silver birch
6,T8,-1992.632371,-21.15950641,silver birch
6,T9,-857.9326637,-1163.475302,oak
7,T1,1770.298508,644.3358656,oak
7,T2,68.00614872,-1202.075113,SP
7,T3,-1138.808355,160.0485266,oak
7,T4,30.67174784,752.7682069,oak
7,T5,-690.4496977,2231.28397,oak
7,T6,-525.5502112,2237.042386,oak
7,T7,-1848.841372,-1812.685517,SP
7,T8,-2698.73822,-1274.859773,SP
7,T9,-2789.807914,-2225.346947,SP
8,T1,-389.3703013,-142.1512274,SP
8,T10,-2361.405915,-88.02685118,larch
8,T11,-2613.133045,87.59069116,larch
8,T12,209.9852455,-614.8668861,SP
8,T13,-2291.45404,1153.028054,larch
8,T14,-1556.13842,1194.728846,larch
8,T15,-2070.044493,1345.304226,larch
8,T16,-513.0325236,1099.760138,larch
8,T17,-1700,-1500,SP
8,T18,650,550,larch
8,T19,1352.03482,-337.1826313,larch
8,T2,1023.142397,-217.4755977,larch
8,T20,-833.3106117,-1424.174515,SP
8,T21,-849.7136924,-954.4608371,SP
8,T22,-868.5481208,-685.1185562,SP
8,T3,459.5823083,513.8952358,larch
8,T4,-110.1935332,518.4181567,SP
8,T5,-1514.566632,402.7974521,larch
8,T6,-1843.987561,-871.9667936,larch
8,T7,-681.7082517,424.0011558,larch
8,T8,-1670.140736,624.2759141,larch
8,T9,-1284.37745,-1236.493096,SP
9,T1,2129.292698,-2670.148662,sycamore
9,T10,-605.6638064,-63.6580997,silver birch
9,T11,-2523.06524,1931.655177,oak
9,T2,125.9041565,555.0955265,silver birch
9,T3,1.884964602,725.2125395,silver birch
9,T4,-115.2609878,316.6763406,silver birch
9,T5,-1313.340928,79.60411398,silver birch
9,T6,-3474.063985,94.31949896,oak
9,T7,-2664.911197,-450.0479357,sycamore
9,T8,-2540.311065,-779.8560843,sycamore
9,T9,-1218.998888,-763.4108622,sycamore
10,T1,-2626.740042,-1307.385578,larch
10,T2,-1214.134291,-1129.887896,larch
10,T3,-1607.098003,-1394.945476,larch
10,T4,-826.9235745,-1577.580051,larch
10,T5,-66.48309984,-1903.839541,SP
10,T6,70.54872249,-1964.850029,larch
10,T7,1769.453584,-2158.144499,SP
10,T8,1373.797786,-1232.148889,SP
12,T1,1405.750126,641.3186272,SP
12,T10,-2555.467276,1403.922672,SP
12,T11,-2281.601568,1121.625546,SP
12,T2,671.9719177,892.0695916,oak
12,T3,66.98091907,52.33121899,SP
12,T4,-608.0843308,-1348.329632,oak
12,T5,-208.2613327,-886.0095521,SP
12,T6,-614.190775,178.5842484,SP
12,T7,-1402.006115,354.4862573,SP
12,T8,-1545.443572,-1225.519406,SP
12,T9,-1213.200292,-1466.564345,silver birch
12,T12,-2735.302324,1577.587164,oak
12,T13,1262.066594,-916.9448791,SP
12,T14,1114.717344,-1003.695792,SP
12,T15,1857.04427,-1252.591945,oak
12,T16,-2274.358226,1657.103941,silver birch
12,T17,884.9040791,-1196.532156,SP
2a,T1,438.6848901,1116.805247,oak
2a,T2,670.2312914,783.2161801,oak
2a,T3,-1913.936857,1432.375929,silver birch
2b,T1,-502.5040612,1742.443341,oak
2b,T2,74.16007167,827.6881878,oak
2b,T3,988.3368433,1343.311154,oak
2b,T4,1921.811469,2766.303828,oak
2b,T5,1084.419833,-21.42572305,oak
2b,T6,-1218.006315,-3808.692405,SP
