ID,sex,date_injected,injection,mass_at_injection[g],group
00074d9e9e,Fem,16-Jan,LPS,27,a6
00074dc4a5,Male,16-Jan,Control,27.5,a1
00075b2b37,Male,16-Jan,Control,28.4,a7
00075d73fc,Male,16-Jan,LPS,23.8,a9
00075a6708,Fem,18-Jan,Control,20.8,b4
00074f28be,Fem,18-Jan,LPS,34,b5
00075b260c,Male,18-Jan,LPS,26.1,b8
00074da136,Fem,20-Jan,Control,28.8,c2a
00074dbe51,Male,20-Jan,LPS,28.9,c10
00075b6ff6,Male,20-Jan,LPS,27,c2b
00075b16a9,Fem,22-Jan,Control,31.2,a9
00074d9179,Fem,22-Jan,LPS,23.4,a1
00074def99,Fem,22-Jan,LPS,32.9,a7
00074c0118,Male,22-Jan,Control,27.5,a6
00075b2a64,Fem,24-Jan,Control,21.5,b8
00074bf36d,Male,24-Jan,Control,27.2,b5
00074be0ac,Male,24-Jan,LPS,26,b4
00074dd3df,Fem,26-Jan,Control,23.5,c2b
00075a3dcf,Fem,26-Jan,LPS,20.8,c3
000757fa08,Male,26-Jan,LPS,22,c2a
00074fef15,Fem,28-Jan,Control,32.6,a7
00074c10b5,Fem,28-Jan,Control,27.3,a1
00075e05f2,Male,1-Feb,Control,28.7,c2a
00075b1a28,Male,3-Feb,Control,25.7,a9
00074dd577,Fem,5-Feb,LPS,19.4,b4
00074db231,Fem,5-Feb,Control,25.7,b5
00074d8e0a,Male,5-Feb,Control,27.2,b8
00075b3038,Fem,7-Feb,Control,19.1,c3
00075a341a,Fem,7-Feb,LPS,18.5,c2a
00074da3ed,Male,7-Feb,Control,26.9,c2b
00074ecdad,Fem,9-Feb,Control,21.9,a6
00075b1d24,Fem,9-Feb,LPS,25.7,a9
00075b2cdd,Male,9-Feb,LPS,27.1,a7
00075b3e57,Male,9-Feb,LPS,27.4,a1
00074da4b8,Fem,11-Feb,LPS,30.4,b8
00074dca60,Male,11-Feb,Control,30.4,b4
00074c1ca9,Male,11-Feb,LPS,28,b5
00074dea7e,Fem,13-Feb,LPS,20.6,c2b
00075b8d39,Male,13-Feb,Control,27.3,c10
7.57E+148,Male,13-Feb,LPS,27.3,c2a
00075b25de,Male,13-Feb,LPS,25.9,c3
00074d99f3,Fem,15-Feb,Control,27.7,a9
00074daaf6,Fem,15-Feb,Control,26.9,a7
00074facd9,Male,15-Feb,LPS,29.5,a6
00075013dc,Male,17-Feb,Control,25.4,b5
00074da6b4,Male,17-Feb,LPS,30.8,b4
00075d7729,Male,17-Feb,LPS,24.6,b8
00074fbd36,Fem,21-Feb,Control,21.3,c2b
00075b13a0,Fem,21-Feb,LPS,25.4,c10
00075a778b,Fem,21-Feb,LPS,23.4,c2a
00075b39cc,Fem,21-Feb,LPS,21.1,c3
00075b3e1e,Fem,23-Feb,LPS,25.2,a6
00075d8601,Male,23-Feb,Control,28.5,a1
00075b525f,Male,23-Feb,LPS,33.4,a9
00075d67d0,Male,23-Feb,LPS,32.7,a7
00074db098,Fem,25-Feb,Control,22.7,b4
000757f627,Fem,25-Feb,Control,18,b5
00075b70ee,Fem,25-Feb,LPS,18.4,b8
00075d7c8f,Fem,27-Feb,Control,29.1,c10
00075d4864,Fem,27-Feb,Control,21.7,c3
00074f2ddd,Fem,27-Feb,LPS,22.3,c2b
00074bd70a,Male,27-Feb,Control,26.8,c2a
00074ecf28,Fem,1-Mar,Control,29.4,a1
00074ddf16,Fem,1-Mar,Control,23.9,a6
00075b3362,Fem,1-Mar,LPS,27,a9
000757e7a0,Male,1-Mar,Control,28.5,a7
00075a7c79,Male,4-Mar,LPS,27.1,b4
00074c35b2,Male,4-Mar,LPS,25.9,b5
000757d790,Male,6-Mar,Control,30.5,c2a
00075e0fbb,Male,6-Mar,Control,25.1,c2b
000757fe52,Male,6-Mar,LPS,30.6,c10
00074f5a1c,Male,6-Mar,LPS,31,c3
