GroupID,IndividualID,RiskTreatment,Block,Length_cm,Approached,ApproachLatency,Solved,SolveLatency,TimesEntered
L1,L11,LowRisk,A,2.19,1,416,0,,0
L1,L12,LowRisk,A,2.21,0,,0,,0
L1,L13,LowRisk,A,2.22,1,1131,0,,0
L1,L14,LowRisk,A,2.11,1,1099,0,,0
L1,L15,LowRisk,A,2.17,1,892,0,,0
L1,L16,LowRisk,A,2.2,1,843,0,,0
L1,L17,LowRisk,A,2.09,1,1090,0,,0
L1,L18,LowRisk,A,2.1,1,929,0,,0
L2,L21,LowRisk,A,1.93,1,172,0,,0
L2,L22,LowRisk,A,2.1,0,,0,,0
L2,L23,LowRisk,A,2.03,0,,0,,0
L2,L24,LowRisk,A,2.05,0,,0,,0
L2,L25,LowRisk,A,1.99,0,,0,,0
L2,L26,LowRisk,A,2,0,,0,,0
L2,L27,LowRisk,A,1.93,0,,0,,0
L3,L31,LowRisk,A,2.51,0,,0,,0
L3,L32,LowRisk,A,2.64,0,,0,,0
L3,L33,LowRisk,A,2.67,0,,0,,0
L3,L34,LowRisk,A,2.64,0,,0,,0
L3,L35,LowRisk,A,2.61,0,,0,,0
L3,L36,LowRisk,A,2.51,0,,0,,0
L3,L37,LowRisk,A,2.52,0,,0,,0
L3,L38,LowRisk,A,2.49,0,,0,,0
L4,L41,LowRisk,A,1.83,1,490,1,858,2
L4,L42,LowRisk,A,1.77,1,505,1,859,3
L4,L43,LowRisk,A,1.77,1,471,1,852,2
L4,L44,LowRisk,A,1.92,1,258,1,830,5
L4,L45,LowRisk,A,1.94,1,258,1,684,4
L4,L46,LowRisk,A,1.8,1,256,1,854,2
L4,L47,LowRisk,A,1.82,1,27,1,838,7
L4,L48,LowRisk,A,1.74,1,405,1,855,3
L5,L51,LowRisk,B,1.84,1,51,1,607,8
L5,L52,LowRisk,B,1.75,1,176,1,613,5
L5,L53,LowRisk,B,1.82,1,1197,0,,0
L5,L54,LowRisk,B,1.74,1,172,0,,0
L5,L55,LowRisk,B,1.73,1,493,1,608,7
L5,L56,LowRisk,B,1.66,1,469,1,605,8
L5,L57,LowRisk,B,1.66,1,51,1,628,5
L5,L58,LowRisk,B,1.74,1,412,1,611,5
L6,L61,LowRisk,B,1.79,1,874,0,,0
L6,L62,LowRisk,B,1.8,1,868,0,,0
L6,L63,LowRisk,B,1.84,1,894,0,,0
L6,L64,LowRisk,B,1.98,0,,0,,0
L6,L65,LowRisk,B,1.91,1,872,0,,0
L6,L66,LowRisk,B,1.83,0,,0,,0
L6,L67,LowRisk,B,1.82,1,880,0,,0
L6,L68,LowRisk,B,1.78,1,900,0,,0
L7,L71,LowRisk,B,1.8,1,862,1,936,4
L7,L72,LowRisk,B,1.76,1,551,1,559,5
L7,L73,LowRisk,B,1.81,1,602,1,934,2
L7,L74,LowRisk,B,1.71,1,6,1,7,1
L7,L75,LowRisk,B,1.8,1,7,0,,0
L7,L76,LowRisk,B,1.75,1,640,1,1065,1
L7,L77,LowRisk,B,1.67,1,809,1,932,4
L7,L78,LowRisk,B,1.79,1,809,1,935,2
L8,L81,LowRisk,B,1.93,1,278,1,385,9
L8,L82,LowRisk,B,1.91,1,197,1,631,6
L8,L83,LowRisk,B,1.85,1,307,1,509,7
L8,L84,LowRisk,B,1.91,1,306,1,512,12
L8,L85,LowRisk,B,1.77,1,308,1,629,5
L8,L86,LowRisk,B,1.9,1,765,1,817,2
L8,L87,LowRisk,B,1.86,1,278,1,753,2
L8,L88,LowRisk,B,1.73,1,262,1,622,7
L9,L91,LowRisk,C,1.82,1,67,1,67,5
L9,L92,LowRisk,C,1.85,1,640,1,644,9
L9,L93,LowRisk,C,1.79,1,638,1,846,7
L9,L94,LowRisk,C,1.82,1,871,1,892,5
L9,L95,LowRisk,C,1.85,1,974,1,978,3
L9,L96,LowRisk,C,1.78,1,375,1,849,5
L9,L97,LowRisk,C,1.84,1,953,1,978,4
L9,L98,LowRisk,C,1.8,1,599,1,647,7
L10,L101,LowRisk,C,1.91,1,285,1,1072,1
L10,L102,LowRisk,C,1.88,1,269,1,1080,1
L10,L103,LowRisk,C,1.98,1,267,0,,0
L10,L104,LowRisk,C,1.92,1,291,1,1078,1
L10,L105,LowRisk,C,1.97,1,282,1,517,8
L10,L106,LowRisk,C,1.99,1,271,1,522,4
L10,L107,LowRisk,C,1.91,1,289,1,1101,1
L10,L108,LowRisk,C,1.89,1,272,1,617,2
L11,L111,LowRisk,C,1.84,1,319,1,961,1
L11,L112,LowRisk,C,1.88,1,320,1,840,2
L11,L113,LowRisk,C,1.79,1,944,1,964,1
L11,L114,LowRisk,C,1.86,1,944,1,968,1
L11,L115,LowRisk,C,1.86,1,695,1,956,1
L11,L116,LowRisk,C,1.8,1,318,1,967,1
L11,L117,LowRisk,C,1.72,1,953,1,970,1
L11,L118,LowRisk,C,1.72,1,950,1,963,1
L12,L121,LowRisk,C,1.94,0,,0,,0
L12,L122,LowRisk,C,2.01,0,,0,,0
L12,L123,LowRisk,C,2.07,0,,0,,0
L12,L124,LowRisk,C,2.08,0,,0,,0
L12,L125,LowRisk,C,1.89,0,,0,,0
L12,L126,LowRisk,C,1.88,0,,0,,0
L12,L127,LowRisk,C,1.89,0,,0,,0
L12,L128,LowRisk,C,1.89,0,,0,,0
L13,L131,LowRisk,D,1.99,1,701,1,1018,3
L13,L132,LowRisk,D,1.79,1,418,1,881,4
L13,L133,LowRisk,D,1.97,1,698,1,1035,1
L13,L134,LowRisk,D,1.93,1,649,1,913,3
L13,L135,LowRisk,D,1.87,1,698,1,1014,3
L13,L136,LowRisk,D,1.79,1,269,1,903,5
L13,L137,LowRisk,D,1.97,1,631,1,877,4
L13,L138,LowRisk,D,1.81,1,700,1,885,4
L14,L141,LowRisk,D,2.07,1,1092,0,,0
L14,L142,LowRisk,D,2.06,0,,0,,0
L14,L143,LowRisk,D,2.19,1,1093,0,,0
L14,L144,LowRisk,D,2.12,1,1075,0,,0
L14,L145,LowRisk,D,2.1,1,1092,0,,0
L14,L146,LowRisk,D,2.08,0,,0,,0
L14,L147,LowRisk,D,2.06,1,1118,0,,0
L14,L148,LowRisk,D,2.04,0,,0,,0
L15,L151,LowRisk,D,1.89,1,462,1,583,2
L15,L152,LowRisk,D,1.93,1,558,1,781,3
