LowRisk1,Low1.1,,,,,,,,,,Low1.2,,,,,,,,,,Low1.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,7,X,X,3,6,5,X,3,,1,6,6,8,6,7,2,6,2,,1,8,8,8,3,6,8,5,7
,2,2,8,X,7,3,7,1,3,,2,5,X,8,7,4,1,2,6,,2,X,6,5,6,1,8,5,6
,3,4,1,6,1,3,5,X,1,,3,7,X,6,8,6,4,4,2,,3,3,8,5,8,4,8,5,6
,4,4,1,X,5,3,3,8,1,,4,6,X,6,6,3,5,6,3,,4,3,8,6,1,3,8,3,3
,5,X,5,X,2,8,X,8,1,,5,5,X,5,6,8,8,1,2,,5,4,6,5,6,6,8,5,4
,6,5,X,X,5,7,2,4,1,,6,4,7,8,6,8,8,2,6,,6,4,8,6,8,8,8,5,7
,7,X,4,7,5,3,X,X,5,,7,8,X,6,6,3,2,3,6,,7,5,X,5,5,4,8,4,4
,8,5,4,4,2,3,3,X,5,,8,4,7,4,6,4,2,6,4,,8,5,8,4,8,8,X,4,5
,9,X,5,2,5,4,X,X,5,,9,3,X,1,7,3,1,2,6,,9,3,X,5,8,4,8,5,4
,10,5,1,7,5,4,4,X,3,,10,3,6,X,6,3,1,1,6,,10,5,8,5,5,1,8,4,4
,11,5,5,8,1,1,2,X,6,,11,7,4,X,6,1,1,1,5,,11,3,8,6,5,1,X,5,5
,12,5,6,5,3,8,2,X,6,,12,8,5,7,6,6,2,2,5,,12,3,8,X,6,8,8,4,6
,13,5,5,4,6,3,1,X,6,,13,8,8,8,7,4,2,2,6,,13,3,6,X,6,1,8,4,6
,14,X,1,X,1,3,1,X,6,,14,7,8,X,7,2,4,3,6,,14,3,8,X,7,4,8,1,4
,15,X,5,5,8,6,1,X,1,,15,7,6,6,7,4,1,1,6,,15,3,6,5,7,6,X,5,4
,16,X,X,8,3,6,1,5,1,,16,7,5,6,7,8,7,1,4,,16,3,8,X,8,1,8,4,5
,17,4,4,4,6,8,4,1,5,,17,7,3,5,1,3,1,3,4,,17,3,8,X,5,3,8,5,5
,18,5,X,1,5,8,8,1,3,,18,7,X,4,7,6,1,1,6,,18,3,6,X,8,3,8,1,5
,19,5,X,1,3,6,5,1,2,,19,7,X,4,7,6,8,1,1,,19,3,3,X,8,3,8,5,3
,20,2,1,4,3,8,8,4,2,,20,7,X,4,7,4,7,1,6,,20,3,7,8,3,3,8,5,3
,21,5,4,X,6,6,1,3,6,,21,7,X,X,7,6,7,8,6,,21,3,4,1,6,3,8,4,3
,22,8,X,5,7,X,5,8,1,,22,7,X,6,3,1,7,1,6,,22,3,X,5,6,3,4,1,5
,23,X,X,1,1,8,5,2,6,,23,7,8,X,7,4,3,8,1,,23,3,X,8,7,6,8,X,5
,24,2,X,5,8,8,1,8,4,,24,7,X,8,7,4,2,4,6,,24,3,X,X,5,8,8,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk2,Low2.1,,,,,,,,,Low2.2,,,,,,,,,Low2.3,,,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,,Focal Individual,1,2,3,4,5,6,7,,Focal Individual,1,2,3,4,5,6,7,,,
,Observation,,,,,,,,,Observation,,,,,,,,,Observation,,,,,,,,,,
,1,5,X,7,1,1,7,3,,1,4,1,7,5,2,3,5,,1,X,X,7,7,4,5,3,,,
,2,5,X,7,1,1,7,3,,2,4,1,7,5,2,3,5,,2,X,X,7,7,4,5,3,,,
,3,5,X,7,1,1,7,3,,3,4,1,7,1,2,3,5,,3,X,X,7,7,4,5,3,,,
,4,5,X,7,1,1,7,3,,4,2,1,7,5,6,3,5,,4,X,X,7,7,4,5,3,,,
,5,5,X,7,1,1,7,3,,5,2,1,7,1,6,3,3,,5,X,X,7,5,4,5,3,,,
,6,5,X,7,1,1,7,3,,6,2,1,7,2,6,3,3,,6,X,1,7,5,4,5,3,,,
,7,5,X,7,1,1,7,3,,7,2,1,7,2,1,3,3,,7,X,1,7,5,4,5,3,,,
,8,5,X,7,1,1,7,3,,8,2,1,7,2,2,3,3,,8,X,1,7,5,4,2,3,,,
,9,5,X,7,1,1,7,3,,9,6,1,7,5,4,3,3,,9,X,X,7,5,4,5,3,,,
,10,5,X,7,1,1,7,3,,10,2,1,7,5,3,3,3,,10,X,X,7,5,4,5,3,,,
,11,5,X,7,1,1,7,3,,11,2,1,7,5,3,3,3,,11,X,X,7,5,4,5,3,,,
,12,5,X,7,1,1,7,3,,12,2,1,7,5,3,3,3,,12,X,6,7,5,4,5,3,,,
,13,5,X,7,1,1,7,3,,13,2,1,7,5,3,7,3,,13,X,X,7,5,4,2,3,,,
,14,5,X,7,1,1,7,3,,14,7,1,7,5,3,7,3,,14,X,X,7,5,4,5,3,,,
,15,5,X,7,1,1,7,3,,15,4,1,7,5,2,7,3,,15,X,1,7,5,4,5,3,,,
,16,5,X,7,1,1,7,3,,16,2,1,7,5,1,7,3,,16,X,X,7,5,4,3,3,,,
,17,5,X,7,1,1,7,3,,17,2,1,7,5,7,7,3,,17,X,X,7,5,4,5,3,,,
,18,5,X,7,1,1,7,3,,18,2,1,7,5,7,7,6,,18,X,X,7,5,4,5,3,,,
,19,5,1,7,1,1,7,3,,19,2,1,7,5,7,7,3,,19,X,X,7,5,4,7,3,,,
,20,5,1,7,1,1,7,3,,20,2,1,7,5,7,7,3,,20,X,X,7,5,4,5,3,,,
,21,5,1,7,1,1,7,3,,21,2,1,7,5,7,7,3,,21,X,7,7,5,4,5,3,,,
,22,5,1,7,1,1,7,3,,22,2,1,7,5,7,7,3,,22,X,3,7,7,4,5,3,,,
,23,5,1,7,1,1,4,3,,23,2,1,7,5,7,7,3,,23,X,5,7,7,4,5,3,,,
,24,5,1,7,1,1,7,3,,24,5,1,7,5,7,7,3,,24,X,X,7,7,4,5,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk3,Low3.1,,,,,,,,,,Low3.2,,,,,,,,,,Low3.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,8,7,6,6,3,2,6,5,,1,6,X,4,2,X,8,3,5,,1,2,1,8,6,X,2,8,1
,2,8,8,7,2,6,3,2,2,,2,7,6,4,6,X,1,3,5,,2,4,8,4,6,6,1,3,5
,3,8,7,4,8,6,3,6,3,,3,4,3,2,8,6,1,6,5,,3,7,X,5,6,1,5,3,5
,4,8,7,6,6,6,8,5,1,,4,5,6,7,3,3,3,8,3,,4,X,1,2,3,6,7,1,5
,5,4,3,7,3,1,8,1,5,,5,6,6,6,X,X,4,8,3,,5,8,5,4,8,1,2,6,5
,6,3,7,6,5,1,8,4,1,,6,6,8,6,X,2,8,5,1,,6,7,6,4,7,1,4,3,6
,7,4,7,8,1,2,8,4,4,,7,2,X,1,X,6,4,6,4,,7,6,1,2,6,7,7,X,2
,8,3,6,5,5,2,4,4,2,,8,7,1,X,8,2,7,1,6,,8,3,6,2,6,X,2,8,2
,9,4,7,1,3,3,5,2,4,,9,X,1,X,3,2,7,8,4,,9,6,8,2,3,3,4,1,X
,10,3,7,8,1,7,8,5,1,,10,4,3,6,1,6,7,6,6,,10,7,8,2,8,8,7,6,2
,11,3,7,5,6,6,7,5,1,,11,5,1,6,X,1,3,4,6,,11,7,6,5,7,6,7,1,2
,12,2,3,1,5,6,8,5,4,,12,2,1,1,X,X,1,6,6,,12,8,8,X,5,4,7,4,1
,13,5,5,1,5,6,1,3,5,,13,3,8,4,2,X,1,4,1,,13,6,6,1,3,7,4,3,X
,14,3,7,8,8,4,7,3,7,,14,3,4,2,6,X,8,3,4,,14,6,6,8,6,4,4,8,1
,15,7,1,5,8,4,2,8,7,,15,6,8,8,X,2,7,8,1,,15,3,8,7,8,7,8,6,7
,16,6,7,7,8,8,7,3,3,,16,6,X,8,6,7,4,X,6,,16,8,8,6,6,4,5,8,1
,17,8,6,1,8,4,1,4,3,,17,3,X,7,8,X,3,8,6,,17,4,1,7,3,3,3,2,7
,18,6,1,4,5,X,7,2,4,,18,2,5,4,6,X,4,8,3,,18,6,4,6,3,X,3,2,1
,19,5,3,6,8,X,2,X,3,,19,X,5,2,6,X,3,3,7,,19,8,4,5,3,7,7,6,3
,20,6,8,7,3,4,8,4,3,,20,4,5,4,6,X,4,6,7,,20,6,1,2,3,X,4,8,1
,21,6,3,4,8,3,5,6,2,,21,6,3,1,6,X,4,3,6,,21,8,1,2,3,6,4,1,7
,22,6,8,6,1,2,3,4,3,,22,7,X,8,1,X,1,8,1,,22,3,3,X,3,1,4,3,6
,23,4,8,7,X,8,1,5,6,,23,6,6,8,7,2,7,6,6,,23,5,8,X,8,3,5,2,6
,24,6,8,1,X,6,8,6,6,,24,X,1,2,X,2,5,8,1,,24,6,1,X,8,8,7,8,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk4,Low4.1,,,,,,,,,,Low4.2,,,,,,,,,,Low4.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,X,7,8,2,X,X,6,5,,1,8,6,6,X,X,3,6,1,,1,4,4,1,6,X,X,6,X
,2,X,8,X,2,X,1,5,6,,2,5,6,1,8,3,X,X,6,,2,4,1,X,8,3,X,8,X
,3,X,8,6,2,X,1,3,6,,3,5,1,X,1,X,X,6,6,,3,4,3,1,5,X,X,8,6
,4,X,5,8,2,X,1,3,6,,4,5,3,1,1,6,X,5,X,,4,3,4,5,8,6,1,8,5
,5,X,5,8,2,X,1,6,3,,5,8,7,8,3,6,X,5,X,,5,4,7,8,3,3,X,X,5
,6,X,3,8,2,X,1,X,7,,6,6,1,1,1,X,X,5,X,,6,2,4,8,3,6,5,4,3
,7,X,7,8,2,X,1,X,7,,7,8,7,8,7,X,8,5,5,,7,2,4,5,1,X,1,4,5
,8,3,3,8,2,X,1,6,3,,8,6,7,8,3,6,8,8,1,,8,5,7,8,1,6,X,1,5
,9,6,3,8,2,X,3,6,5,,9,6,7,8,6,6,3,X,7,,9,8,7,5,5,6,4,2,X
,10,8,3,1,2,X,1,6,3,,10,8,8,8,1,6,1,5,X,,10,5,3,X,1,6,8,X,X
,11,3,3,5,2,X,5,6,X,,11,8,8,8,5,3,8,4,1,,11,4,1,X,5,X,8,2,2
,12,8,3,2,2,X,5,6,X,,12,X,5,5,1,6,X,4,6,,12,4,3,6,X,X,1,3,5
,13,6,3,5,2,X,5,6,5,,13,7,3,5,1,X,X,5,6,,13,X,3,8,X,8,8,3,2
,14,3,3,5,2,X,5,6,1,,14,7,7,1,7,X,1,1,7,,14,X,1,X,X,2,X,1,2
,15,6,3,1,2,X,1,X,1,,15,X,7,8,7,3,7,8,1,,15,X,7,6,8,X,5,1,X
,16,8,3,1,2,X,1,3,1,,16,5,8,6,7,1,8,X,3,,16,7,7,X,8,X,X,1,5
,17,6,6,1,2,X,1,3,1,,17,6,5,5,2,2,1,3,X,,17,3,4,X,8,4,5,2,6
,18,3,3,5,2,X,1,1,1,,18,6,1,6,2,2,1,3,X,,18,7,X,X,2,X,5,X,1
,19,8,3,8,2,X,1,3,1,,19,6,8,7,7,2,X,3,X,,19,7,X,6,2,6,2,X,X
,20,8,3,8,7,X,1,8,1,,20,6,5,1,7,8,5,4,6,,20,6,7,6,2,2,X,8,6
,21,8,X,8,2,X,X,5,1,,21,6,X,1,1,1,5,X,5,,21,4,3,5,2,3,X,8,X
,22,8,7,8,2,X,X,2,1,,22,6,4,X,2,1,7,X,5,,22,8,7,5,2,4,X,X,X
,23,8,7,8,2,X,3,5,1,,23,6,4,5,1,X,2,X,5,,23,4,7,X,1,4,4,1,X
,24,7,7,8,2,8,8,2,1,,24,6,4,X,8,1,2,8,5,,24,4,7,6,2,4,X,4,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk5,Low5.1,,,,,,,,,,Low5.2,,,,,,,,,,Low5.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,2,8,8,8,X,8,1,7,,1,4,4,X,5,7,5,8,4,,1,5,8,5,6,2,5,3,7
,2,2,3,8,3,2,3,8,X,,2,8,6,X,7,8,4,8,3,,2,8,6,5,6,2,5,3,2
,3,6,1,7,2,1,8,4,2,,3,8,1,X,5,8,X,8,4,,3,X,7,5,2,1,5,3,4
,4,8,X,8,2,X,7,1,4,,4,5,X,X,7,4,5,8,6,,4,X,3,5,8,4,2,3,6
,5,2,3,8,8,X,2,1,4,,5,4,8,X,5,8,2,8,1,,5,4,1,5,6,7,2,3,6
,6,2,8,7,1,6,2,4,4,,6,5,6,X,5,1,5,8,6,,6,7,1,5,5,8,2,3,2
,7,6,5,7,7,X,X,6,4,,7,5,5,X,6,3,X,8,6,,7,7,8,5,5,4,2,3,6
,8,2,5,7,7,4,3,8,2,,8,4,6,X,1,2,5,8,6,,8,6,4,5,1,4,2,3,5
,9,4,7,4,1,3,X,3,1,,9,5,6,X,7,7,5,5,1,,9,6,6,7,7,7,2,3,5
,10,2,1,7,3,X,X,X,1,,10,4,6,X,5,6,7,5,6,,10,8,7,5,1,7,2,3,5
,11,2,4,6,8,4,3,X,1,,11,5,8,X,3,7,4,6,4,,11,8,8,5,6,7,2,3,5
,12,4,8,4,3,8,4,3,1,,12,2,6,X,1,2,4,6,5,,12,8,6,5,6,7,5,3,6
,13,6,6,2,6,8,3,8,7,,13,4,3,X,1,6,2,5,4,,13,6,4,5,2,7,4,3,1
,14,8,3,2,3,4,4,1,2,,14,6,7,X,1,1,5,X,2,,14,6,6,5,6,7,1,2,5
,15,4,8,6,1,1,3,3,4,,15,5,5,1,6,8,1,4,6,,15,4,7,5,1,4,1,2,4
,16,4,X,7,1,3,3,5,5,,16,8,3,7,8,7,4,4,6,,16,4,8,5,1,6,2,2,2
,17,7,X,4,2,7,5,4,5,,17,6,X,2,3,4,1,X,4,,17,4,6,5,2,6,5,2,5
,18,2,8,7,8,X,5,4,2,,18,2,6,4,6,8,3,3,4,,18,8,1,5,1,6,5,2,1
,19,2,6,2,1,1,X,8,3,,19,5,1,X,3,2,8,3,5,,19,6,8,5,1,6,4,2,2
,20,6,6,8,1,2,X,X,6,,20,8,8,X,5,7,4,3,4,,20,8,1,4,1,6,1,2,2
,21,5,6,8,1,3,X,2,3,,21,8,8,X,2,4,2,3,3,,21,8,8,4,1,6,1,2,1
,22,4,6,8,2,3,2,2,4,,22,8,4,X,2,2,3,3,3,,22,8,6,8,1,6,8,2,X
,23,2,6,4,5,3,2,2,3,,23,8,1,4,5,3,2,3,2,,23,8,6,6,7,2,2,2,4
,24,8,5,2,2,8,4,1,3,,24,2,5,8,8,3,1,3,1,,24,X,8,X,6,8,8,2,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk6,Low6.1,,,,,,,,,,Low6.2,,,,,,,,,,Low6.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,4,X,8,2,4,5,X,1,,1,4,8,1,1,2,X,5,X,,1,8,X,7,5,4,7,5,1
,2,4,6,8,8,4,5,X,4,,2,7,7,6,1,4,X,5,X,,2,7,3,7,5,4,7,4,4
,3,4,7,X,6,4,5,X,2,,3,8,4,1,6,1,X,5,7,,3,8,3,2,5,4,7,8,5
,4,4,6,X,1,4,5,X,1,,4,X,3,7,2,6,X,5,1,,4,7,1,1,5,4,7,3,1
,5,4,X,X,8,4,8,X,1,,5,6,3,1,8,1,2,5,7,,5,X,5,7,5,4,7,3,6
,6,4,X,X,1,4,1,X,4,,6,8,8,1,6,1,1,5,7,,6,3,5,8,5,4,7,6,2
,7,4,X,8,2,4,1,X,5,,7,6,1,X,6,7,1,5,7,,7,7,3,2,5,4,7,X,X
,8,4,4,8,2,4,1,X,4,,8,8,4,X,3,7,8,5,X,,8,2,1,2,5,4,8,6,2
,9,4,X,8,1,4,1,X,4,,9,6,4,7,3,7,4,5,7,,9,6,6,8,5,4,8,5,X
,10,4,X,8,1,4,2,X,7,,10,4,7,1,1,7,4,5,6,,10,3,6,2,5,4,8,5,4
,11,4,X,4,8,4,2,X,7,,11,3,8,4,3,1,4,5,2,,11,3,4,8,5,4,2,5,5
,12,4,X,X,7,4,2,X,X,,12,7,8,8,1,6,4,5,2,,12,6,6,7,5,4,2,X,7
,13,4,X,X,6,4,2,X,X,,13,6,1,8,3,1,X,5,2,,13,8,1,8,5,4,3,5,5
,14,4,X,1,2,4,2,X,X,,14,4,8,8,8,1,4,5,6,,14,8,4,7,2,4,2,3,6
,15,4,X,4,1,4,2,X,6,,15,7,X,8,2,6,8,5,7,,15,6,1,X,1,4,2,3,5
,16,4,X,X,2,4,2,X,7,,16,2,4,8,1,3,1,5,1,,16,2,1,X,2,4,2,8,2
,17,4,3,4,8,4,2,X,6,,17,5,X,7,2,6,1,5,6,,17,8,1,X,2,4,2,3,2
,18,4,3,1,8,4,2,X,6,,18,8,1,8,2,6,1,5,2,,18,8,X,X,1,4,2,1,5
,19,4,X,5,7,4,2,X,1,,19,6,1,1,2,4,1,5,6,,19,6,X,2,1,4,2,5,2
,20,4,X,X,1,4,2,X,1,,20,8,1,7,2,2,2,5,6,,20,6,6,7,2,4,2,1,2
,21,4,6,1,1,4,2,X,4,,21,2,1,6,2,1,4,4,2,,21,6,7,8,6,4,2,5,5
,22,4,6,X,8,4,2,X,4,,22,6,1,6,7,1,8,1,2,,22,2,1,7,1,4,2,5,2
,23,4,6,X,6,4,2,X,1,,23,5,X,7,8,1,2,5,X,,23,6,1,2,7,4,7,1,5
,24,4,6,X,1,4,2,X,X,,24,3,X,8,7,8,4,5,6,,24,2,3,2,1,4,2,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LowRisk7,Low7.1,,,,,,,,,,Low7.2,,,,,,,,,,Low7.3,,,,,,,,
,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8,,Focal Individual,1,2,3,4,5,6,7,8
,Observation,,,,,,,,,,Observation,,,,,,,,,,Observation,,,,,,,,
,1,2,3,6,8,X,5,5,2,,1,5,3,1,1,X,X,X,6,,1,X,8,4,8,1,2,X,5
,2,5,3,6,5,X,5,1,6,,2,5,8,1,7,X,2,X,5,,2,X,1,4,5,7,X,X,5
,3,3,1,6,3,2,4,3,1,,3,X,X,1,1,1,8,X,6,,3,X,X,4,5,3,X,X,X
,4,7,6,5,5,2,4,X,6,,4,8,1,1,X,2,5,X,2,,4,X,1,4,X,1,X,X,X
,5,3,8,1,8,1,2,X,1,,5,3,3,1,X,1,2,8,6,,5,X,X,4,8,3,X,X,X
,6,3,5,5,8,1,X,3,2,,6,X,3,1,X,1,8,X,1,,6,X,X,4,8,X,5,X,X
,7,3,3,1,8,4,X,3,6,,7,8,8,1,X,1,2,X,6,,7,X,X,4,8,2,5,X,X
,8,3,3,5,X,8,X,4,6,,8,5,4,1,X,3,1,4,2,,8,X,X,4,8,8,1,X,X
,9,3,3,5,5,2,3,8,2,,9,7,8,1,X,8,8,6,6,,9,X,X,4,5,2,1,X,X
,10,3,6,4,3,1,2,3,6,,10,3,X,1,X,1,8,X,5,,10,X,7,4,2,8,7,X,X
,11,3,7,5,X,2,X,X,2,,11,3,5,1,X,8,1,2,5,,11,X,X,4,6,3,4,X,X
,12,3,4,6,5,3,X,X,1,,12,3,8,1,X,X,X,X,5,,12,X,8,4,6,3,2,X,X
,13,3,X,5,1,6,X,6,1,,13,X,1,1,X,7,7,X,2,,13,X,5,4,6,3,1,2,X
,14,3,8,4,2,7,X,X,2,,14,3,8,1,X,2,7,X,5,,14,X,5,4,8,1,1,2,7
