box,IDA[inside_first],sexA,IDB[inside_after_IDA],sexB,number_encounters,time_together[sec],date_obs
40,000728661b,XY,00075d8601,XY,1,65,24-Jan
40,000728661b,XY,7500319,XY,2,13,24-Jan
40,000728661b,XY,00074c10b5,XX,1,33,24-Jan
3,00074bd70a,XY,00075d67e2,XX,2,39,1-Mar
3,00074bd70a,XY,00075b6df8,XX,1,3,1-Mar
3,00074bd70a,XY,7.57E+148,XY,26,11867,1-Mar
3,00074bd70a,XY,00075a3e22,XY,4,647,1-Mar
3,00074bd70a,XY,00075a341a,XX,1,256,10-Feb
3,00074bd70a,XY,000757fa08,XY,1,10,10-Feb
3,00074bd70a,XY,000757e8b3,XX,1,9,10-Feb
3,00074bd70a,XY,00075b32b4,XY,1,0,10-Feb
3,00074bd70a,XY,00075b6df8,XX,1,230,10-Feb
3,00074bd70a,XY,00075d67e2,XX,1,640,10-Feb
3,00074bd70a,XY,00075d5961,XX,1,77,10-Feb
3,00074bd70a,XY,00074bf097,XX,1,50,10-Feb
3,00074bd70a,XY,00074dda10,XX,1,2208,10-Feb
3,00074bd70a,XY,00074bf097,XX,1,30,11-Feb
3,00074bd70a,XY,00075d67e2,XX,1,112,11-Feb
3,00074bd70a,XY,00075e05f2,XY,1,5,11-Feb
3,00074bd70a,XY,00075a341a,XX,1,20,11-Feb
3,00074bd70a,XY,00074dda10,XX,2,136,11-Feb
3,00074bd70a,XY,00075b6df8,XX,10,3609,13-Feb
3,00074bd70a,XY,00074dda10,XX,7,8400,13-Feb
3,00074bd70a,XY,00074bf097,XX,1,91,15-Feb
3,00074bd70a,XY,00074dda10,XX,1,62,15-Feb
3,00074bd70a,XY,00075b6df8,XX,2,4489,15-Feb
3,00074bd70a,XY,00075a6151,XX,2,1697,15-Jan
3,00074bd70a,XY,00075b6df8,XX,1,386,15-Jan
3,00074bd70a,XY,00075a778b,XX,6,222,15-Jan
3,00074bd70a,XY,000757fa08,XY,3,4158,15-Jan
3,00074bd70a,XY,00075a48d8,XY,1,7,15-Jan
3,00074bd70a,XY,00075a81b6,XX,1,11,15-Jan
3,00074bd70a,XY,00075a7723,XX,1,595,15-Jan
3,00074bd70a,XY,00075a0c04,XX,1,1306,15-Jan
3,00074bd70a,XY,00075d67e2,XX,4,2037,15-Jan
3,00074bd70a,XY,00074dda10,XX,4,2419,15-Jan
3,00074bd70a,XY,7580382,XY,1,751,15-Jan
3,00074bd70a,XY,7580382,XY,4,1197,16-Jan
3,00074bd70a,XY,000757fa08,XY,1,110,16-Jan
3,00074bd70a,XY,00075a778b,XX,1,936,16-Jan
3,00074bd70a,XY,00075a341a,XX,1,80,16-Jan
3,00074bd70a,XY,00074da136,XX,1,3806,16-Jan
3,00074bd70a,XY,00075d67e2,XX,1,214,17-Feb
3,00074bd70a,XY,00075a341a,XX,1,559,17-Feb
3,00074bd70a,XY,7.57E+148,XY,2,222,17-Feb
3,00074bd70a,XY,00074dda10,XX,2,220,17-Feb
3,00074bd70a,XY,00074bf097,XX,3,2912,17-Feb
3,00074bd70a,XY,00075b6df8,XX,2,1684,17-Feb
3,00074bd70a,XY,00074d8639,XX,6,1995,18-Jan
3,00074bd70a,XY,00074dda10,XX,1,27,18-Jan
3,00074bd70a,XY,00075a6151,XX,1,3,18-Jan
3,00074bd70a,XY,00075a341a,XX,2,1268,19-Feb
3,00074bd70a,XY,7.57E+71,XY,1,443,19-Feb
3,00074bd70a,XY,7.57E+148,XY,2,15,19-Feb
3,00074bd70a,XY,00074dda10,XX,2,125,19-Feb
3,00074bd70a,XY,00075d67e2,XX,1,82,19-Feb
3,00074bd70a,XY,00075b6df8,XX,1,1211,19-Feb
3,00074bd70a,XY,00074bf097,XX,4,1616,19-Feb
3,00074bd70a,XY,00074d8639,XX,2,87,20-Jan
3,00074bd70a,XY,00075d67e2,XX,1,51,20-Jan
3,00074bd70a,XY,7.57E+148,XY,16,10135,21-Feb
3,00074bd70a,XY,00075a341a,XX,7,4669,21-Feb
3,00074bd70a,XY,00075b6df8,XX,3,2494,21-Feb
3,00074bd70a,XY,00074bf097,XX,6,3408,21-Feb
3,00074bd70a,XY,00074d8639,XX,2,576,22-Jan
3,00074bd70a,XY,00074bf097,XX,1,1671,23-Feb
3,00074bd70a,XY,7.57E+148,XY,9,2061,23-Feb
3,00074bd70a,XY,000757fa08,XY,1,48,23-Feb
3,00074bd70a,XY,00075d67e2,XX,2,736,23-Feb
3,00074bd70a,XY,00075b6df8,XX,7,1416,23-Feb
3,00074bd70a,XY,00075a341a,XX,3,866,23-Feb
3,00074bd70a,XY,00075a81b6,XX,3,1470,23-Feb
3,00074bd70a,XY,00075a81b6,XX,9,5893,24-Jan
3,00074bd70a,XY,00075b6df8,XX,1,14,24-Jan
3,00074bd70a,XY,00074d8639,XX,1,215,24-Jan
3,00074bd70a,XY,00075a341a,XX,2,369,24-Jan
3,00074bd70a,XY,00075a48d8,XY,1,0,24-Jan
3,00074bd70a,XY,00075a0c04,XX,1,776,24-Jan
3,00074bd70a,XY,00075a3e22,XY,12,3351,25-Feb
3,00074bd70a,XY,00075d67e2,XX,11,2514,25-Feb
3,00074bd70a,XY,00074dda10,XX,3,450,25-Feb
3,00074bd70a,XY,00075a341a,XX,14,3728,25-Feb
3,00074bd70a,XY,00075a0c04,XX,1,189,25-Feb
3,00074bd70a,XY,00074de544,XX,1,27,25-Feb
3,00074bd70a,XY,00075b6df8,XX,17,4575,25-Feb
3,00074bd70a,XY,00075a81b6,XX,15,9970,25-Feb
3,00074bd70a,XY,7.57E+148,XY,19,9864,25-Feb
3,00074bd70a,XY,00074bf097,XX,18,6737,25-Feb
3,00074bd70a,XY,00075b32b4,XY,1,865,26-Jan
3,00074bd70a,XY,00075d67e2,XX,1,63,26-Jan
3,00074bd70a,XY,00074d8639,XX,1,429,26-Jan
3,00074bd70a,XY,00074fb7c2,XX,1,69,26-Jan
3,00074bd70a,XY,00075a6151,XX,1,26,26-Jan
3,00074bd70a,XY,00075a3e22,XY,1,25,27-Feb
3,00074bd70a,XY,00075d67e2,XX,1,7,27-Feb
3,00074bd70a,XY,00074bf097,XX,1,25,27-Feb
3,00074bd70a,XY,00075a341a,XX,1,28,27-Feb
3,00074bd70a,XY,00074de544,XX,1,190,3-Feb
3,00074bd70a,XY,00075a6151,XX,1,521,3-Feb
3,00074bd70a,XY,00074dd8c6,XY,4,8686,3-Feb
3,00074bd70a,XY,00074dda10,XX,2,2477,3-Feb
3,00074bd70a,XY,00075a3e22,XY,1,111,3-Feb
3,00074bd70a,XY,00075a3e22,XY,2,401,3-Mar
3,00074bd70a,XY,00075d67e2,XX,3,73,3-Mar
3,00074bd70a,XY,00075a778b,XX,1,9,31-Jan
