ID,data_night,number_of_exits&entrances,time_inside_boxes[sec],number_of_boxes_visited
00074d9e9e,a.pre,19,14815,1
00074d9e9e,b.inj,3,13146,2
00074dc4a5,a.pre,16,15025,1
00074dc4a5,b.inj,67,22831,1
00075b2b37,a.pre,30,10990,1
00075b2b37,b.inj,243,10586,1
00075d73fc,a.pre,24,23290,1
00075d73fc,b.inj,0,0,0
00074f28be,a.pre,23,9654,5
00074f28be,b.inj,2,7615,2
00075a6708,a.pre,16,12673,3
00075a6708,b.inj,23,23000,2
00075b260c,a.pre,18,11857,1
00075b260c,b.inj,5,65,1
00074da136,a.pre,6,20432,1
00074da136,b.inj,10,13092,2
00074dbe51,a.pre,66,19481,2
00074dbe51,b.inj,21,19920,2
00075b6ff6,a.pre,34,15241,1
00075b6ff6,b.inj,8,14682,2
00074c0118,a.pre,19,22194,1
00074c0118,b.inj,11,17476,1
00074d9179,a.pre,17,12406,2
00074d9179,b.inj,4,9006,1
00074def99,a.pre,164,12540,3
00074def99,b.inj,0,0,0
00075b16a9,a.pre,15,6591,3
00075b16a9,b.inj,2,1179,2
00074be0ac,a.pre,10,20679,1
00074be0ac,b.inj,7,20971,1
00074bf36d,a.pre,12,14177,1
00074bf36d,b.inj,8,9696,1
00075b2a64,a.pre,11,11049,2
00075b2a64,b.inj,21,6507,2
00074dd3df,a.pre,16,14762,3
00074dd3df,b.inj,66,11994,4
000757fa08,a.pre,8,3559,2
000757fa08,b.inj,1,122,1
00075a3dcf,a.pre,12,14468,2
00075a3dcf,b.inj,0,0,0
00074c10b5,a.pre,82,7008,2
00074c10b5,b.inj,16,5103,2
00074fef15,a.pre,52,15103,3
00074fef15,b.inj,56,17576,2
00075e05f2,a.pre,5,13054,1
00075e05f2,b.inj,7,17326,2
00075b1a28,a.pre,14,19231,1
00075b1a28,b.inj,25,21879,1
00074d8e0a,a.pre,38,17686,1
00074d8e0a,b.inj,34,18809,1
00074db231,a.pre,27,14898,5
00074db231,b.inj,10,11415,4
00074dd577,a.pre,19,12441,3
00074dd577,b.inj,3,10262,1
00074da3ed,a.pre,46,7104,2
00074da3ed,b.inj,20,1146,2
00075a341a,a.pre,2,11525,1
00075a341a,b.inj,6,6163,1
00075b3038,a.pre,10,457,2
00075b3038,b.inj,24,4976,3
00074ecdad,a.pre,10,572,1
00074ecdad,b.inj,5,3615,2
00075b1d24,a.pre,19,9400,2
00075b1d24,b.inj,7,25433,2
00075b2cdd,a.pre,21,10747,1
00075b2cdd,b.inj,12,21088,1
00075b3e57,a.pre,9,9365,1
00075b3e57,b.inj,1,5598,1
00074c1ca9,a.pre,169,8173,2
00074c1ca9,b.inj,6,21617,2
00074da4b8,a.pre,6,1808,3
00074da4b8,b.inj,2,22998,1
00074dca60,a.pre,2,5916,1
00074dca60,b.inj,1,65,1
7.57E+148,a.pre,19,18079,1
7.57E+148,b.inj,7,26481,1
00075b25de,a.pre,54,2887,1
00075b25de,b.inj,0,0,0
00074dea7e,a.pre,6,3808,4
00074dea7e,b.inj,7,16658,2
00075b8d39,a.pre,3,20212,1
00075b8d39,b.inj,2,9946,1
00074d99f3,a.pre,41,17047,2
00074d99f3,b.inj,18,13195,3
00074daaf6,a.pre,25,15839,2
00074daaf6,b.inj,10,14755,3
00074facd9,a.pre,74,15783,1
00074facd9,b.inj,0,0,0
00074da6b4,a.pre,9,23552,1
00074da6b4,b.inj,2,12852,1
00075013dc,a.pre,31,10328,1
00075013dc,b.inj,46,13172,2
00075d7729,a.pre,20,14716,1
00075d7729,b.inj,0,0,0
00074fbd36,a.pre,7,13585,4
00074fbd36,b.inj,13,584,4
00075a778b,a.pre,19,19546,1
00075a778b,b.inj,9,16233,2
00075b13a0,a.pre,3,17868,2
00075b13a0,b.inj,0,0,0
00075b39cc,a.pre,23,19531,3
00075b39cc,b.inj,2,19202,1
00075b3e1e,a.pre,36,25586,2
00075b3e1e,b.inj,7,20748,2
00075b525f,a.pre,65,8635,2
00075b525f,b.inj,21,15171,2
00075d67d0,a.pre,19,17200,1
00075d67d0,b.inj,10,19739,1
00075d8601,a.pre,30,1353,1
00075d8601,b.inj,39,9109,1
00074db098,a.pre,7,9938,2
00074db098,b.inj,90,18537,3
000757f627,a.pre,12,22161,3
000757f627,b.inj,9,6298,3
00075b70ee,a.pre,2,71,2
00075b70ee,b.inj,1,22,1
00074bd70a,a.pre,43,19632,1
00074bd70a,b.inj,22,21570,1
00074f2ddd,a.pre,26,11989,2
00074f2ddd,b.inj,6,18663,4
00075d4864,a.pre,40,23397,3
00075d4864,b.inj,25,18891,3
00075d7c8f,a.pre,13,7752,1
00075d7c8f,b.inj,13,11088,2
00074ddf16,a.pre,26,17762,2
00074ddf16,b.inj,7,13944,2
00074ecf28,a.pre,238,19717,1
00074ecf28,b.inj,131,16844,1
000757e7a0,a.pre,21,14721,1
000757e7a0,b.inj,23,22170,1
00075b3362,a.pre,94,13073,1
00075b3362,b.inj,0,0,0
00074c35b2,a.pre,248,19499,1
00074c35b2,b.inj,7,27433,1
00075a7c79,a.pre,81,10891,1
00075a7c79,b.inj,5,20394,1
00074f5a1c,a.pre,73,21502,1
00074f5a1c,b.inj,6,6154,3
000757d790,a.pre,53,23211,1
000757d790,b.inj,29,13507,1
000757fe52,a.pre,2,11662,1
000757fe52,b.inj,1,494,1
00075e0fbb,a.pre,1,4351,1
00075e0fbb,b.inj,2,38,2
