first_mouse,second_mouse,date_obs,box,IDB[inside_after_IDA],sexA,number_encounters,sexB,date_obs_dt,time_together[sec],IDA[inside_first],treatment,timepoint,component_num
00074dd163,00075b3e1e,15-Jan,21.0,00075b3e1e,XY,1.0,XX,1900-01-15,3.0,00074dd163,LPS,before,0
00074dd163,00074c0118,15-Jan,21.0,00074c0118,XY,9.0,XY,1900-01-15,11655.0,00074dd163,LPS,before,0
00074dd163,00074def43,15-Jan,21.0,00074def43,XY,4.0,XY,1900-01-15,5451.0,00074dd163,LPS,before,0
00074dd163,00074deca3,15-Jan,21.0,00074deca3,XY,9.0,XY,1900-01-15,7816.0,00074dd163,LPS,before,0
00074dd163,00074ddf16,15-Jan,21.0,00074ddf16,XY,2.0,XX,1900-01-15,144.0,00074dd163,LPS,before,0
00074dd163,00074d8c26,15-Jan,21.0,00074d8c26,XY,4.0,XY,1900-01-15,5346.0,00074dd163,LPS,before,0
00074dd163,00074ddfc1,15-Jan,21.0,00074ddfc1,XY,8.0,XY,1900-01-15,4002.0,00074dd163,LPS,before,0
00074dd163,00074f8cd9,15-Jan,21.0,00074f8cd9,XY,6.0,XY,1900-01-15,6670.0,00074dd163,LPS,before,0
00074dd73c,0007500d05,15-Jan,22.0,0007500d05,XX,9.0,XX,1900-01-15,301.0,00074dd73c,LPS,before,0
00074dd73c,00074dad20,15-Jan,22.0,00074dad20,XX,15.0,XX,1900-01-15,1865.0,00074dd73c,LPS,before,0
00074dd73c,00074d9e9e,15-Jan,22.0,00074d9e9e,XX,5.0,XX,1900-01-15,1713.0,00074dd73c,LPS,before,0
00074dd73c,00074dd163,15-Jan,22.0,00074dd163,XX,1.0,XY,1900-01-15,23.0,00074dd73c,LPS,before,0
00074dd73c,0007500eee,15-Jan,22.0,0007500eee,XX,1.0,XX,1900-01-15,1325.0,00074dd73c,LPS,before,0
00074dd73c,00074dbc2e,15-Jan,22.0,00074dbc2e,XX,14.0,XY,1900-01-15,3480.0,00074dd73c,LPS,before,0
00074dd73c,00074deca3,15-Jan,22.0,00074deca3,XX,4.0,XY,1900-01-15,561.0,00074dd73c,LPS,before,0
00074dd73c,00074f1859,15-Jan,22.0,00074f1859,XX,3.0,XX,1900-01-15,227.0,00074dd73c,LPS,before,0
00074dd73c,00074d93c4,15-Jan,22.0,00074d93c4,XX,20.0,XX,1900-01-15,2027.0,00074dd73c,LPS,before,0
00074dd73c,00074ecdad,15-Jan,22.0,00074ecdad,XX,11.0,XX,1900-01-15,1107.0,00074dd73c,LPS,before,0
00074dd73c,00075b3e1e,15-Jan,22.0,00075b3e1e,XX,28.0,XX,1900-01-15,876.0,00074dd73c,LPS,before,0
00074ddfc1,00074c0118,15-Jan,21.0,00074c0118,XY,10.0,XY,1900-01-15,3914.0,00074ddfc1,LPS,before,0
00074ddfc1,00074deca3,15-Jan,21.0,00074deca3,XY,1.0,XY,1900-01-15,1741.0,00074ddfc1,LPS,before,0
00074ddfc1,00074f8cd9,15-Jan,21.0,00074f8cd9,XY,2.0,XY,1900-01-15,1900.0,00074ddfc1,LPS,before,0
00074ddfc1,00074ddf16,15-Jan,21.0,00074ddf16,XY,1.0,XX,1900-01-15,143.0,00074ddfc1,LPS,before,0
00074ddfc1,00074dd163,15-Jan,21.0,00074dd163,XY,5.0,XY,1900-01-15,3891.0,00074ddfc1,LPS,before,0
00074ddfc1,00074def43,15-Jan,21.0,00074def43,XY,3.0,XY,1900-01-15,1262.0,00074ddfc1,LPS,before,0
00074ddfc1,00074d8c26,15-Jan,21.0,00074d8c26,XY,3.0,XY,1900-01-15,2383.0,00074ddfc1,LPS,before,0
0007500d05,00074ecdad,15-Jan,22.0,00074ecdad,XX,13.0,XX,1900-01-15,4862.0,0007500d05,LPS,before,0
0007500d05,00074f1859,15-Jan,22.0,00074f1859,XX,2.0,XX,1900-01-15,93.0,0007500d05,LPS,before,0
0007500d05,00074d93c4,15-Jan,22.0,00074d93c4,XX,62.0,XX,1900-01-15,1980.0,0007500d05,LPS,before,0
0007500d05,00074db8a6,15-Jan,22.0,00074db8a6,XX,1.0,XX,1900-01-15,2182.0,0007500d05,LPS,before,0
0007500d05,0007500eee,15-Jan,22.0,0007500eee,XX,3.0,XX,1900-01-15,9376.0,0007500d05,LPS,before,0
0007500d05,00074d8c26,15-Jan,22.0,00074d8c26,XX,1.0,XY,1900-01-15,135.0,0007500d05,LPS,before,0
0007500d05,00074dbc2e,15-Jan,22.0,00074dbc2e,XX,23.0,XY,1900-01-15,5861.0,0007500d05,LPS,before,0
0007500d05,00075b3e1e,15-Jan,22.0,00075b3e1e,XX,168.0,XX,1900-01-15,4062.0,0007500d05,LPS,before,0
0007500d05,00074dd73c,15-Jan,22.0,00074dd73c,XX,22.0,XX,1900-01-15,1370.0,0007500d05,LPS,before,0
0007500d05,00074deca3,15-Jan,22.0,00074deca3,XX,7.0,XY,1900-01-15,4274.0,0007500d05,LPS,before,0
0007500d05,00074d9e9e,15-Jan,22.0,00074d9e9e,XX,11.0,XX,1900-01-15,4087.0,0007500d05,LPS,before,0
