"","study","species","treatment","replicate","n_nodes","density","eigenvector_centrality","betweenness_centrality","normal_ei"
"1","burnsetal2020","wood ants","before","2b",13,0.108974358974359,0.548516645407892,0.271933471933472,0.703415658433737
"2","burnsetal2020","wood ants","after","2b",18,0.0522875816993464,0.369733763624431,0.236625514403292,0.690579327903155
"3","burnsetal2020","wood ants","before","2a",7,0.214285714285714,0.656537496538698,0.321428571428571,0.476183836629326
"4","burnsetal2020","wood ants","after","2a",7,0.142857142857143,0.528190288268384,0.252747252747253,0.56457503405358
"5","burnsetal2020","wood ants","before","12",13,0.102564102564103,0.415739868220892,0.165242165242165,0.575029351098159
"6","burnsetal2020","wood ants","after","12",22,0.0497835497835498,0.363624545268373,0.214285714285714,0.71492261223053
"7","burnsetal2020","wood ants","before","10",17,0.0735294117647059,0.427195314776899,0.226723802103623,0.606775442373698
"8","burnsetal2020","wood ants","after","10",14,0.0604395604395604,0.32644423574107,0.26530612244898,0.695721666958782
"9","burnsetal2020","wood ants","before","9",19,0.0614035087719298,0.39513708217311,0.326725905673274,0.671251354419348
"10","burnsetal2020","wood ants","after","9",23,0.0494071146245059,0.240638509389975,0.228370663153272,0.685853303939023
"11","burnsetal2020","wood ants","before","8",20,0.0736842105263158,0.360143373370171,0.265217391304348,0.587766910590515
"12","burnsetal2020","wood ants","after","8",20,0.0526315789473684,0.255950731302816,0.0846875,0.44194534020475
"13","burnsetal2020","wood ants","before","7",23,0.0533596837944664,0.36788666454345,0.244180939833114,0.644648777107668
"14","burnsetal2020","wood ants","after","7",5,0.15,0.482842712474619,0.2,0.430676558073393
"15","burnsetal2020","wood ants","before","6",27,0.0555555555555556,0.303566956927102,0.220190476190476,0.698728314059213
"16","burnsetal2020","wood ants","after","6",32,0.0403225806451613,0.179973493674761,0.215847860538827,0.699780042075169
"17","burnsetal2020","wood ants","before","3",22,0.0757575757575758,0.421640724198655,0.195574162679426,0.558841162914351
"18","burnsetal2020","wood ants","after","3",30,0.0402298850574713,0.261655101069575,0.136655211912944,0.69763498093153
