Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Calderon-Aguilera, LE; Reyes-Bonilla, H; Olan-Gonzalez, M; Castaneda-Rivero, FR; Perusquia-Ardon, JC",,,,"Calderon-Aguilera, L. E.; Reyes-Bonilla, H.; Olan-Gonzalez, M.; Castaneda-Rivero, F. R.; Perusquia-Ardon, J. C.",,,Estimated flows and biomass in a no-take coral reef from the eastern tropical Pacific through network analysis,ECOLOGICAL INDICATORS,,,,,,,,,,,,"In the southern Gulf of California, the Cabo Pulmo reef has been the focus of many studies because it is the northern-most coral reef in the eastern Pacific. It is a paragon of a well-managed marine protected area. Under the assumption that fishing mortality is negligible, we want to identify and quantify major energy flows in an ecosystem without human intervention and describe the ecosystem resources and their interactions among species, to provide a tool for ecosystem-based management. We built a trophodynamic model using Ecopath to perform network analysis. Based on fieldwork (October 2017 - May 2018) and literature review, we identified 57 functional groups comprising 51 consumers (including 15 top predators), five primary producers plus detritus, and cluster analysis of trait profiles. The connectance index (0.17) and the system omnivory index (0.22) are low, suggesting that consumers feed on a few discrete trophic levels. Biomass of primary producers (grazing food chain; 186.8 t km-2) provides 9,813 t km(-2) y(-1), whereas flow from detritus supply 344.9 t km(-2) y(-1). The transfer efficiency decreases as flows go up the food web, from 12% at TL II to 4% at TL X, and throughput cycled (including detritus) = 118.7 t km(-2) y(-1). In comparison with other coral reefs, we found that Cabo Pulmo complies with the attributes to resist disturbances, with an estimated total system throughput = 95,789 t km(-2) y(-1) (52%) flowbits and overhead = 116,164 (48%) flowbits. The high quality of the ecosystem services provided by Cabo Pulmo and the scenic beauty appeals to developers. Although the system is resilient, unregulated human activities may impact the reef condition and decrease the residents' quality of life and that of all the people who make a living from the low impact activities currently in effect. The trophic web model presented here may help to improve the response capacity of the coalition of residents, authorities, diving companies, and NGO's to preserve the reef and be a key element to conserve the system by contributing to its best management.",,,,,,,,,,,,,,,,,1470-160X,1872-7034,,,,APR,2021,123,,,,,,,,107359,10.1016/j.ecolind.2021.107359,,,,,,,WOS:000615942100008,,,,,,
J,"Yin, J; Xu, J; Xue, Y; Xu, BD; Zhang, CL; Li, YZ; Ren, YP",,,,"Yin, Jie; Xu, Jun; Xue, Ying; Xu, Binduo; Zhang, Chongliang; Li, Yunzhou; Ren, Yiping",,,Evaluating the impacts of El Nino events on a marine bay ecosystem based on selected ecological network indicators,SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,,,,"El Nino events have great impacts on marine ecosystems worldwide, ranging from low trophic plankton production to fishery resources. Understanding how ecosystems respond to El Nino is the key to the success of ecosystem-based fisheries management (EBFM). However, few studies have focussed on the ecosystems respond to this natural perturbation in China seas, and the selection of effective ecological network analyses (ENA) indicators to evaluate the ecosystem response under El Nino conditions needs to be assessed. In this study, we constructed Ecopath models for Haizhou Bay in ENSO-neutral (2013) and El Nino (2015) years. Comprehensive analyses were conducted to evaluate ENA indicators in terms of sensitivity to the ecosystem variations, robustness to the model parameters uncertainties, and statistical check. Results showed that there were obvious variations in the species composition and biomass in the Haizhou Bay ecosystem under the El Nino event. Four optimal ENA indicators were selected, including total system throughput, total primary production, total system non-cycled throughflow, and ascendency. The indicators further showed a shrunken ecosystem size, increased energetic efficiency, and less organised ecosystem under the El Nino event. These findings enhance our understanding of ecosystem dynamics and underscore the need for precautionary management under El Nino conditions. Moreover, this work can be helpful in guiding the further selection of ENA indicators for evaluating and managing marine ecosystems during El Nino events elsewhere and thusly contribute to the implementation of EBFM. (C) 2020 Elsevier B.V. All rights reserved.",,,,,"Ren, Yiping/0000-0003-2482-0284",,,,,,,,,,,,0048-9697,1879-1026,,,,APR 1,2021,763,,,,,,,,144205,10.1016/j.scitotenv.2020.144205,,,,,,,WOS:000608188700125,33360958,,,,,
J,"Fourcade, Y; WallisDeVries, MF; Kuussaari, M; van Swaay, CAM; Heliola, J; Ockinger, E",,,,"Fourcade, Yoan; WallisDeVries, Michiel F.; Kuussaari, Mikko; van Swaay, Chris A. M.; Heliola, Janne; Ockinger, Erik",,,Habitat amount and distribution modify community dynamics under climate change,ECOLOGY LETTERS,,,,,,,,,,,,"Habitat fragmentation may present a major impediment to species range shifts caused by climate change, but how it affects local community dynamics in a changing climate has so far not been adequately investigated empirically. Using long-term monitoring data of butterfly assemblages, we tested the effects of the amount and distribution of semi-natural habitat (SNH), moderated by species traits, on climate-driven species turnover. We found that spatially dispersed SNH favoured the colonisation of warm-adapted and mobile species. In contrast, extinction risk of cold-adapted species increased in dispersed (as opposed to aggregated) habitats and when the amount of SNH was low. Strengthening habitat networks by maintaining or creating stepping-stone patches could thus allow warm-adapted species to expand their range, while increasing the area of natural habitat and its spatial cohesion may be important to aid the local persistence of species threatened by a warming climate.",,,,,,,,,,,,,,,,,1461-023X,1461-0248,,,,MAY,2021,24,5,,,,,950,957,,10.1111/ele.13691,,MAR 2021,,,,,WOS:000627271100001,33694308,,,,,
J,"Sinha, S; Banerjee, A; Rakshit, N; Raman, AV; Bhadury, P; Ray, S",,,,"Sinha, Swagata; Banerjee, Arnab; Rakshit, Nabyendu; Raman, Akkur, V; Bhadury, Punyasloke; Ray, Santanu",,,"Importance of benthic-pelagic coupling in food-web interactions of Kakinada Bay, India",ECOLOGICAL INFORMATICS,,,,,,,,,,,,"Benthic components occupy the sediment layer of aquatic ecosystems and play a definitive role in overall system functioning and maintenance. The exchange of inorganic and organic materials between the sediment and water column through benthic-pelagic coupling plays a very important role especially in shallow water ecosystems. It is facilitated mainly by trophic interactions between the benthic and pelagic food webs, or specifically, between the coupling links i.e. the nodes that participate in coupling. Aquatic ecosystem models incorporating benthic food web in details have been few. In the present study, a food web model incorporating both benthic and pelagic food webs has been developed using EcoPath with EcoSim software, for Kakinada Bay ecosystem of Coastal Andhra Pradesh, India and has been analysed to get an idea about this system?s functioning and integrity. Hypothetical perturbation scenarios (perturbation of biomass of two important benthic components ? microphytobenthos and suspension feeding invertebrates) were applied to the model to study the effects of these two components on overall system robustness and integrity. The analysis of the base model revealed that while the bay system has not yet attained maturity, it also does not face much stress. While the system saw a decline in maturity with increase in microphytobenthos (MPB) biomass, increase in biomass of suspension feeding invertebrate (SFI) resulted in the exact opposite. Study of SFI biomass perturbation scenario also highlighted its role in coupling. Modelling studies incorporating benthic components as separate groups have been few. This work aims to provide a better insight into how benthic components may affect the whole system. Information regarding system health and resilience provided by such models can also be used as guidelines for fishery management and policy making.",,,,,,,,,,,,,,,,,1574-9541,1878-0512,,,,MAR,2021,61,,,,,,,,101208,10.1016/j.ecoinf.2020.101208,,,,,,,WOS:000632605400005,,,,,,
J,"Carlson, AK; Young, T; Centeno, MA; Levin, SA; Rubenstein, DI",,,,"Carlson, Andrew K.; Young, Talia; Centeno, Miguel A.; Levin, Simon A.; Rubenstein, Daniel, I",,,Boat to bowl: resilience through network rewiring of a community-supported fishery amid the COVID-19 pandemic,ENVIRONMENTAL RESEARCH LETTERS,,,,,,,,,,,,"Fisheries are coupled human-natural systems locally, regionally, and globally. However, human-nature interactions within and between adjacent and distant systems (metacouplings) are rarely studied in fisheries despite their prevalence and policy relevance. We filled this knowledge gap by using network models to identify how the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pandemic has rewired couplings and reshaped resilience of Fishadelphia, a community-supported fishery program (CSF) in New Jersey and Pennsylvania, USA. As abstractions illustrating interactions among supply-chain actors, networks are helpful for characterizing flows and assessing resilience to disturbances such as those induced by the SARS-CoV-2 pandemic. Since Fall 2018, 18 seafood (finfish and shellfish) species totaling 6273 lbs have flowed from harvesters (n = 4), to processors (n = 2), to a distributor, to retailers (n = 2), and finally to customers (n = 183). The pandemic reduced the number of seafood harvesters and processors (-50%), seafood flow quantity (-25%), species diversity in the marketplace (-67%), and species per supplier (-50%) before stopping flows in mid-March 2020, when Fishadelphia closed for 3 months. Models of network optimality indicated that the pandemic fragmented metacouplings that previously allowed multiple seafood suppliers to provide diverse products to customers. However, demand-side resilience increased through dispersed, socially distanced, efficient seafood delivery that expanded the customer base and generally increased customer satisfaction. This resilience dichotomy-wherein the post-closure network was less resilient than the pre-closure network in supply-side species diversity, but more resilient in demand-side social distancing, delivery efficiency, and customer satisfaction-has implications for rewiring networks to sustain CSFs and other local food systems amid ecological and social disturbances.",,,,"Levin, Simon/J-1218-2014","Levin, Simon/0000-0002-8216-5639; Rubenstein, Dan/0000-0001-9049-5219",,,,,,,,,,,,1748-9326,,,,,MAR,2021,16,3,,,,,,,34054,10.1088/1748-9326/abe4f6,,,,,,,WOS:000624518700001,,,,,,
J,"Dorph, A; Swan, M; Di Stefano, J; Penman, TD",,,,"Dorph, Annalie; Swan, Matthew; Di Stefano, Julian; Penman, Trent D.",,,Relating mammal species richness to landscape patterns across multiple spatial scales,LANDSCAPE ECOLOGY,,,,,,,,,,,,"Context Understanding the relationships between spatial pattern, spatial scale and biodiversity can help ecologists to assess the impacts of environmental change and inform management plans. Spatial pattern research has often focussed on the effect of modified landscapes on species diversity. However, few studies have examined species responses to spatial pattern from other sources, including those which vary over time, such as fire. Objectives We investigated the effect of composition and configuration for topographic, ecological and disturbance factors on mammal species richness. In addition, we examined whether the magnitude and predictive strength of the relationship with richness varied with spatial scale. Methods We sampled ground-dwelling mammals at 187 sites in the Otway Ranges of south-eastern Australia. A gradient modelling approach was used to characterise landscape composition and configuration for each predictor. Relationships with mammal richness were modelled using Bayesian Networks at ten different spatial scales (7-1165 ha). Results Composition and configuration were both important to species richness, although the strength and presence of relationships varied across the ten scales. Patterns in NDVI, time since fire, habitat complexity and elevation had the strongest effects on mammal species richness. Conclusions Our findings highlight the importance of measuring both the composition and configuration of environmental measures at different spatial scales to assess their effect on species richness. Further, studies focusing on just one environmental measure of spatial pattern or one spatial scale will miss important relationships between environmental variables and species richness.",,,,,"Di Stefano, Julian/0000-0001-7846-6642; Penman, Trent/0000-0002-5203-9818",,,,,,,,,,,,0921-2973,1572-9761,,,,,,,,,,,,,,,10.1007/s10980-021-01208-8,,FEB 2021,,,,,WOS:000622205800001,,,,,,
J,"Hawkes, RW; Smart, J; Brown, A; Green, RE; Jones, H; Dolman, PM",,,,"Hawkes, R. W.; Smart, J.; Brown, A.; Green, R. E.; Jones, H.; Dolman, P. M.",,,Effects of experimental land management on habitat use by Eurasian Stone-curlews,ANIMAL CONSERVATION,,,,,,,,,,,,"Effective conservation is often informed by focal species studies to identify beneficial land management interventions. For nocturnal or cryptic species, quantifying habitat use across individually marked animals can allow unbiased assessment of intervention efficacy and identify other important habitats. Here, using a landscape-scale experiment, we examine whether interventions intended to create nesting habitat for the largely nocturnal Eurasian Stone-curlew Burhinus oedicnemus within semi-natural grassland also provide foraging habitat. GPS loggers were fitted to five adult Stone-curlews during the breeding season within an extensive area of semi-natural grassland (3850 ha, hereafter 'grassland'), surrounded by a mosaic of arable cropland (total study area 118 600 ha). The largely closed-sward grassland was diversified by experimental ground-disturbance plots (the intervention) prior to this study. We used the GPS fixes to identify 1881 foraging locations (510 during nesting and 1371 post-breeding) across the grassland and surrounding landscape. Most foraging locations were close to the nest-site during the nesting period (90% within 1 km) or day-roost during post-breeding (90% within 5 km), but birds travelled up to 4.1 km from these sites during nesting and 13 km post-breeding. Stone-curlews were two- (by night) or three-times (by day) more likely to select disturbed-grassland over unmodified grassland for foraging during nesting, and c. 15 times more likely to do so post-breeding. Spring-sown crops and pig fields or manure heaps were also selected over grassland for nocturnal foraging. Given that central place foraging occurs in this species, conservation efforts that promote breeding attempts through ground-disturbance should ensure suitable foraging habitat is near the nest (<1 km). Creating multiple areas of disturbed-ground close to the edge of large grassland blocks can provide a network of nesting and foraging habitats, while allowing access to foraging habitats on the surrounding arable farmland. Similar interventions may benefit other disturbance associated grassland waders.",,,,,"Dolman, Paul/0000-0002-9340-2791",,,,,,,,,,,,1367-9430,1469-1795,,,,,,,,,,,,,,,10.1111/acv.12678,,FEB 2021,,,,,WOS:000621767900001,,,,,,
J,"Gorczynski, D; Hsieh, C; Luciano, JT; Ahumada, J; Espinosa, S; Johnson, S; Rovero, F; Santos, F; Andrianarisoa, MH; Astaiza, JH; Jansen, PA; Kayijamahe, C; Lima, MGM; Salvador, J; Beaudrot, L",,,,"Gorczynski, Daniel; Hsieh, Chia; Luciano, Jadelys Tonos; Ahumada, Jorge; Espinosa, Santiago; Johnson, Steig; Rovero, Francesco; Santos, Fernanda; Andrianarisoa, Mahandry Hugues; Hurtado Astaiza, Johanna; Jansen, Patrick A.; Kayijamahe, Charles; Moreira Lima, Marcela Guimaraes; Salvador, Julia; Beaudrot, Lydia",,,Tropical mammal functional diversity increases with productivity but decreases with anthropogenic disturbance,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,,,,,,,,,,,,"A variety of factors can affect the biodiversity of tropical mammal communities, but their relative importance and directionality remain uncertain. Previous global investigations of mammal functional diversity have relied on range maps instead of observational data to determine community composition. We test the effects of species pools, habitat heterogeneity, primary productivity and human disturbance on the functional diversity (dispersion and richness) of mammal communities using the largest standardized tropical forest camera trap monitoring system, the Tropical Ecology Assessment and Monitoring (TEAM) Network. We use occupancy values derived from the camera trap data to calculate occupancy-weighted functional diversity and use Bayesian generalized linear regression to determine the effects of multiple predictors. Mammal community functional dispersion increased with primary productivity, while functional richness decreased with human-induced local extinctions and was significantly lower in Madagascar than other tropical regions. The significant positive relationship between functional dispersion and productivity was evident only when functional dispersion was weighted by species' occupancies. Thus, observational data from standardized monitoring can reveal the drivers of mammal communities in ways that are not readily apparent from range map-based studies. The positive association between occupancy-weighted functional dispersion of tropical forest mammal communities and primary productivity suggests that unique functional traits may be more beneficial in more productive ecosystems and may allow species to persist at higher abundances.",,,,,"Johnson, Steig/0000-0003-2257-8949; Espinosa, Santiago/0000-0002-7416-7167; Ahumada, Jorge/0000-0003-0953-9101; Santos, Fernanda/0000-0002-1886-446X; Tonos, Jadelys/0000-0001-8792-9717; Rovero, Francesco/0000-0001-6688-1494",,,,,,,,,,,,0962-8452,1471-2954,,,,FEB 24,2021,288,1945,,,,,,,20202098,10.1098/rspb.2020.2098,,,,,,,WOS:000625110700014,33593187,,,,,
J,"Jautzy, T; Maltais, M; Buffin-Belanger, T",,,,"Jautzy, Timothee; Maltais, Maxime; Buffin-Belanger, Thomas",,,Interannual evolution of hydrosedimentary connectivity induced by forest cover change in a snow-dominated mountainous catchment,LAND DEGRADATION & DEVELOPMENT,,,,,,,,,,,,"Hydrosedimentary connectivity is a key concept referring to the potential fluxes of water and sediment moving throughout a catchment. In forested catchments, these fluxes are prone to alterations caused by anthropogenic and natural disturbances. In this study, we modelled the interannual spatiotemporal evolution of hydrosedimentary connectivity influenced by forest cover change over the last four decades in the Mont-Louis catchment, a medium snow-dominated mountainous catchment in eastern Canada, which had 62% of its total surface affected by forest disturbances (mainly logging, but also wildfires and diseases) between 1979 and 2017. Using a geomorphometric index of connectivity (IC) and a historical forest cover database, we produced one IC map per year that considered anthropogenic and natural disturbances affecting the forest cover of the studied catchment. To account for vegetation recovery, forest disturbances were weighted with local hydrological recovery rates. Over the four decades, the mean IC of the Mont-Louis catchment dramatically increased by 35% in response to different types of disturbances. The spatial evolution of IC over the whole catchment and at the sub-catchment scale revealed that disturbance location has a strong influence on hydrosedimentary connectivity to the main channel. Our results also highlight the sharp contrast between IC computed from topography-based impedance to those computed from vegetation-based impedance. Forest disturbances appear to connect hillslopes with the hydrological network by producing pathways for sediment and water. Finally, the proposed reproducible framework could be useful for predicting the potential impact of harvesting and preventing damage to fish habitat and sensitive river reaches.",,,,,"Jautzy, Timothee/0000-0001-8021-6001",,,,,,,,,,,,1085-3278,1099-145X,,,,APR 30,2021,32,7,,,,,2318,2335,,10.1002/ldr.3902,,FEB 2021,,,,,WOS:000620333400001,,,,,,
J,"Moore, MN; Sforzini, S; Viarengo, A; Barranger, A; Aminot, Y; Readman, JW; Khlobystov, AN; Arlt, VM; Banni, M; Jha, AN",,,,"Moore, Michael N.; Sforzini, Susanna; Viarengo, Aldo; Barranger, Audrey; Aminot, Yann; Readman, James W.; Khlobystov, Andrei N.; Arlt, Volker M.; Banni, Mohamed; Jha, Awadhesh N.",,,Antagonistic cytoprotective effects of C-60 fullerene nanoparticles in simultaneous exposure to benzo[a]pyrene in a molluscan animal model,SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,,,,"The hypothesis that C-60 fullerene nanoparticles (C-60) exert an antagonistic interactive effect on the toxicity of benzo[a] pyrene (BaP) has been supported by this investigation. Mussels were exposed to BaP (5, 50 & 100 mu g/L) and C-60 (C-60-1mg/L) separately and in combination. Both BaP and C-60 were shown to co-localize in the secondary lysosomes of the hepatopancreatic digestive cells in the digestive gland where they reduced lysosomal membrane stability (LMS) or increased membrane permeability, while BaP also induced increased lysosomal lipid and lipofuscin, indicative of oxidative cell injury and autophagic dysfunction. Combinations of BaP and C-60 showed antagonistic effects for lysosomal stability, mTORC1 (mechanistic target of rapamycin complex 1) inhibition and intralysosomal lipid (5 & 50 mu g/L BaP). The biomarker data (i.e., LMS, lysosomal lipidosis and lipofuscin accumulation; lysosomal/cell volume and dephosphorylation of mTORC1) were further analysed using multivariate statistics. Principal component and cluster analysis clearly indicated that BaP on its own was more injurious than in combination with C-60. Use of a network model that integrated the biomarker data for the cell pathophysiological processes, indicated that there were significant antagonistic interactions in network complexity (% connectance) at all BaP concentrations for the combined treatments. Loss of lysosomal membrane stability probably causes the release of intralysosomal iron and hydrolases into the cytosol, where iron can generate harmful reactive oxygen species (ROS). It was inferred that this adverse oxidative reaction induced by BaP was ameliorated in the combination treatments by the ROS scavenging property of intralysosomal C-60, thus limiting the injury to the lysosomalmembrane; and reducing the oxidative damage in the cytosol and to the nuclear DNA. The ROS scavenging by C-60, in combination with enhanced autophagic turnover of damaged cell constituents, appeared to have a cytoprotective effect against the toxic reaction to BaP in the combined treatments. (C) 2020 Elsevier B.V. All rights reserved.",,,,,"Arlt, Volker Manfred/0000-0003-4314-9318; Aminot, Yann/0000-0002-6507-9261",,,,,,,,,,,,0048-9697,1879-1026,,,,FEB 10,2021,755,,1,,,,,,142355,10.1016/j.scitotenv.2020.142355,,,,,,,WOS:000600537400074,33022458,,,,,
